,PLZ,Ortsname,YB,YB_relativ,YB_pro_1000,SCB,SCB_relativ,SCB_pro_1000,derby
770,2732,"Péry-La Heutte, Loveresse, Reconvilier, Saicourt, Saules (BE)",,,,8.0,0.0027072758037225042,2.707275803722504,Unentschieden
771,2733,Valbirse,,,,,,,Unentschieden
772,2735,"Péry-La Heutte, Champoz, Court, Valbirse",1.0,0.00025627883136852895,0.25627883136852897,7.0,0.0017939518195797027,1.7939518195797026,SCB gewinnt
773,2736,Sorvilier,,,,,,,Unentschieden
774,2738,Court,,,,7.0,0.004912280701754386,4.912280701754386,Unentschieden
775,2740,"Moutier, Perrefitte, Roches (BE)",3.0,0.00039267015706806284,0.39267015706806285,10.0,0.0013089005235602095,1.3089005235602096,SCB gewinnt
776,2742,Perrefitte,,,,2.0,0.004728132387706856,4.7281323877068555,Unentschieden
777,2743,Eschert,,,,1.0,0.002785515320334262,2.785515320334262,Unentschieden
778,2744,Belprahon,,,,,,,Unentschieden
779,2745,Grandval,,,,1.0,0.002680965147453083,2.680965147453083,Unentschieden
780,2746,Crémines,,,,2.0,0.0037243947858473,3.7243947858473,Unentschieden
781,2747,"Corcelles (BE), Crémines, Seehof, Aedermannsdorf",,,,,,,Unentschieden
782,2748,"Perrefitte, Petit-Val, Haute-Sorne",,,,1.0,0.006535947712418301,6.5359477124183005,Unentschieden
783,2762,Roches (BE),,,,,,,Unentschieden
784,2800,"Courrendlin, Delémont",,,,1.0,8.010253123998718e-05,0.08010253123998719,Unentschieden
785,2802,Develier,,,,,,,Unentschieden
786,2803,"Bourrignon, Pleigne",,,,,,,Unentschieden
787,2805,Soyhières,,,,,,,Unentschieden
788,2806,"Mettembert, Pleigne",,,,,,,Unentschieden
789,2807,"Pleigne, La Baroche",,,,,,,Unentschieden
790,2812,Movelier,,,,,,,Unentschieden
791,2813,"Ederswiler, Movelier, Pleigne",,,,,,,Unentschieden
792,2814,"Kleinlützel, Roggenburg, Pleigne",,,,6.0,0.020338983050847456,20.338983050847457,Unentschieden
793,2822,Courroux,,,,,,,Unentschieden
794,2823,Courroux,,,,,,,Unentschieden
795,2824,Val Terbi,,,,,,,Unentschieden
796,2825,Courchapoix,,,,,,,Unentschieden
797,2826,Corban,,,,,,,Unentschieden
798,2827,"Schelten, Beinwil (SO), Mervelier",,,,,,,Unentschieden
799,2828,Val Terbi,,,,,,,Unentschieden
800,2829,Val Terbi,,,,1.0,0.0029940119760479044,2.9940119760479043,Unentschieden
801,2830,"Courrendlin, Vellerat",,,,,,,Unentschieden
802,2832,"Rebeuvelier, Val Terbi",,,,,,,Unentschieden
803,2842,Rossemaison,,,,,,,Unentschieden
804,2843,Châtillon (JU),,,,,,,Unentschieden
805,2852,"Courtételle, Delémont",,,,,,,Unentschieden
806,2853,Haute-Sorne,,,,,,,Unentschieden
807,2854,Haute-Sorne,1.0,0.00027731558513588466,0.27731558513588467,,,,Unentschieden
808,2855,Haute-Sorne,,,,1.0,0.0008613264427217916,0.8613264427217916,Unentschieden
809,2856,Boécourt,,,,,,,Unentschieden
810,2857,Boécourt,,,,,,,Unentschieden
811,2863,Haute-Sorne,,,,1.0,0.0036231884057971015,3.6231884057971016,Unentschieden
812,2864,Haute-Sorne,,,,,,,Unentschieden
813,2873,"Saulcy, Saint-Brais",,,,,,,Unentschieden
814,2882,"Saint-Brais, Clos du Doubs",,,,1.0,0.0014245014245014246,1.4245014245014245,Unentschieden
815,2883,"Boécourt, Saint-Brais, Clos du Doubs, La Baroche",,,,,,,Unentschieden
816,2884,Clos du Doubs,,,,,,,Unentschieden
817,2885,Clos du Doubs,,,,,,,Unentschieden
818,2886,"Saint-Brais, Clos du Doubs",,,,,,,Unentschieden
819,2887,Soubey,,,,,,,Unentschieden
820,2888,Clos du Doubs,,,,,,,Unentschieden
821,2889,"Fontenais, Clos du Doubs",,,,,,,Unentschieden
822,2900,Porrentruy,1.0,0.00014710208884966165,0.14710208884966164,,,,Unentschieden
823,2902,Fontenais,,,,,,,Unentschieden
824,2903,Fontenais,,,,,,,Unentschieden
825,2904,Fontenais,,,,,,,Unentschieden
826,2905,Courtedoux,,,,,,,Unentschieden
827,2906,Haute-Ajoie,,,,,,,Unentschieden
828,2907,Rocourt,,,,,,,Unentschieden
829,2908,Grandfontaine,,,,,,,Unentschieden
830,2912,Haute-Ajoie,,,,,,,Unentschieden
831,2914,Haute-Ajoie,,,,,,,Unentschieden
832,2915,"Bure, Basse-Allaine",,,,,,,Unentschieden
833,2916,"Fahy, Haute-Ajoie",,,,,,,Unentschieden
834,2922,Courchavon,,,,,,,Unentschieden
835,2923,Basse-Allaine,,,,,,,Unentschieden
836,2924,Basse-Allaine,,,,,,,Unentschieden
837,2925,Basse-Allaine,,,,,,,Unentschieden
838,2926,Boncourt,,,,,,,Unentschieden
839,2932,Coeuve,,,,,,,Unentschieden
840,2933,"Damphreux, Lugnez",,,,,,,Unentschieden
841,2935,Beurnevésin,,,,,,,Unentschieden
842,2942,Alle,,,,,,,Unentschieden
843,2943,Vendlincourt,,,,,,,Unentschieden
844,2944,Bonfol,,,,,,,Unentschieden
845,2946,La Baroche,,,,,,,Unentschieden
846,2947,La Baroche,,,,,,,Unentschieden
847,2950,Courgenay,,,,,,,Unentschieden
848,2952,"Cornol, Courgenay",,,,,,,Unentschieden
849,2953,La Baroche,,,,,,,Unentschieden
850,2954,La Baroche,,,,,,,Unentschieden
851,3000,,208.0,0.3195084485407066,319.5084485407066,8.0,0.01228878648233487,12.288786482334869,YB gewinnt
852,3004,Bern,76.0,0.022041763341067284,22.041763341067284,24.0,0.0069605568445475635,6.960556844547564,YB gewinnt
853,3005,Bern,91.0,0.019938650306748466,19.938650306748464,98.0,0.02147239263803681,21.472392638036812,SCB gewinnt
854,3006,Bern,323.0,0.0177863436123348,17.7863436123348,155.0,0.008535242290748899,8.535242290748899,YB gewinnt
855,3007,"Bern, Köniz",394.0,0.025775219154782154,25.775219154782153,127.0,0.008308255920450085,8.308255920450085,YB gewinnt
856,3008,Bern,149.0,0.015036835200322939,15.036835200322939,89.0,0.008981733777374105,8.981733777374105,YB gewinnt
857,3010,Bern,1.0,0.023255813953488372,23.25581395348837,1.0,0.023255813953488372,23.25581395348837,Unentschieden
858,3011,Bern,161.0,0.03485602944360251,34.856029443602516,72.0,0.015587789564840875,15.587789564840875,YB gewinnt
859,3012,Bern,233.0,0.01729384695316559,17.29384695316559,76.0,0.005640911452534699,5.6409114525346995,YB gewinnt
860,3013,Bern,358.0,0.03484863233719459,34.84863233719459,74.0,0.00720334858366592,7.20334858366592,YB gewinnt
861,3014,Bern,829.0,0.06077267062532073,60.77267062532073,191.0,0.014001906018620336,14.001906018620335,YB gewinnt
862,3015,Bern,26.0,0.00941346850108617,9.41346850108617,20.0,0.00724112961622013,7.24112961622013,YB gewinnt
863,3018,Bern,188.0,0.010671510472838736,10.671510472838735,165.0,0.009365953340523358,9.365953340523358,YB gewinnt
864,3019,Bern,9.0,0.010368663594470046,10.368663594470046,15.0,0.01728110599078341,17.281105990783413,SCB gewinnt
865,3020,"Bern, Frauenkappelen",5.0,0.00992063492063492,9.920634920634921,9.0,0.017857142857142856,17.857142857142858,SCB gewinnt
866,3027,Bern,137.0,0.010213971520167002,10.213971520167002,117.0,0.008722880787295906,8.722880787295907,YB gewinnt
867,3032,"Bern, Wohlen bei Bern",60.0,0.01310329766324525,13.10329766324525,47.0,0.010264249836208779,10.264249836208778,YB gewinnt
868,3033,"Wohlen bei Bern, Frauenkappelen",29.0,0.01828499369482976,18.28499369482976,17.0,0.010718789407313998,10.718789407313999,YB gewinnt
869,3034,Wohlen bei Bern,1.0,0.0038314176245210726,3.8314176245210727,7.0,0.02681992337164751,26.819923371647512,SCB gewinnt
870,3035,"Seedorf (BE), Wohlen bei Bern",2.0,0.008130081300813009,8.130081300813009,3.0,0.012195121951219513,12.195121951219512,SCB gewinnt
871,3036,"Radelfingen, Wohlen bei Bern",5.0,0.0056433408577878106,5.643340857787811,16.0,0.01805869074492099,18.05869074492099,SCB gewinnt
872,3037,"Bern, Kirchlindach, Wohlen bei Bern",16.0,0.009894867037724181,9.89486703772418,17.0,0.010513296227581941,10.513296227581941,SCB gewinnt
873,3038,Kirchlindach,19.0,0.013960323291697281,13.96032329169728,23.0,0.01689933872152829,16.899338721528288,SCB gewinnt
874,3042,"Meikirch, Kirchlindach, Wohlen bei Bern",9.0,0.012534818941504178,12.534818941504177,12.0,0.016713091922005572,16.71309192200557,SCB gewinnt
875,3043,Wohlen bei Bern,21.0,0.0136986301369863,13.698630136986301,24.0,0.015655577299412915,15.655577299412915,SCB gewinnt
876,3044,Wohlen bei Bern,2.0,0.0030816640986132513,3.0816640986132513,15.0,0.023112480739599383,23.112480739599384,SCB gewinnt
877,3045,"Meikirch, Wohlen bei Bern",16.0,0.0129136400322841,12.9136400322841,15.0,0.012106537530266344,12.106537530266344,YB gewinnt
878,3046,Meikirch,4.0,0.008097165991902834,8.097165991902834,3.0,0.006072874493927126,6.0728744939271255,YB gewinnt
879,3047,Bremgarten bei Bern,78.0,0.01791867677463818,17.918676774638183,42.0,0.009648518263266712,9.648518263266713,YB gewinnt
880,3048,"Bern, Ittigen",35.0,0.020420070011668612,20.420070011668614,30.0,0.01750291715285881,17.50291715285881,YB gewinnt
881,3049,Wohlen bei Bern,3.0,0.0058823529411764705,5.88235294117647,14.0,0.027450980392156862,27.45098039215686,SCB gewinnt
882,3052,"Zollikofen, Münchenbuchsee",186.0,0.016668160229411238,16.66816022941124,146.0,0.013083609642441079,13.083609642441079,YB gewinnt
883,3053,"Rapperswil (BE), Schüpfen, Deisswil b. Münchenbuch., Diemerswil, Moosseedorf, Münchenbuchsee, Wiggiswil",185.0,0.018993839835728953,18.993839835728952,157.0,0.016119096509240247,16.119096509240247,YB gewinnt
884,3054,Schüpfen,60.0,0.016375545851528384,16.375545851528383,85.0,0.023198689956331876,23.198689956331876,SCB gewinnt
885,3063,"Bern, Ittigen, Ostermundigen",172.0,0.017615731257681278,17.61573125768128,136.0,0.013928717738631708,13.928717738631708,YB gewinnt
886,3065,"Bolligen, Ostermundigen",92.0,0.015659574468085108,15.659574468085108,66.0,0.011234042553191489,11.23404255319149,YB gewinnt
887,3066,"Bolligen, Stettlen, Vechigen, Ostermundigen",62.0,0.019290603609209707,19.290603609209708,55.0,0.017112632233976355,17.112632233976356,YB gewinnt
888,3067,"Stettlen, Vechigen",49.0,0.01436950146627566,14.36950146627566,57.0,0.016715542521994135,16.715542521994134,SCB gewinnt
889,3068,"Vechigen, Walkringen, Worb",19.0,0.011867582760774516,11.867582760774516,23.0,0.014366021236727046,14.366021236727045,SCB gewinnt
890,3072,"Bern, Ostermundigen",249.0,0.014926267833593094,14.926267833593094,249.0,0.014926267833593094,14.926267833593094,Unentschieden
891,3073,"Bern, Muri bei Bern, Ostermundigen",149.0,0.021976401179941003,21.976401179941004,116.0,0.01710914454277286,17.10914454277286,YB gewinnt
892,3074,Muri bei Bern,83.0,0.01340655790663867,13.40655790663867,64.0,0.010337586819576805,10.337586819576805,YB gewinnt
893,3075,Worb,52.0,0.01325516186591894,13.255161865918941,41.0,0.010451185317359163,10.451185317359164,YB gewinnt
894,3076,"Muri bei Bern, Stettlen, Vechigen, Worb",76.0,0.01150991973345449,11.50991973345449,91.0,0.01378161441768893,13.78161441768893,SCB gewinnt
895,3077,Worb,,,,6.0,0.0160857908847185,16.0857908847185,Unentschieden
896,3078,Worb,2.0,0.004987531172069825,4.987531172069826,8.0,0.0199501246882793,19.950124688279303,SCB gewinnt
897,3082,"Schlosswil, Worb",4.0,0.0050568900126422255,5.056890012642225,10.0,0.012642225031605562,12.642225031605562,SCB gewinnt
898,3083,Münsingen,4.0,0.0074211502782931356,7.421150278293135,6.0,0.011131725417439703,11.131725417439704,SCB gewinnt
899,3084,"Bern, Köniz",132.0,0.01847445766270119,18.474457662701187,74.0,0.010356892932120365,10.356892932120365,YB gewinnt
900,3086,"Oberbalm, Belp, Niedermuhlern, Wald (BE)",7.0,0.005942275042444821,5.942275042444821,22.0,0.01867572156196944,18.67572156196944,SCB gewinnt
901,3087,"Niedermuhlern, Rüeggisberg, Wald (BE)",5.0,0.009523809523809525,9.523809523809526,12.0,0.022857142857142857,22.857142857142858,SCB gewinnt
902,3088,Rüeggisberg,4.0,0.003898635477582846,3.898635477582846,13.0,0.012670565302144249,12.670565302144249,SCB gewinnt
903,3089,Rüeggisberg,4.0,0.013157894736842105,13.157894736842104,3.0,0.009868421052631578,9.868421052631579,YB gewinnt
904,3095,Köniz,31.0,0.00970266040688576,9.702660406885759,18.0,0.005633802816901409,5.633802816901409,YB gewinnt
905,3096,"Oberbalm, Wald (BE)",7.0,0.007891770011273957,7.891770011273957,20.0,0.02254791431792559,22.547914317925592,SCB gewinnt
906,3097,"Bern, Köniz",152.0,0.018258258258258258,18.25825825825826,71.0,0.008528528528528529,8.528528528528529,YB gewinnt
907,3098,Köniz,131.0,0.011656878448122441,11.656878448122441,132.0,0.011745862253069941,11.74586225306994,SCB gewinnt
908,3099,"Rüschegg, Riggisberg, Rüeggisberg",1.0,0.003076923076923077,3.076923076923077,6.0,0.018461538461538463,18.461538461538463,SCB gewinnt
909,3110,Münsingen,145.0,0.013067772170151405,13.067772170151406,122.0,0.01099495313626532,10.99495313626532,YB gewinnt
910,3111,"Münsingen, Tägertschi",2.0,0.0049504950495049506,4.9504950495049505,2.0,0.0049504950495049506,4.9504950495049505,Unentschieden
911,3112,"Rubigen, Allmendingen",5.0,0.008635578583765112,8.635578583765112,10.0,0.017271157167530225,17.271157167530223,SCB gewinnt
912,3113,"Rubigen, Worb",39.0,0.013251783893985729,13.25178389398573,39.0,0.013251783893985729,13.25178389398573,Unentschieden
913,3114,"Kiesen, Wichtrach",42.0,0.010196649672250545,10.196649672250546,46.0,0.011167759164845836,11.167759164845837,SCB gewinnt
914,3115,"Belp, Gerzensee, Mühledorf (BE)",16.0,0.01345668629100084,13.45668629100084,10.0,0.008410428931875526,8.410428931875526,YB gewinnt
915,3116,"Kirchdorf (BE), Mühledorf (BE), Noflen",9.0,0.006237006237006237,6.237006237006238,13.0,0.009009009009009009,9.00900900900901,SCB gewinnt
916,3122,"Köniz, Belp, Kehrsatz",54.0,0.01275992438563327,12.759924385633271,47.0,0.01110586011342155,11.105860113421551,YB gewinnt
917,3123,"Belp, Kehrsatz, Toffen",147.0,0.013427109974424553,13.427109974424553,211.0,0.01927292656192912,19.272926561929122,SCB gewinnt
918,3124,Belp,2.0,0.005917159763313609,5.9171597633136095,5.0,0.014792899408284023,14.792899408284024,SCB gewinnt
919,3125,"Belp, Gelterfingen, Toffen",33.0,0.012495266944339266,12.495266944339265,32.0,0.0121166224914805,12.116622491480499,YB gewinnt
920,3126,"Gelterfingen, Kaufdorf, Toffen",5.0,0.0038461538461538464,3.8461538461538463,13.0,0.01,10.0,SCB gewinnt
921,3127,"Lohnstorf, Mühlethurnen",14.0,0.00863664404688464,8.636644046884639,28.0,0.01727328809376928,17.273288093769278,SCB gewinnt
922,3128,"Kirchenthurnen, Mühlethurnen, Rümligen",5.0,0.008183306055646482,8.183306055646481,2.0,0.0032733224222585926,3.273322422258593,YB gewinnt
923,3132,"Riggisberg, Rüeggisberg, Rümligen",11.0,0.0049172999552972736,4.917299955297273,33.0,0.014751899865891819,14.751899865891819,SCB gewinnt
924,3144,Köniz,12.0,0.010517090271691499,10.5170902716915,15.0,0.013146362839614373,13.146362839614373,SCB gewinnt
925,3145,"Köniz, Oberbalm",30.0,0.011029411764705883,11.029411764705882,37.0,0.013602941176470588,13.602941176470589,SCB gewinnt
926,3147,"Köniz, Oberbalm",5.0,0.005543237250554324,5.543237250554324,8.0,0.008869179600886918,8.869179600886918,SCB gewinnt
927,3148,Schwarzenburg,6.0,0.006224066390041493,6.224066390041493,11.0,0.011410788381742738,11.410788381742737,SCB gewinnt
928,3150,"Guggisberg, Schwarzenburg",29.0,0.00666819958611175,6.66819958611175,41.0,0.00942745458726144,9.427454587261439,SCB gewinnt
929,3152,"Rüschegg, Schwarzenburg",4.0,0.005479452054794521,5.47945205479452,8.0,0.010958904109589041,10.95890410958904,SCB gewinnt
930,3153,Rüschegg,3.0,0.006276150627615063,6.2761506276150625,4.0,0.008368200836820083,8.368200836820083,SCB gewinnt
931,3154,"Rüschegg, Schwarzenburg, Rüeggisberg",10.0,0.008305647840531562,8.305647840531561,4.0,0.0033222591362126247,3.3222591362126246,YB gewinnt
932,3155,"Riggisberg, Rüeggisberg",,,,2.0,0.005050505050505051,5.050505050505051,Unentschieden
933,3156,"Guggisberg, Rüschegg",,,,4.0,0.01078167115902965,10.781671159029651,Unentschieden
934,3157,"Guggisberg, Rüschegg, Schwarzenburg",2.0,0.005847953216374269,5.847953216374268,3.0,0.008771929824561403,8.771929824561402,SCB gewinnt
935,3158,Guggisberg,1.0,0.0014388489208633094,1.4388489208633093,2.0,0.0028776978417266188,2.8776978417266186,SCB gewinnt
936,3159,Guggisberg,,,,,,,Unentschieden
937,3172,Köniz,52.0,0.018738738738738738,18.73873873873874,47.0,0.016936936936936937,16.936936936936938,YB gewinnt
938,3173,Köniz,14.0,0.009453072248480757,9.453072248480757,29.0,0.019581363943281565,19.581363943281566,SCB gewinnt
939,3174,"Köniz, Neuenegg",30.0,0.012942191544434857,12.942191544434857,30.0,0.012942191544434857,12.942191544434857,Unentschieden
940,3175,Wünnewil-Flamatt,18.0,0.008222932846048425,8.222932846048424,11.0,0.005025125628140704,5.025125628140704,YB gewinnt
941,3176,"Neuenegg, Wünnewil-Flamatt",44.0,0.011494252873563218,11.494252873563218,55.0,0.014367816091954023,14.367816091954023,SCB gewinnt
942,3177,"Ferenbalm, Laupen, Neuenegg",30.0,0.010104412260020209,10.104412260020208,35.0,0.011788480970023578,11.788480970023578,SCB gewinnt
943,3178,Bösingen,25.0,0.007438262421898245,7.438262421898245,27.0,0.008033323415650105,8.033323415650106,SCB gewinnt
944,3179,"Kriechenwil, Gurmels",,,,13.0,0.03009259259259259,30.09259259259259,Unentschieden
945,3182,"St. Antoni, Schmitten (FR), Ueberstorf",11.0,0.004590984974958264,4.590984974958264,7.0,0.002921535893155259,2.9215358931552586,YB gewinnt
946,3183,Schwarzenburg,1.0,0.002183406113537118,2.1834061135371177,4.0,0.008733624454148471,8.73362445414847,SCB gewinnt
947,3184,"Bösingen, Wünnewil-Flamatt",15.0,0.0047831632653061226,4.783163265306123,6.0,0.001913265306122449,1.913265306122449,YB gewinnt
948,3185,"Bösingen, St. Antoni, Schmitten (FR), Wünnewil-Flamatt",11.0,0.002683581361307636,2.683581361307636,12.0,0.002927543303244694,2.927543303244694,SCB gewinnt
949,3186,Düdingen,20.0,0.002627085248916327,2.627085248916327,18.0,0.0023643767240246944,2.3643767240246945,YB gewinnt
950,3202,"Frauenkappelen, Mühleberg",35.0,0.03125,31.25,21.0,0.01875,18.75,YB gewinnt
951,3203,Mühleberg,23.0,0.01902398676592225,19.02398676592225,20.0,0.016542597187758478,16.542597187758478,YB gewinnt
952,3204,"Mühleberg, Neuenegg",17.0,0.01710261569416499,17.102615694164992,17.0,0.01710261569416499,17.102615694164992,Unentschieden
953,3205,"Ferenbalm, Mühleberg, Gurmels",24.0,0.02318840579710145,23.18840579710145,20.0,0.01932367149758454,19.32367149758454,YB gewinnt
954,3206,"Ferenbalm, Gurmels",3.0,0.002638522427440633,2.638522427440633,8.0,0.007036059806508356,7.036059806508356,SCB gewinnt
955,3207,"Ferenbalm, Golaten, Wileroltigen, Kerzers",7.0,0.009628610729023384,9.628610729023384,10.0,0.013755158184319119,13.75515818431912,SCB gewinnt
956,3208,Gurbrü,5.0,0.020833333333333332,20.833333333333332,9.0,0.0375,37.5,SCB gewinnt
957,3210,"Gurbrü, Kerzers",60.0,0.012424932698281217,12.424932698281218,43.0,0.008904535100434872,8.904535100434872,YB gewinnt
958,3212,Gurmels,3.0,0.0015463917525773195,1.5463917525773194,4.0,0.002061855670103093,2.061855670103093,SCB gewinnt
959,3213,"Gurmels, Kleinbösingen",2.0,0.0015267175572519084,1.5267175572519083,2.0,0.0015267175572519084,1.5267175572519083,Unentschieden
960,3214,Ulmiz,4.0,0.009876543209876543,9.876543209876543,2.0,0.0049382716049382715,4.938271604938271,YB gewinnt
961,3215,"Gempenach, Murten",6.0,0.00933125972006221,9.33125972006221,8.0,0.012441679626749611,12.441679626749611,SCB gewinnt
962,3216,Ried bei Kerzers,17.0,0.01555352241537054,15.55352241537054,7.0,0.006404391582799634,6.404391582799634,YB gewinnt
963,3225,Müntschemier,15.0,0.01145912910618793,11.45912910618793,19.0,0.014514896867838044,14.514896867838043,SCB gewinnt
964,3226,"Kallnach, Treiten",6.0,0.013793103448275862,13.793103448275861,3.0,0.006896551724137931,6.896551724137931,YB gewinnt
965,3232,"Erlach, Ins",7.0,0.002066115702479339,2.066115702479339,13.0,0.0038370720188902006,3.8370720188902006,SCB gewinnt
966,3233,"Erlach, Tschugg",2.0,0.004405286343612335,4.405286343612335,5.0,0.011013215859030838,11.013215859030838,SCB gewinnt
967,3234,Vinelz,2.0,0.0023501762632197414,2.3501762632197414,10.0,0.011750881316098707,11.750881316098708,SCB gewinnt
968,3235,"Erlach, Gals, Twann-Tüscherz",3.0,0.0022156573116691287,2.2156573116691285,10.0,0.007385524372230428,7.385524372230428,SCB gewinnt
969,3236,"Gampelen, Ins",1.0,0.0011534025374855825,1.1534025374855825,2.0,0.002306805074971165,2.306805074971165,SCB gewinnt
970,3237,Brüttelen,1.0,0.0017605633802816902,1.7605633802816902,6.0,0.01056338028169014,10.56338028169014,SCB gewinnt
971,3238,Gals,,,,4.0,0.005405405405405406,5.405405405405405,Unentschieden
972,3250,"Aarberg, Kappelen, Lyss",92.0,0.007518182561085233,7.518182561085233,95.0,0.0077633406880771435,7.763340688077143,SCB gewinnt
973,3251,"Rapperswil (BE), Wengi",4.0,0.004914004914004914,4.914004914004914,12.0,0.014742014742014743,14.742014742014742,SCB gewinnt
974,3252,"Kappelen, Worben",11.0,0.004805591961555264,4.805591961555264,25.0,0.010921799912625601,10.921799912625602,SCB gewinnt
975,3253,Schnottwil,12.0,0.011417697431018078,11.417697431018079,3.0,0.0028544243577545195,2.8544243577545196,YB gewinnt
976,3254,"Rapperswil (BE), Messen",10.0,0.00825082508250825,8.25082508250825,7.0,0.005775577557755775,5.775577557755775,YB gewinnt
977,3255,Rapperswil (BE),12.0,0.01079136690647482,10.79136690647482,26.0,0.023381294964028777,23.38129496402878,SCB gewinnt
978,3256,Rapperswil (BE),5.0,0.007407407407407408,7.407407407407407,15.0,0.022222222222222223,22.22222222222222,SCB gewinnt
979,3257,Grossaffoltern,18.0,0.007815892314372557,7.815892314372557,35.0,0.015197568389057751,15.197568389057752,SCB gewinnt
980,3262,Grossaffoltern,16.0,0.024806201550387597,24.8062015503876,5.0,0.007751937984496124,7.751937984496124,YB gewinnt
981,3263,Büetigen,5.0,0.006105006105006105,6.105006105006105,3.0,0.003663003663003663,3.663003663003663,YB gewinnt
982,3264,Diessbach bei Büren,1.0,0.001034126163391934,1.0341261633919339,5.0,0.005170630816959669,5.170630816959669,SCB gewinnt
983,3266,Seedorf (BE),5.0,0.008503401360544218,8.503401360544219,4.0,0.006802721088435374,6.802721088435374,YB gewinnt
984,3267,"Aarberg, Seedorf (BE)",17.0,0.010107015457788348,10.107015457788348,26.0,0.015457788347205707,15.457788347205707,SCB gewinnt
985,3268,Seedorf (BE),11.0,0.022494887525562373,22.494887525562373,2.0,0.00408997955010225,4.08997955010225,YB gewinnt
986,3270,"Aarberg, Seedorf (BE)",39.0,0.008853575482406357,8.853575482406358,46.0,0.010442678774120319,10.442678774120319,SCB gewinnt
987,3271,Radelfingen,7.0,0.017948717948717947,17.94871794871795,5.0,0.01282051282051282,12.82051282051282,YB gewinnt
988,3272,"Epsach, Walperswil",3.0,0.0022813688212927757,2.2813688212927756,17.0,0.012927756653992395,12.927756653992395,SCB gewinnt
989,3273,"Aarberg, Kappelen",6.0,0.004531722054380665,4.531722054380665,10.0,0.0075528700906344415,7.552870090634442,SCB gewinnt
990,3274,"Bühl, Hermrigen, Merzligen",1.0,0.000925925925925926,0.9259259259259259,4.0,0.003703703703703704,3.7037037037037037,SCB gewinnt
991,3280,"Courgevaux, Greng, Meyriez, Murten",17.0,0.0022809606869716894,2.2809606869716896,38.0,0.005098618006172011,5.0986180061720106,SCB gewinnt
992,3282,Bargen (BE),7.0,0.007209062821833162,7.209062821833162,8.0,0.008238928939237899,8.2389289392379,SCB gewinnt
993,3283,"Bargen (BE), Kallnach",8.0,0.0040941658137154556,4.094165813715455,20.0,0.01023541453428864,10.235414534288639,SCB gewinnt
994,3284,Fräschels,5.0,0.01098901098901099,10.989010989010989,1.0,0.002197802197802198,2.197802197802198,YB gewinnt
995,3285,"Galmiz, Murten",,,,11.0,0.01687116564417178,16.87116564417178,Unentschieden
996,3286,Muntelier,9.0,0.00944386149003148,9.44386149003148,7.0,0.007345225603357817,7.345225603357817,YB gewinnt
997,3292,Lyss,6.0,0.003084832904884319,3.084832904884319,31.0,0.015938303341902313,15.938303341902312,SCB gewinnt
998,3293,Dotzigen,5.0,0.0035236081747709656,3.5236081747709656,13.0,0.009161381254404511,9.16138125440451,SCB gewinnt
999,3294,"Büren an der Aare, Dotzigen, Meienried",17.0,0.0048502139800285305,4.85021398002853,20.0,0.005706134094151213,5.706134094151213,SCB gewinnt
1000,3295,Rüti bei Büren,3.0,0.0036231884057971015,3.6231884057971016,1.0,0.0012077294685990338,1.2077294685990339,YB gewinnt
1001,3296,Arch,4.0,0.002621231979030144,2.6212319790301444,9.0,0.005897771952817824,5.897771952817824,SCB gewinnt
1002,3297,Leuzigen,11.0,0.008928571428571428,8.928571428571429,4.0,0.003246753246753247,3.246753246753247,YB gewinnt
1003,3298,Oberwil bei Büren,4.0,0.004830917874396135,4.830917874396135,9.0,0.010869565217391304,10.869565217391305,SCB gewinnt
1004,3302,Moosseedorf,57.0,0.014522292993630573,14.522292993630574,81.0,0.020636942675159236,20.636942675159236,SCB gewinnt
1005,3303,"Jegenstorf, Zuzwil (BE)",91.0,0.015191986644407346,15.191986644407347,95.0,0.015859766277128547,15.859766277128546,SCB gewinnt
1006,3305,"Jegenstorf, Iffwil",8.0,0.015594541910331383,15.594541910331383,9.0,0.017543859649122806,17.543859649122805,SCB gewinnt
1007,3306,Fraubrunnen,5.0,0.016286644951140065,16.286644951140065,5.0,0.016286644951140065,16.286644951140065,Unentschieden
1008,3307,Messen,5.0,0.026455026455026454,26.455026455026452,10.0,0.05291005291005291,52.910052910052904,SCB gewinnt
1009,3308,Fraubrunnen,23.0,0.023809523809523808,23.809523809523807,17.0,0.017598343685300208,17.598343685300208,YB gewinnt
1010,3309,"Kernenried, Fraubrunnen",4.0,0.0050062578222778474,5.006257822277847,17.0,0.02127659574468085,21.27659574468085,SCB gewinnt
1011,3312,Fraubrunnen,25.0,0.01385809312638581,13.85809312638581,28.0,0.015521064301552107,15.521064301552107,SCB gewinnt
1012,3313,Fraubrunnen,13.0,0.027896995708154508,27.89699570815451,5.0,0.01072961373390558,10.729613733905579,YB gewinnt
1013,3314,"Bätterkinden, Fraubrunnen",4.0,0.007952286282306162,7.952286282306162,3.0,0.005964214711729622,5.964214711729622,YB gewinnt
1014,3315,Bätterkinden,46.0,0.014881915237787124,14.881915237787124,38.0,0.012293756065998059,12.293756065998059,YB gewinnt
1015,3317,Fraubrunnen,5.0,0.008928571428571428,8.928571428571429,6.0,0.010714285714285714,10.714285714285714,SCB gewinnt
1016,3322,"Mattstetten, Moosseedorf, Urtenen-Schönbühl",138.0,0.020420242675347738,20.420242675347737,114.0,0.016868896123113347,16.86889612311335,YB gewinnt
