"Kanton";"Karosserie";"Treibstoff";"Anzahl Sitzplätze";"Antrieb";"Getriebe";"2012";"2013"
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Automatisches";48;48
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Manuelles";320;310
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Übrige";3;8
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Automatisches";457;442
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Manuelles";8202;8243
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Übrige";44;50
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Automatisches";114;101
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Manuelles";337;333
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Übrige";18;20
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Automatisches";8;10
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Manuelles";46;49
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Übrige";4;5
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Automatisches";19;17
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Manuelles";203;201
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Übrige";12;13
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Automatisches";5;4
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Manuelles";42;41
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Übrige";2;4
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Automatisches";2242;2194
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Manuelles";30378;31564
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Übrige";499;542
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Automatisches";4630;4651
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Manuelles";4634;4879
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Übrige";168;147
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Automatisches";2074;2167
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Manuelles";4635;4815
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Übrige";108;101
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Automatisches";49812;46024
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Manuelles";161708;158187
