Australia,2
Belgium,17
Canada,168
Finland,1
France,44
Germany,10
Greece,3
Ireland,5
Italy,45
Malta,5
Norway,1
Portugal,1
Romania,1
Spain,918
Sweden,20
USA (INS/DHS),7422
United Kingdom of Great Britain and Northern Ireland,4
