Ort,PLZ,Gemeindename,Kantonskürzel,Einwohner,YB (absolut),YB (relativ),SCB (absolut),SCB (relativ)
Alvaschein,7451,Albula/Alvra,GR,142,0,0,0,0
Am Bach (Avers),7447,Avers,GR,129,0,0,0,0
Ambrì,6775,Quinto,TI,470,0,0,0,0
Amden,8873,Amden,SG,1750,0,0,0,0
Aminona,3963,Mollens (VS),VS,2683,0,0,0,0
Amlikon-Bissegg,8514,Amlikon-Bissegg,TG,1313,0,0,0,0
Ammerswil AG,5600,Ammerswil,AG,8832,1,0.1132246377,9,1.019021739
Ammerzwil BE,3257,Grossaffoltern,BE,1703,18,10.56958309,31,18.20317087
Amriswil,8580,Amriswil,TG,11153,0,0,0,0
Amsoldingen,3633,Amsoldingen,BE,786,0,0,3,3.816793893
Amsteg,6474,Silenen,UR,353,0,0,0,0
Andeer,7440,Andeer,GR,767,0,0,0,0
Andelfingen,8450,Andelfingen,ZH,2100,0,0,0,0
Andermatt,6490,Andermatt,UR,1393,0,0,0,0
Andhausen,8572,Berg (TG),TG,2383,0,0,0,0
Andiast,7159,Andiast,GR,209,0,0,0,0
Andwil SG,9204,Andwil (SG),SG,1925,0,0,0,0
Andwil TG,8586,Birwinken,TG,1703,0,0,0,0
Anglikon,5611,Wohlen (AG),AG,1155,0,0,0,0
Anières,1247,Anières,GE,2350,0,0,0,0
Anwil,4469,Anwil,BL,587,0,0,0,0
Anzère,1972,Ayent,VS,534,0,0,0,0
Anzonico,6748,Faido,TI,53,0,0,0,0
Appenzell,9050,Appenzell,AI,5349,2,0.3739016639,0,0
Appenzell Eggerstanden,9050,Rüte,AI,5349,2,0.3739016639,0,0
Appenzell Enggenhütten,9050,Schlatt-Haslen,AI,5349,2,0.3739016639,0,0
Appenzell Meistersrüte,9050,Appenzell,AI,5349,2,0.3739016639,0,0
Appenzell Schlatt,9050,Schlatt-Haslen,AI,5349,2,0.3739016639,0,0
Appenzell Steinegg,9050,Rüte,AI,5349,2,0.3739016639,0,0
Apples,1143,Apples,VD,1306,0,0,0,0
Aproz (Nendaz),1994,Nendaz,VS,832,0,0,0,0
Aquila,6719,Blenio,TI,426,0,0,0,0
Aquila,6719,Blenio,TI,426,0,0,0,0
Aquila,6719,Blenio,TI,426,0,0,0,0
Aran,1091,Bourg-en-Lavaux,VD,2195,0,0,0,0
Aranno,6994,Aranno,TI,325,0,0,0,0
Arbaz,1974,Arbaz,VS,1144,0,0,0,0
Arbedo,6517,Arbedo-Castione,TI,3220,0,0,0,0
Arboldswil,4424,Arboldswil,BL,539,0,0,0,0
Arbon,9320,Arbon,TG,11975,0,0,0,0
Arcegno,6618,Losone,TI,438,0,0,0,0
Arch,3296,Arch,BE,1518,4,2.635046113,9,5.928853755
Arconciel,1732,Arconciel,FR,782,0,0,0,0
Ardez,7546,Scuol,GR,357,0,0,0,0
Ardon,1957,Ardon,VS,2964,0,0,0,0
Areuse,2015,Boudry,NE,733,0,0,0,0
Arezen,7104,Safiental,GR,169,0,0,0,0
Argnou (Ayent),1966,Ayent,VS,301,0,0,1,3.322259136
Arisdorf,4422,Arisdorf,BL,1614,0,0,3,1.858736059
Aristau,5628,Aristau,AG,1384,0,0,1,0.7225433526
Arlesheim,4144,Arlesheim,BL,9115,2,0.2194185409,2,0.2194185409
Arnegg,9212,Gossau (SG),SG,1855,0,0,0,0
Arnex-sur-Nyon,1277,Arnex-sur-Nyon,VD,891,0,0,0,0
Arnex-sur-Orbe,1321,Arnex-sur-Orbe,VD,597,0,0,0,0
Arni AG,8905,Arni (AG),AG,605,0,0,1,1.652892562
Arni BE,3508,Arni (BE),BE,935,2,2.139037433,5,5.347593583
Arogno,6822,Arogno,TI,892,0,0,0,0
Arolla,1986,Evolène,VS,64,0,0,0,0
Arosa,7050,Arosa,GR,2134,0,0,0,0
Arosio,6939,Alto Malcantone,TI,257,0,0,0,0
Arth,6415,Arth,SZ,3368,0,0,2,0.593824228
Arveyes,1884,Ollon,VD,1376,0,0,2,1.453488372
Arvigo,6543,Calanca,GR,82,0,0,0,0
Arvillard (Salins),1991,Sion,VS,457,0,0,0,0
Arzier-Le Muids,1273,Arzier-Le Muids,VD,1786,0,0,0,0
Arzo,6864,Mendrisio,TI,1195,0,0,0,0
Ascharina,7245,Luzein,GR,113,0,0,0,0
Ascona,6612,Ascona,TI,5423,0,0,0,0
Asp,5025,Densbüren,AG,245,0,0,0,0
Assens,1042,Assens,VD,1035,0,0,0,0
Astano,6999,Astano,TI,297,0,0,0,0
Asuel,2954,La Baroche,JU,185,0,0,0,0
Athenaz (Avusy),1285,Avusy,GE,1426,0,0,0,0
Attalens,1616,Attalens,FR,2716,0,0,0,0
Attelwil,5056,Attelwil,AG,283,0,0,1,3.533568905
Attikon,8544,Wiesendangen,ZH,353,0,0,0,0
Attinghausen,6468,Attinghausen,UR,1592,0,0,0,0
Attiswil,4536,Attiswil,BE,1374,11,8.005822416,9,6.550218341
Au SG,9434,Au (SG),SG,3715,0,0,0,0
Au TG,8376,Fischingen,TG,423,0,0,0,0
Au ZH,8804,Wädenswil,ZH,5454,3,0.5500550055,1,0.1833516685
Aubonne,1170,Aubonne,VD,3004,0,0,0,0
Auboranges,1673,Auboranges,FR,533,0,0,0,0
Auddes-sur-Riddes,1914,Riddes,VS,879,0,0,0,0
Auenstein,5105,Auenstein,AG,1568,1,0.637755102,2,1.275510204
Augio,6547,Rossa,GR,78,0,0,0,0
Augst BL,4302,Augst,BL,858,2,2.331002331,0,0
Aumont,1484,Les Montets,FR,515,0,0,0,0
Auressio,6661,Isorno,TI,152,0,0,0,0
Aurigeno,6677,Maggia,TI,697,0,0,0,0
Auslikon,8331,Pfäffikon,ZH,644,0,0,0,0
Ausserberg,3938,Ausserberg,VS,642,0,0,1,1.557632399
Ausserbinn,3995,Ernen,VS,360,0,0,0,0
Ausserferrera,7444,Ferrera,GR,76,0,0,0,0
Auswil,4944,Auswil,BE,460,2,4.347826087,4,8.695652174
Autafond,1782,Belfaux,FR,2992,0,0,0,0
Autavaux,1475,Vernay,FR,287,0,0,1,3.484320557
Autigny,1742,Autigny,FR,768,0,0,1,1.302083333
Auvernier,2012,Milvignes,NE,1503,0,0,0,0
Auw,5644,Auw,AG,1869,0,0,0,0
Avegno,6670,Avegno Gordevio,TI,626,0,0,0,0
Aven,1976,Conthey,VS,1382,0,0,0,0
Avenches,1580,Avenches,VD,3193,2,0.6263701848,3,0.9395552772
Avry-devant-Pont,1644,Pont-en-Ogoz,FR,555,0,0,0,0
Avry-sur-Matran,1754,Avry,FR,319,0,0,1,3.134796238
Avully,1237,Avully,GE,1770,0,0,0,0
Axalp,3855,Brienz (BE),BE,2924,4,1.367989056,5,1.70998632
Ayer,3961,Anniviers,VS,457,0,0,0,0
Azmoos,9478,Wartau,SG,1634,0,0,0,0
Baar,6340,Baar,ZG,21217,2,0.09426403356,1,0.04713201678
Baar (Nendaz),1996,Nendaz,VS,1156,0,0,0,0
Bäch SZ,8806,Freienbach,SZ,1898,0,0,0,0
Bachenbülach,8184,Bachenbülach,ZH,4047,0,0,1,0.2470966148
Bächli (Hemberg),9633,Hemberg,SG,548,0,0,0,0
Bachs,8164,Bachs,ZH,610,0,0,0,0
Bad Ragaz,7310,Bad Ragaz,SG,5681,0,0,0,0
Bad Ragaz,7310,Pfäfers,SG,5681,0,0,0,0
Bad Zurzach,5330,Bad Zurzach,AG,4173,0,0,0,0
Baden,5400,Baden,AG,12371,2,0.1616684181,3,0.2425026271
Baden,5404,Baden,AG,165,0,0,0,0
Baldegg,6283,Hochdorf,LU,749,0,0,0,0
Baldingen,5333,Baldingen,AG,274,0,0,1,3.649635036
Balerna,6828,Balerna,TI,3359,0,0,1,0.2977076511
Balgach,9436,Balgach,SG,4536,0,0,0,0
Ballaigues,1338,Ballaigues,VD,987,0,0,0,0
Ballens,1144,Ballens,VD,484,0,0,0,0
Ballmoos,3303,Jegenstorf,BE,4716,91,19.29601357,78,16.5394402
Ballwil,6275,Ballwil,LU,2611,0,0,0,0
Balm b. Günsberg,4525,Balm bei Günsberg,SO,158,2,12.65822785,0,0
Balm b. Messen,3254,Messen,SO,1037,10,9.643201543,7,6.75024108
Balmberg,4524,Balm bei Günsberg,SO,1135,2,1.762114537,3,2.643171806
Balsthal,4710,Balsthal,SO,5836,0,0,4,0.6854009596
Balterswil,8362,Bichelsee-Balterswil,TG,1770,0,0,0,0
Baltschieder,3937,Baltschieder,VS,1268,0,0,0,0
Baltschieder,3937,Baltschieder,VS,1268,0,0,0,0
Banco,6981,Bedigliora,TI,347,0,0,0,0
Bangerten b. Dieterswil,3256,Rapperswil (BE),BE,355,5,14.08450704,13,36.61971831
Bänk (Dägerlen),8471,Dägerlen,ZH,346,0,0,0,0
Bannwil,4913,Bannwil,BE,691,4,5.788712012,5,7.235890014
Bärau,3552,Langnau im Emmental,BE,1154,0,0,1,0.8665511265
Barbengo,6917,Lugano,TI,508,0,0,0,0
Barberêche,1783,Barberêche,FR,406,0,0,0,0
