Ort,PLZ,Gemeindename,Kantonskürzel,Einwohner,YB (absolut),YB (relativ),SCB (absolut),SCB (relativ)
Ennetmoos,6372,Ennetmoos,NW,2109,0,0,1,0.4741583689
Enney,1667,Bas-Intyamon,FR,570,0,0,0,0
Entlebuch,6162,Entlebuch,LU,2071,0,0,2,0.9657170449
Epagny,1663,Gruyères,FR,113,1,8.849557522,0,0
Epalinges,1066,Epalinges,VD,8936,2,0.2238137869,0,0
Epautheyres,1417,Essertines-sur-Yverdon,VD,631,0,0,1,1.584786054
Epauvillers,2885,Clos du Doubs,JU,151,0,0,0,0
Ependes FR,1731,Ependes (FR),FR,1100,2,1.818181818,0,0
Ependes VD,1434,Ependes (VD),VD,332,0,0,1,3.012048193
Epesses,1098,Bourg-en-Lavaux,VD,323,0,0,0,0
Epiquerez,2886,Clos du Doubs,JU,75,0,0,0,0
Eppenberg,5012,Eppenberg-Wöschnau,SO,4859,0,0,2,0.4116073266
Epsach,3272,Epsach,BE,959,3,3.128258603,13,13.55578728
Eptingen,4458,Eptingen,BL,516,0,0,0,0
Erde,1976,Conthey,VS,1382,0,0,0,0
Ergisch,3947,Ergisch,VS,155,0,0,0,0
Eriswil,4952,Eriswil,BE,1386,1,0.7215007215,4,2.886002886
Eriz,3619,Eriz,BE,426,0,0,1,2.34741784
Erlach,3235,Erlach,BE,1327,3,2.260738508,10,7.535795026
Erlen,8586,Erlen,TG,1703,0,0,0,0
Erlenbach im Simmental,3762,Erlenbach im Simmental,BE,1125,2,1.777777778,2,1.777777778
Erlenbach ZH,8703,Erlenbach (ZH),ZH,5340,4,0.7490636704,0,0
Erlinsbach,5018,Erlinsbach (AG),AG,3794,0,0,5,1.317870322
Erlinsbach SO,5015,Erlinsbach (SO),SO,3327,2,0.6011421701,5,1.502855425
Ermatingen,8272,Ermatingen,TG,2697,0,0,0,0
Ermensee,6294,Ermensee,LU,875,0,0,0,0
Ermenswil,8734,Eschenbach (SG),SG,731,0,0,0,0
Ernen,3995,Ernen,VS,360,0,0,0,0
Ernetschwil,8725,Gommiswald,SG,703,0,0,0,0
Erschmatt,3957,Leuk,VS,200,0,0,0,0
Erschwil,4228,Erschwil,SO,892,1,1.121076233,0,0
Ersigen,3423,Ersigen,BE,1642,12,7.30816078,13,7.917174178
Erstfeld,6472,Erstfeld,UR,3804,0,0,0,0
Eschenbach LU,6274,Eschenbach (LU),LU,3553,0,0,1,0.2814522938
Eschenbach SG,8733,Eschenbach (SG),SG,4355,0,0,0,0
Eschenz,8264,Eschenz,TG,1693,0,0,0,0
Eschert,2743,Eschert,BE,364,0,0,1,2.747252747
Eschikofen,8553,Hüttlingen,TG,58,0,0,0,0
Eschlikon TG,8360,Eschlikon,TG,2922,0,0,5,1.711156742
Escholzmatt,6182,Escholzmatt-Marbach,LU,2606,0,0,0,0
Esmonts,1670,Ursy,FR,1181,0,0,0,0
Essert FR,1724,Le Mouret,FR,1379,0,0,1,0.7251631617
Essert-Pittet,1435,Essert-Pittet,VD,152,0,0,0,0
Essert-sous-Champvent,1443,Champvent,VD,356,0,0,0,0
Essertes,1078,Essertes,VD,319,0,0,0,0
Essertines-sur-Rolle,1186,Essertines-sur-Rolle,VD,682,0,0,0,0
Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,VD,631,0,0,1,1.584786054
Esslingen,8133,Egg,ZH,1766,0,0,0,0
Estavannens,1665,Bas-Intyamon,FR,477,0,0,0,0
Estavayer-le-Gibloux,1695,Gibloux,FR,360,2,5.555555556,1,2.777777778
Estavayer-le-Lac,1470,Estavayer-le-Lac,FR,5689,0,0,0,0
Estévenens,1687,Vuisternens-devant-Romont,FR,709,0,0,0,0
Etagnières,1037,Etagnières,VD,1076,0,0,0,0
Etoy,1163,Etoy,VD,2883,0,0,0,0
Ettenhausen TG,8356,Aadorf,TG,1257,0,0,0,0
Ettingen,4107,Ettingen,BL,4870,0,0,0,0
Ettiswil,6218,Ettiswil,LU,2103,0,0,0,0
Etzelkofen,3306,Fraubrunnen,BE,352,5,14.20454545,5,14.20454545
Etzgen,5275,Mettauertal,AG,395,0,0,0,0
Etziken,4554,Etziken,SO,771,4,5.188067445,13,16.8612192
Etzwilen,8259,Wagenhausen,TG,698,0,0,0,0
Euseigne,1982,Hérémence,VS,479,0,0,0,0
Euthal,8844,Einsiedeln,SZ,647,0,0,0,0
Evilard,2533,Evilard,BE,1904,4,2.100840336,0,0
Evionnaz,1902,Evionnaz,VS,1202,0,0,1,0.8319467554
Evolène,1983,Evolène,VS,661,0,0,1,1.512859304
Eyholz,3930,Visp,VS,6925,0,0,1,0.1444043321
Eysins,1262,Eysins,VD,1398,0,0,0,0
Fahrni b. Thun,3617,Fahrni,BE,811,2,2.466091245,11,13.56350185
Fahrwangen,5615,Fahrwangen,AG,1940,0,0,4,2.06185567
Fahrweid,8951,Weiningen (ZH),ZH,1906,0,0,0,0
Fahy,2916,Fahy,JU,357,0,0,0,0
Faido,6760,Faido,TI,1023,0,0,0,0
Fajauna,7226,Schiers,GR,98,0,0,0,0
Falera,7153,Falera,GR,594,0,0,0,0
Fällanden,8117,Fällanden,ZH,4301,0,0,0,0
Fanas,7215,Grüsch,GR,422,0,0,0,0
Fankhaus (Trub),3557,Trub,BE,381,0,0,0,0
Faoug,1595,Faoug,VD,795,0,0,1,1.257861635
Farden,7433,Donat,GR,188,0,0,0,0
Farnern,4539,Farnern,BE,471,0,0,1,2.123142251
Farvagny,1726,Gibloux,FR,1604,0,0,0,0
Farvagny-le-Petit,1726,Gibloux,FR,1604,0,0,0,0
Faulensee,3705,Spiez,BE,1305,4,3.0651341,5,3.831417625
Féchy,1173,Féchy,VD,857,0,0,1,1.166861144
Fehraltorf,8320,Fehraltorf,ZH,6283,0,0,1,0.1591596371
Fehren,4232,Fehren,SO,626,0,0,0,0
Felben-Wellhausen,8552,Felben-Wellhausen,TG,2611,0,0,0,0
Feldbach,8714,Hombrechtikon,ZH,497,0,0,0,0
Feldbrunnen,4532,Feldbrunnen-St. Niklaus,SO,939,1,1.064962726,2,2.129925453
Feldis/Veulden,7404,Domleschg,GR,93,0,0,0,0
Felsberg,7012,Felsberg,GR,2429,0,0,0,0
Fenalet-sur-Bex,1880,Bex,VD,6352,1,0.1574307305,1,0.1574307305
Fenil-sur-Corsier,1809,Corsier-sur-Vevey,VD,172,0,0,0,0
Fenin,2063,Val-de-Ruz,NE,228,0,0,0,0
Fenkrieden,5645,Sins,AG,326,0,0,0,0
Ferden,3916,Ferden,VS,234,1,4.273504274,0,0
Ferenbalm,3206,Ferenbalm,BE,669,3,4.484304933,3,4.484304933
Ferlens VD,1076,Ferlens (VD),VD,328,0,0,0,0
Ferpicloz,1724,Ferpicloz,FR,1379,0,0,1,0.7251631617
Ferreyres,1313,Ferreyres,VD,304,0,0,0,0
Fescoggia,6938,Alto Malcantone,TI,245,0,0,0,0
Fétigny,1532,Fétigny,FR,896,0,0,0,0
Feuerthalen,8245,Feuerthalen,ZH,2534,0,0,0,0
Feusisberg,8835,Feusisberg,SZ,1575,0,0,0,0
Feutersoey,3784,Gsteig,BE,490,1,2.040816327,2,4.081632653
Fex,7514,Sils im Engadin/Segl,GR,553,0,0,0,0
Fey,1044,Fey,VD,608,0,0,0,0
Fey (Nendaz),1996,Nendaz,VS,1156,0,0,0,0
Fiaugères,1609,Saint-Martin (FR),FR,573,0,0,0,0
Fiaugères,1609,Saint-Martin (FR),FR,573,0,0,0,0
Fidaz,7019,Flims,GR,138,0,0,0,0
Fideris,7235,Fideris,GR,583,0,0,0,0
Fiesch,3984,Bellwald,VS,935,0,0,0,0
Fiesch,3984,Fiesch,VS,935,0,0,0,0
Fieschertal,3984,Fieschertal,VS,935,0,0,0,0
Fiez,1420,Fiez,VD,412,0,0,0,0
Figino,6918,Lugano,TI,759,0,0,0,0
Filet,3983,Mörel-Filet,VS,551,0,0,0,0
Filisur,7477,Filisur,GR,440,0,0,0,0
Filzbach,8757,Glarus Nord,GL,522,0,0,0,0
Finhaut,1925,Finhaut,VS,358,0,0,0,0
Finsterhennen,2577,Finsterhennen,BE,599,14,23.37228715,6,10.01669449
Finstersee,6313,Menzingen,ZG,2955,0,0,0,0
Finsterwald b. Entlebuch,6162,Entlebuch,LU,2071,0,0,2,0.9657170449
Fionnay,1948,Bagnes,VS,377,0,0,0,0
Fischbach LU,6145,Fischbach,LU,709,0,0,0,0
Fischbach-Göslikon,5525,Fischbach-Göslikon,AG,1578,0,0,0,0
Fischenthal,8497,Fischenthal,ZH,624,0,0,0,0
Fischingen,8376,Fischingen,TG,423,0,0,0,0
Fisibach,5467,Fisibach,AG,394,0,0,0,0
Fislisbach,5442,Fislisbach,AG,5488,0,0,0,0
Flaach,8416,Flaach,ZH,1351,0,0,2,1.4803849
Flamatt,3175,Wünnewil-Flamatt,FR,2084,18,8.637236084,11,5.27831094
Flanthey,3978,Lens,VS,487,0,0,0,0
Fläsch,7306,Fläsch,GR,671,0,0,0,0
Flawil,9230,Flawil,SG,10083,0,0,0,0
Flendruz,1659,Rougemont,VD,710,0,0,0,0
Flerden,7426,Flerden,GR,223,0,0,0,0
Flerden,7426,Flerden,GR,223,0,0,0,0
Fleurier,2114,Val-de-Travers,NE,3636,0,0,6,1.650165017
Flims Dorf,7017,Flims,GR,1710,0,0,0,0
Flims Waldhaus,7018,Flims,GR,803,0,0,0,0
Flond,7137,Obersaxen-Mundaun,GR,171,0,0,0,0
Flüelen,6454,Flüelen,UR,1985,0,0,0,0
Flüeli-Ranft,6073,Sachseln,OW,573,0,0,0,0
Flüh,4112,Hofstetten-Flüh,SO,1185,0,0,0,0
Flühli LU,6173,Flühli,LU,1086,0,0,0,0
Flumenthal,4534,Flumenthal,SO,941,4,4.250797024,4,4.250797024
Flums,8890,Flums,SG,3295,0,0,0,0
Flums Hochwiese,8893,Flums,SG,380,0,0,0,0
Flumserberg Bergheim,8896,Flums,SG,435,0,0,0,0
Flumserberg Portels,8895,Flums,SG,176,0,0,0,0
Flumserberg Saxli,8894,Flums,SG,181,0,0,0,0
Flumserberg Tannenbodenalp,8898,Flums,SG,139,0,0,0,0
Flumserberg Tannenheim,8897,Flums,SG,270,0,0,0,0
Flurlingen,8247,Flurlingen,ZH,1404,0,0,0,0
Font,1473,Estavayer-le-Lac,FR,405,0,0,0,0
Fontaine Dessous (Liddes),1945,Liddes,VS,669,0,0,0,0
Fontaine Dessus (Liddes),1945,Liddes,VS,669,0,0,0,0
Fontainemelon,2052,Val-de-Ruz,NE,1555,1,0.6430868167,1,0.6430868167
Fontaines NE,2046,Val-de-Ruz,NE,1106,0,0,0,0
Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,VD,154,0,0,0,0
Fontanezier,1423,Tévenon,VD,597,0,0,0,0
Fontannen b. Wolhusen,6110,Wolhusen,LU,3868,0,0,0,0
Fontenais,2902,Fontenais,JU,1087,0,0,0,0
Fontnas,9476,Wartau,SG,1180,0,0,0,0
Forch,8127,Küsnacht (ZH),ZH,3389,0,0,0,0
Forel (Lavaux),1072,Forel (Lavaux),VD,2037,0,0,0,0
Forel FR,1475,Vernay,FR,287,0,0,1,3.484320557
Forel-sur-Lucens,1526,Forel-sur-Lucens,VD,152,0,0,0,0
Formangueires,1782,La Sonnaz,FR,2992,0,0,0,0
Fornet-Dessous,2717,Petit-Val,BE,29,0,0,0,0
Fornet-Dessus,2718,Lajoux (JU),JU,607,0,0,0,0
Fornex (Liddes),1945,Liddes,VS,669,0,0,0,0
Forst b. Längenbühl,3636,Forst-Längenbühl,BE,425,1,2.352941176,4,9.411764706
Fortunau (Ayent),1966,Ayent,VS,301,0,0,1,3.322259136
Founex,1297,Founex,VD,3450,0,0,0,0
Fräschels,3284,Fräschels,FR,466,5,10.72961373,1,2.145922747
Frasco,6636,Frasco,TI,106,0,0,0,0
Frasnacht,9320,Arbon,TG,11975,0,0,0,0
Frasses,1483,Les Montets,FR,403,0,0,0,0
Fraubrunnen,3312,Fraubrunnen,BE,1798,25,13.90433815,28,15.57285873
Frauenfeld,8500,Frauenfeld,TG,23913,0,0,3,0.1254547736
Frauenkappelen,3202,Frauenkappelen,BE,1234,35,28.363047,21,17.0178282
Fregiécourt,2953,La Baroche,JU,158,0,0,0,0
Freidorf TG,9306,Roggwil (TG),TG,1356,0,0,0,0
Freienbach,8807,Freienbach,SZ,2987,0,0,0,0
Freienstein,8427,Freienstein-Teufen,ZH,1848,0,0,0,0
Freienwil,5423,Freienwil,AG,967,0,0,0,0
Freimettigen,3510,Freimettigen,BE,4539,61,13.4390835,48,10.57501652
Frenières-sur-Bex,1880,Bex,VD,6352,1,0.1574307305,1,0.1574307305
Frenkendorf,4402,Frenkendorf,BL,6394,0,0,0,0
Fresens,2027,Fresens,NE,252,0,0,0,0
Fretereules,2149,Rochefort,NE,52,0,0,0,0
Freudwil,8615,Uster,ZH,1337,0,0,0,0
Fribourg,1700,Fribourg,FR,36744,7,0.1905072937,2,0.05443065535
Frick,5070,Frick,AG,5107,0,0,7,1.370667711
Frieswil,3035,Seedorf (BE),BE,262,2,7.633587786,3,11.45038168
Friltschen,9504,Bussnang,TG,252,0,0,0,0
Frinvillier,2535,Sauge,BE,150,0,0,0,0
Froideville,1055,Froideville,VD,2113,0,0,0,0
Frümsen,9467,Sennwald,SG,730,0,0,0,0
Fruthwilen,8269,Salenstein,TG,505,0,0,0,0
Frutigen,3714,Frutigen,BE,6010,6,0.9983361065,28,4.65890183
Ftan,7551,Scuol,GR,489,0,0,0,0
Fuldera,7533,Val Müstair,GR,169,0,0,0,0
Fulenbach,4629,Fulenbach,SO,1686,0,0,0,0
Full-Reuenthal,5324,Full-Reuenthal,AG,820,0,0,0,0
Füllinsdorf,4414,Füllinsdorf,BL,4331,1,0.2308935581,0,0
Fully,1926,Fully,VS,8181,0,0,0,0
Fürigen,6363,Stansstad,NW,306,0,0,0,0
Furna,7232,Furna,GR,198,0,0,0,0
Fürstenau,7414,Fürstenau,GR,145,0,0,0,0
Fürstenaubruck,7413,Fürstenau,GR,219,0,0,0,0
Fusio,6696,Lavizzara,TI,71,0,0,0,0
Gabi (Simplon),3907,Simplon,VS,316,0,0,0,0
Gächlingen,8214,Gächlingen,SH,794,0,0,0,0
Gächliwil,4584,Lüterswil-Gächliwil,SO,261,1,3.831417625,2,7.662835249
Gachnang,8547,Gachnang,TG,1633,0,0,0,0
Gadenstätt,7244,Luzein,GR,34,0,0,0,0
Gadmen,3863,Innertkirchen,BE,218,0,0,0,0
Gähwil,9534,Kirchberg (SG),SG,1024,0,0,0,0
Gais,9056,Gais,AR,3052,0,0,0,0
Galgenen,8854,Galgenen,SZ,5342,0,0,0,0
Galmiz,3285,Galmiz,FR,636,0,0,11,17.29559748
Gals,3238,Gals,BE,731,0,0,4,5.471956224
Gammen,3206,Ferenbalm,BE,669,3,4.484304933,3,4.484304933
Gampel,3945,Gampel-Bratsch,VS,1394,0,0,1,0.7173601148
Gampelen,3236,Gampelen,BE,802,1,1.246882793,2,2.493765586
Gams,9473,Gams,SG,3215,0,0,0,0
Gamsen,3900,Brig-Glis,VS,4290,1,0.2331002331,1,0.2331002331
Gandria,6978,Lugano,TI,260,0,0,0,0
Gänsbrunnen,4716,Gänsbrunnen,SO,1089,5,4.591368228,3,2.754820937
Gansingen,5272,Gansingen,AG,1000,0,0,0,0
Ganterschwil,9608,Bütschwil-Ganterschwil,SG,1261,0,0,0,0
Gasel,3144,Köniz,BE,1263,12,9.501187648,15,11.87648456
Gattikon,8136,Thalwil,ZH,2632,0,0,0,0
Gebenstorf,5412,Gebenstorf,AG,4338,1,0.2305209774,1,0.2305209774
Gebertingen,8725,Gommiswald,SG,703,0,0,0,0
Geiss,6123,Menznau,LU,492,0,0,0,0
Gelfingen,6284,Hitzkirch,LU,919,0,0,0,0
Gelterfingen,3126,Gelterfingen,BE,1020,5,4.901960784,10,9.803921569
Gelterkinden,4460,Gelterkinden,BL,5754,0,0,0,0
Geltwil,5637,Geltwil,AG,1069,0,0,0,0
Gempen,4145,Gempen,SO,854,0,0,0,0
Gempenach,3215,Gempenach,FR,287,6,20.90592334,5,17.42160279
Genestrerio,6852,Mendrisio,TI,1106,0,0,0,0
Genève,1201,Genève,GE,33378,0,0,0,0
Genève,1202,Genève,GE,23535,0,0,0,0
Genève,1203,Genève,GE,23921,0,0,0,0
Genève,1204,Genève,GE,12500,0,0,0,0
Genève,1205,Genève,GE,51015,0,0,0,0
Genève,1206,Genève,GE,15397,0,0,0,0
Genève,1207,Genève,GE,14510,0,0,0,0
Genève,1208,Genève,GE,10736,0,0,0,0
Genève,1209,Genève,GE,6565,0,0,0,0
Genève,1215,Le Grand-Saconnex,GE,341,0,0,0,0
Genolier,1272,Genolier,VD,1815,0,0,0,0
Genthod,1294,Genthod,GE,2736,0,0,0,0
Gentilino,6925,Collina d'Oro,TI,1586,0,0,0,0
Gerlafingen,4563,Gerlafingen,SO,4936,10,2.025931929,8,1.620745543
Gerlikon,8500,Frauenfeld,TG,23913,0,0,3,0.1254547736
Geroldswil,8954,Geroldswil,ZH,4764,0,0,1,0.2099076406
Gerolfingen,2575,Täuffelen,BE,1383,15,10.84598698,2,1.446131598
Gerra (Gambarogno),6576,Gambarogno,TI,290,0,0,0,0
Gerra (Verzasca),6635,Cugnasco-Gerra,TI,133,0,0,0,0
Gersau,6442,Gersau,SZ,2169,0,0,0,0
Gerzensee,3115,Gerzensee,BE,1179,16,13.57082273,10,8.481764207
Geschinen,3985,Münster-Geschinen,VS,417,0,0,0,0
Gettnau,6142,Gettnau,LU,1035,0,0,0,0
Geuensee,6232,Geuensee,LU,2625,0,0,0,0
Ghirone,6720,Blenio,TI,120,0,0,0,0
Gibswil,8498,Fischenthal,ZH,900,0,0,0,0
Giebenach,4304,Giebenach,BL,1068,0,0,0,0
Giez,1429,Giez,VD,391,0,0,0,0
Giffers,1735,Giffers,FR,1466,0,0,0,0
Gillarens,1673,Rue,FR,533,0,0,0,0
Gilly,1182,Gilly,VD,1052,0,0,0,0
Gimel,1188,Gimel,VD,1885,0,0,0,0
Gimmelwald,3826,Lauterbrunnen,BE,91,0,0,0,0
Gingins,1276,Gingins,VD,1206,0,0,0,0
Giornico,6745,Giornico,TI,876,0,0,0,0
Gipf-Oberfrick,5073,Gipf-Oberfrick,AG,3509,0,0,0,0
Gisikon,6038,Gisikon,LU,1123,0,0,0,0
Giswil,6074,Giswil,OW,3555,0,0,3,0.8438818565
Giubiasco,6512,Giubiasco,TI,8561,0,0,0,0
Giumaglio,6678,Maggia,TI,302,0,0,0,0
Givisiez,1762,Givisiez,FR,3146,3,0.9535918627,1,0.3178639542
Givrins,1271,Givrins,VD,980,0,0,0,0
Gland,1196,Gland,VD,12087,0,0,0,0
Glarus,8750,Glarus,GL,5833,0,0,1,0.1714383679
Glashütten,4856,Murgenthal,AG,835,0,0,1,1.19760479
Glaspass,7428,Tschappina,GR,138,0,0,0,0
Glattbrugg,8152,Opfikon,ZH,8297,1,0.1205254911,4,0.4821019646
Glattfelden,8192,Glattfelden,ZH,4015,1,0.2490660025,0,0
Glattpark (Opfikon),8152,Opfikon,ZH,8297,1,0.1205254911,4,0.4821019646
Gletterens,1544,Gletterens,FR,954,1,1.048218029,1,1.048218029
Glion,1823,Montreux,VD,540,0,0,0,0
Glis,3902,Brig-Glis,VS,7714,1,0.1296344309,0,0
Glovelier,2855,Haute-Sorne,JU,1182,0,0,1,0.8460236887
Gluringen,3998,Reckingen-Gluringen,VS,342,0,0,0,0
Gnosca,6525,Gnosca,TI,718,0,0,0,0
Gockhausen,8044,Dübendorf,ZH,5993,1,0.1668613382,0,0
Gohl,3553,Langnau im Emmental,BE,565,1,1.769911504,1,1.769911504
Golaten,3207,Golaten,BE,381,7,18.37270341,5,13.12335958
Goldach,9403,Goldach,SG,9267,0,0,0,0
Goldau,6410,Arth,SZ,5727,0,0,1,0.1746114894
Goldingen,8638,Eschenbach (SG),SG,1089,0,0,0,0
Goldiwil (Thun),3624,Thun,BE,1216,2,1.644736842,2,1.644736842
Goldswil b. Interlaken,3805,Ringgenberg (BE),BE,870,7,8.045977011,2,2.298850575
Golino,6656,Centovalli,TI,463,0,0,0,0
Gollion,1124,Gollion,VD,792,0,0,0,0
Gommiswald,8737,Gommiswald,SG,1510,0,0,0,0
Gommiswald,8737,Gommiswald,SG,1510,0,0,0,0
Gondiswil,4955,Gondiswil,BE,745,2,2.684563758,1,1.342281879
Gondo,3907,Zwischbergen,VS,316,0,0,0,0
Gonten,9108,Gonten,AI,1020,0,0,0,0
Gontenbad,9108,Gonten,AI,1020,0,0,0,0
Gontenschwil,5728,Gontenschwil,AG,2038,0,0,0,0
Goppenstein,3917,Ferden,VS,364,0,0,0,0
Goppisberg,3983,Riederalp,VS,551,0,0,0,0
Gordevio,6672,Avegno Gordevio,TI,842,0,0,0,0
Gordola,6596,Gordola,TI,4480,0,0,0,0
Gorduno,6518,Gorduno,TI,747,0,0,0,0
Gorgier,2023,Gorgier,NE,1117,0,0,0,0
Göschenen,6487,Göschenen,UR,440,0,0,0,0
Gossau SG,9200,Gossau (SG),SG,16232,2,0.1232134056,1,0.06160670281
Gossau ZH,8625,Gossau (ZH),ZH,4913,0,0,0,0
Gossens,1407,Donneloye,VD,382,0,0,0,0
Gossliwil,4579,Buchegg,SO,205,2,9.756097561,1,4.87804878
Götighofen,8583,Sulgen,TG,3171,0,0,0,0
Gottlieben,8274,Gottlieben,TG,4282,0,0,0,0
Goumoens-la-Ville,1376,Goumoëns,VD,704,0,0,0,0
Goumoens-le-Jux,1376,Goumoëns,VD,704,0,0,0,0
Goumois,2354,Saignelégier,JU,67,0,0,0,0
Graben,3376,Graben,BE,317,0,0,0,0
Grabs,9472,Grabs,SG,5507,0,0,1,0.181587071
Grabserberg,9472,Grabs,SG,5507,0,0,1,0.181587071
Grächen,3925,Grächen,VS,1396,0,0,0,0
Grafenort,6388,Engelberg,OW,330,0,0,0,0
Grafenried,3308,Fraubrunnen,BE,978,23,23.51738241,17,17.38241309
Grafstal,8310,Lindau,ZH,174,0,0,0,0
Graltshausen,8572,Berg (TG),TG,2383,0,0,0,0
Grancia,6916,Grancia,TI,505,0,0,0,0
Grancy,1117,Grancy,VD,406,0,0,0,0
Grand-Lancy,1212,Lancy,GE,14394,0,0,0,0
Grandcour,1543,Grandcour,VD,822,0,0,1,1.216545012
Grandevent,1421,Grandevent,VD,154,0,0,0,0
Grandfontaine,2908,Grandfontaine,JU,381,0,0,0,0
Grandsivaz,1775,Montagny (FR),FR,372,0,0,0,0
Grandson,1422,Grandson,VD,3202,0,0,1,0.3123048095
Grandval,2745,Grandval,BE,362,0,0,1,2.762430939
Grandvaux,1091,Bourg-en-Lavaux,VD,2195,0,0,0,0
Grandvillard,1666,Grandvillard,FR,772,0,0,0,0
Granges (Veveyse),1614,Granges (Veveyse),FR,829,0,0,0,0
Granges VS,3977,Sierre,VS,1685,0,0,0,0
Granges-de-Vesin,1484,Les Montets,FR,515,0,0,0,0
Granges-Paccot,1763,Granges-Paccot,FR,3102,0,0,2,0.6447453256
Granges-près-Marnand,1523,Valbroye,VD,1383,0,0,2,1.446131598
Grangettes-près-Romont,1686,Grangettes,FR,197,0,0,0,0
Gränichen,5722,Gränichen,AG,7185,1,0.1391788448,3,0.4175365344
Granois (Savièse),1965,Savièse,VS,568,0,0,0,0
Gräslikon,8415,Berg am Irchel,ZH,404,0,0,0,0
Grasswil,3365,Seeberg,BE,564,5,8.865248227,3,5.319148936
Grattavache,1624,La Verrerie,FR,190,0,0,0,0
Gravesano,6929,Gravesano,TI,1243,0,0,0,0
Greich,3983,Riederalp,VS,551,0,0,0,0
Greifensee,8606,Greifensee,ZH,2639,0,0,0,0
Grellingen,4203,Grellingen,BL,1786,0,0,0,0
Grenchen,2540,Grenchen,SO,16401,14,0.8536064874,18,1.097494055
Greng,3280,Greng,FR,6326,17,2.687322163,35,5.532722099
Grengiols,3993,Grengiols,VS,464,0,0,0,0
Grenilles,1726,Gibloux,FR,1604,0,0,0,0
Grens,1274,Grens,VD,464,0,0,0,0
Greppen,6404,Greppen,LU,1043,0,0,0,0
Gresso,6611,Gresso,TI,51,0,0,0,0
Gressy,1432,Yverdon-les-Bains,VD,358,0,0,0,0
Gretschins,9479,Wartau,SG,708,0,0,0,0
Gretzenbach,5014,Gretzenbach,SO,2531,0,0,1,0.3951007507
Grimentz,3961,Anniviers,VS,457,0,0,0,0
Grimisuat,1971,Grimisuat,VS,2242,0,0,0,0
Grindel,4247,Grindel,SO,458,0,0,0,0
Grindelwald,3818,Grindelwald,BE,3633,5,1.376273053,11,3.027800716
Grolley,1772,Grolley,FR,1886,0,0,1,0.5302226935
Grône,3979,Grône,VS,2253,0,0,0,0
Grono,6537,Grono,GR,997,0,0,0,0
Gross,8841,Einsiedeln,SZ,1378,0,0,0,0
Grossaffoltern,3257,Grossaffoltern,BE,1703,18,10.56958309,31,18.20317087
Grossdietwil,6146,Grossdietwil,LU,836,0,0,2,2.392344498
Grosshöchstetten,3506,Grosshöchstetten,BE,3433,42,12.23419749,22,6.408389164
Grosswangen,6022,Grosswangen,LU,3097,0,0,1,0.3228931224
Grub AR,9035,Grub (AR),AR,1020,0,0,0,0
Grub SG,9036,Eggersriet,SG,484,0,0,0,0
Gruben,3946,Turtmann-Unterems,VS,1039,0,0,0,0
Grugnay (Chamoson),1955,Chamoson,VS,1986,0,0,0,0
Grund b. Gstaad,3783,Saanen,BE,396,0,0,0,0
Grünen,3455,Sumiswald,BE,575,6,10.43478261,2,3.47826087
Grünenmatt,3452,Lützelflüh,BE,758,4,5.277044855,5,6.596306069
Grüningen,8627,Grüningen,ZH,3283,2,0.6091989034,3,0.9137983552
Grüsch,7214,Grüsch,GR,1410,0,0,0,0
Grüt (Gossau ZH),8624,Gossau (ZH),ZH,2416,0,0,1,0.4139072848
Gruyères,1663,Gruyères,FR,113,1,8.849557522,0,0
Gryon,1882,Gryon,VD,1241,0,0,0,0
Gstaad,3780,Saanen,BE,3101,2,0.6449532409,7,2.257336343
Gsteig b. Gstaad,3785,Gsteig,BE,497,0,0,1,2.012072435
Gsteigwiler,3814,Gsteigwiler,BE,422,0,0,1,2.369668246
Guarda,7545,Scuol,GR,129,0,0,0,0
Gudo,6515,Gudo,TI,831,0,0,0,0
Guggisberg,3158,Guggisberg,BE,705,1,1.418439716,2,2.836879433
Gumefens,1643,Pont-en-Ogoz,FR,895,0,0,0,0
Gümligen,3073,Muri bei Bern,BE,6740,149,22.10682493,113,16.76557864
Gümmenen,3205,Mühleberg,BE,919,24,26.11534276,16,17.41022851
Gundetswil,8543,Wiesendangen,ZH,433,0,0,0,0
Gündisau,8322,Russikon,ZH,737,0,0,0,0
Gündlischwand,3815,Gündlischwand,BE,137,0,0,0,0
Günsberg,4524,Günsberg,SO,1135,2,1.762114537,3,2.643171806
Guntalingen,8468,Waltalingen,ZH,343,0,0,0,0
Gunten,3654,Sigriswil,BE,924,3,3.246753247,1,1.082251082
Guntershausen b. Aadorf,8357,Aadorf,TG,1509,0,0,0,0
Guntershausen b. Berg,8572,Berg (TG),TG,2383,0,0,0,0
Gunterswilen,8564,Wäldi,TG,82,0,0,0,0
Guntmadingen,8223,Beringen,SH,240,0,0,0,0
Gunzgen,4617,Gunzgen,SO,1646,2,1.215066829,1,0.6075334143
Gunzwil,6222,Beromünster,LU,1762,0,0,0,0
Gurbrü,3208,Gurbrü,BE,253,5,19.76284585,8,31.62055336
Gurmels,3212,Gurmels,FR,1658,3,1.809408926,4,2.412545235
Gurtnellen,6482,Gurtnellen,UR,403,0,0,0,0
Gurzelen,3663,Gurzelen,BE,809,1,1.236093943,3,3.708281829
Guschelmuth,1792,Gurmels,FR,879,5,5.688282139,1,1.137656428
