GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
2.01412E+11,12/31/14,Somalia,Galkayo,Al-Shabaab,0,,,,,0,2,Journalists & Media,,,Sub-Saharan Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Yemen,Ibb,Unknown,0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/31/14,Yemen,Mukalla,Unknown,0,,,,,1,0,Private Citizens & Property,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/31/14,Yemen,Ataq,Unknown,0,,,,,1,0,Police,,,Middle East & North Africa,Assassination,,,Firearms,,,
2.01412E+11,12/31/14,Yemen,Dali,Southern Mobility Movement (Yemen),0,,,,,0,0,Military,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/31/14,Yemen,Ibb,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,50,70,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,Shiraa,Huthi Extremists,0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,Shiraa,Huthi Extremists,0,,,,,0,0,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,Shiraa,Huthi Extremists,0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,Shiraa,Huthi Extremists,0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,Shiraa,Huthi Extremists,0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,Shiraa,Huthi Extremists,0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,Shiraa,Huthi Extremists,0,,,,,0,0,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Somalia,Baidoa,Al-Shabaab,0,,,,,6,0,Military,,,Sub-Saharan Africa,Unknown,,,Unknown,,,
2.01412E+11,12/30/14,Pakistan,Jamrud,Unknown,0,,,,,1,0,Police,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/30/14,India,Satyanarayanapuram,Maoists,0,,,,,0,0,Telecommunication,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Nigeria,Kautikiri,Boko Haram,0,,,,,15,Unknown,Private Citizens & Property,,,Sub-Saharan Africa,Armed Assault,Facility/Infrastructure Attack,,Firearms,Incendiary,,
2.01412E+11,12/30/14,Pakistan,Ailam,Unknown,0,,,,,3,1,Police,,,South Asia,Hostage Taking (Kidnapping),,,Firearms,,,
