d1	d2	area	population	density	lat	lon
서울특별시	마포구	23.87	392313	16435.40008378718	37.5637561	126.9084211
전라남도	목포시	47.32	246364	5206.3398140321215	34.8118351	126.3921664
전라남도	무안군	436.4	73830	169.17965169569203	34.99045419999999	126.4816856
전라북도	무주군	631.68	25979	41.126836372847016	36.0068191	127.6607805
경상북도	문경시	912.0	77142	84.58552631578948	36.586148	128.1867972
경상남도	밀양시	799.03	111112	139.0586085628825	35.5037598	128.7464415
충청남도	보령시	568.22	108141	190.31537080708176	36.3331629	126.6129441
전라남도	보성군	663.16	49495	74.6350805235539	34.7714563	127.0798944
충청북도	보은군	584.45	35212	60.24809650098383	36.4894573	127.7294827
경상북도	봉화군	1201.0	34539	28.758534554537885	36.8930933	128.7323752
부산광역시	부산진구	29.7	398101	13404.074074074075	35.1630009	129.0531722
전라북도	부안군	493.54	60661	122.90999716335048	35.73156609999999	126.7334651
충청남도	부여군	624.51	76295	122.1677795391587	36.2754406	126.910178
경기도	부천시	53.44	884976	16560.179640718565	37.5034138	126.7660309
인천광역시	부평구	32.0	571700	17865.625	37.5069818	126.7217739
광주광역시	북구	121.74	472753	3883.3004764251687	35.1740167	126.9119842
대구광역시	북구	95.5	457382	4789.340314136126	35.8857114	128.5828073
부산광역시	북구	38.3	315606	8240.365535248042	35.1971347	128.9903711
울산광역시	북구	80.41	173677	2159.8930481283423	35.58273399999999	129.3609087
부산광역시	사상구	35.8	258975	7233.938547486034	35.1526399	128.9908173
경상남도	사천시	396.3	114554	289.0587938430482	35.0037788	128.064185
부산광역시	사하구	40.89	363630	8892.883345561262	35.1044223	128.9747081
경상남도	산청군	794.59	35239	44.348657798361415	35.4155885	127.8734981
강원도	삼척시	1185.8	72431	61.08196997807388	37.4498683	129.1652059
경상북도	상주시	1254.82	106990	85.2632250043831	36.4109466	128.1590828
광주광역시	서구	46.73	300999	6441.236892788359	35.1528248	126.8910977
대구광역시	서구	17.5	227006	12971.771428571428	35.8717686	128.559115
대전광역시	서구	95.25	502949	5280.304461942257	36.3545224	127.3836025
부산광역시	서구	13.67	126811	9276.591075347476	35.09773	129.0241207
인천광역시	서구	137.05	405534	2959.022254651587	37.5454212	126.6759723
서울특별시	서대문구	17.6	336649	19127.78409090909	37.5791158	126.9367789
충청남도	서산시	739.15	161238	218.13975512412907	36.7844993	126.4503169
충청남도	서천군	363.4	60672	166.95652173913044	36.0803312	126.6913277
서울특별시	서초구	47.04	431131	9165.199829931973	37.4837121	127.0324112
경기도	성남시	141.82	979035	6903.363418417713	37.4449168	127.1388684
서울특별시	성동구	16.85	316064	18757.507418397625	37.5633415	127.0371025
서울특별시	성북구	24.57	484457	19717.41961741962	37.589116	127.0182146
경상북도	성주군	616.28	46543	75.52248977737392	35.9190079	128.2829738
강원도	속초시	105.25	84568	803.4964370546319	38.2070148	128.5918488
서울특별시	송파구	33.9	689296	20333.21533923304	37.5145437	127.1065971
대구광역시	수성구	76.49	457670	5983.396522421232	35.8582435	128.6306086
부산광역시	수영구	10.16	178231	17542.42125984252	35.145615	129.1130831
경기도	수원시	121.09	1071313	8847.245850194071	37.2635727	127.0286009
전라북도	순창군	495.75	30471	61.46444780635401	35.3744136	127.1375968
전라남도	순천시	907.35	271107	298.7898826252273	34.950637	127.4872135
경기도	시흥시	134.4	413749	3078.489583333333	37.3798877	126.8031025
전라남도	신안군	653.13	45687	69.95085205089339	34.827332	126.101074
충청남도	아산시	542.2	300000	553.3013648100332	36.789796	127.0018494
경상북도	안동시	1519.0	168866	111.16919025674785	36.5683543	128.729357
경기도	안산시	144.78	739493	5107.701339964084	37.3218778	126.8308848
경기도	안성시	554.2	177007	319.39191627571273	37.0079695	127.2796786
경기도	안양시	58.52	623511	10654.665071770334	37.3942527	126.9568209
강원도	양구군	700.8	21526	30.716324200913245	38.1100701	127.9898825
경상남도	양산시	404.38	254207	628.6339581581681	35.3350072	129.0371689
강원도	양양군	628.68	28196	44.8495259909652	38.0753925	128.6188503
경기도	양주시	310.31	189492	610.6538622667655	37.7852875	127.0458453
서울특별시	양천구	17.4	506684	29119.77011494253	37.5168721	126.8663985
경기도	양평군	877.08	92529	105.4966479682583	37.4912195	127.4875607
전라남도	여수시	501.3	295686	589.8384201077199	34.7603737	127.6622221
경기도	여주시	608.64	110277	181.18592271293375	37.2980237	127.6371628
인천광역시	연수구	33.76	274596	8133.767772511849	37.4094099	126.6783088
부산광역시	연제구	12.08	211184	17482.11920529801	35.1761938	129.0797244
경기도	연천군	695.23	46002	66.16803072364542	38.0964438	127.0748335
전라남도	영광군	472.97	57501	121.57430703850137	35.2771719	126.5119874
경상북도	영덕군	741.05	42053	56.747857769381284	36.41507989999999	129.3659681
부산광역시	영도구	13.98	149787	10714.377682403434	35.0912316	129.0681448
충청북도	영동군	845.01	50918	60.25727506183359	36.1750231	127.7834302
서울특별시	영등포구	24.56	441747	17986.441368078176	37.5263715	126.8962283
경상북도	영양군	815.11	18666	22.899976690262662	36.6666558	129.1124007
강원도	영월군	1127.36	40522	35.94415271075788	37.183637	128.4617535
전라남도	영암군	544.48	64508	118.47634440199823	34.8001685	126.6967918
경상북도	영주시	668.45	114334	171.04345874784948	36.8056858	128.6240551
경상북도	영천시	919.76	104916	114.06888753587893	35.97329149999999	128.9385493
충청남도	예산군	543.1	88310	162.60357208617197	36.6826123	126.8483951
경상북도	예천군	660.7	47723	72.23096715604662	36.6577004	128.4528808
경기도	오산시	42.74	163498	3825.4094525035093	37.1498096	127.0772212
충청북도	옥천군	537.13	54788	102.00137769255116	36.30636459999999	127.5712809
인천광역시	옹진군	164.3	18328	111.5520389531345	37.213889	126.178333
전라남도	완도군	391.81	54645	139.4681095428907	34.3110596	126.7550541
전라북도	완주군	821.0	86076	104.84287454323996	35.891275	127.253895
서울특별시	용산구	21.87	251200	11486.053955189756	37.5384272	126.9654442
경기도	용인시	591.5	854054	1443.8782755705834	37.2410864	127.1775537
경상북도	울릉군	72.82	10398	142.7904421862126	37.4844171	130.9058002
울산광역시	울주군	754.93	200261	265.27095227372075	35.54	129.2
경상북도	울진군	989.06	53087	53.674195700968596	36.9930661	129.4004195
강원도	원주시	867.3	310276	357.7493370229448	37.3422186	127.9201621
대전광역시	유성구	177.16	270768	1528.3811244073154	36.362216	127.3561329
서울특별시	은평구	29.7	470782	15851.245791245792	37.6026957	126.9291119
충청북도	음성군	521.05	94580	181.51808847519433	36.9396792	127.6905018
경상남도	의령군	482.95	30965	64.11636815405322	35.3221896	128.261658
경상북도	의성군	1175.89	59608	50.691816411399024	36.3526576	128.6970053
경기도	의왕시	54.0	142161	2632.6111111111113	37.344701	126.9683104
경기도	의정부시	81.59	435401	5336.450545409976	37.73809800000001	127.0336819
경기도	이천시	461.02	201285	436.60795627087765	37.2719952	127.4348221
전라북도	익산시	507.1	310255	611.822125813449	35.9482858	126.9575991
강원도	인제군	1646.08	31705	19.26091076982893	38.0694675	128.1706991
전라북도	임실군	596.88	31127	52.149510789438416	35.6110549	127.2826599
전라남도	장성군	518.65	47047	90.71049840933192	35.3018333	126.7848541
전라북도	장수군	533.64	23740	44.48692002098793	35.6472767	127.5211363
전라남도	장흥군	617.96	42433	68.66625671564502	34.6816856	126.9069278
전라북도	전주시	206.45	639922	3099.6464034875276	35.8242238	127.1479532
강원도	정선군	1220.67	41000	33.58811144699222	37.3807549	128.6609505
전라북도	정읍시	692.8	122935	177.44659353348732	35.5698855	126.8558955
충청북도	제천시	882.47	136966	155.20754246603283	37.1325821	128.1909481
서울특별시	종로구	23.9	177543	7428.577405857741	37.5729503	126.9793579
대구광역시	중구	7.08	78226	11048.870056497175	35.8693527	128.6061666
대전광역시	중구	61.98	265467	4283.107454017425	36.3253046	127.4212387
부산광역시	중구	2.8	49983	17851.07142857143	35.1061462	129.0323417
서울특별시	중구	9.96	137861	13841.465863453814	37.5640907	126.9979403
울산광역시	중구	37.0	231900	6267.5675675675675	35.56879110000001	129.3321348
인천광역시	중구	110.6	93550	845.8408679927668	37.4737341	126.6214796
서울특별시	중랑구	18.5	429700	23227.027027027027	37.6065602	127.0926519
충청북도	증평군	81.84	33511	409.46969696969694	36.7855019	127.5816556
전라남도	진도군	420.32	34181	81.3213741910925	34.4868712	126.2634853
전라북도	진안군	788.94	27828	35.2726443075519	35.7917297	127.4248356
경상남도	진주시	712.62	334765	469.76649546743005	35.1799817	128.1076213
충청북도	진천군	406.08	64397	158.58205279747833	36.8553798	127.4361117
경상남도	창녕군	533.09	62085	116.46251102065317	35.5445563	128.4922143
경상남도	창원시	734.87	1081499	1471.6875093553963	35.2538433	128.6402609
충청남도	천안시	636.5	551423	866.3362136684996	36.815129	127.1138939
강원도	철원군	899.82	48054	53.40401413616056	38.146609	127.3132256
경상북도	청도군	696.52	44733	64.22356859817378	35.6472706	128.7339107
경상북도	청송군	842.45	27067	32.12890972758027	36.4359045	129.0571077
충청남도	청양군	479.67	33012	68.82231534179748	36.4588326	126.8022116
충청북도	청주시	932.51	801281	859.2733589988311	36.6424341	127.4890319
강원도	춘천시	1116.35	267514	239.63273167017513	37.8813153	127.7299707
충청북도	충주시	983.7	209074	212.53837552099216	36.9910113	127.9259497
경상북도	칠곡군	451.0	120004	266.0842572062084	35.9953059	128.4015434
강원도	태백시	303.57	50730	167.11137464176304	37.1640654	128.9855649
충청남도	태안군	504.82	63660	126.104354027178	36.7456421	126.2980528
경상남도	통영시	236.5	140569	594.3720930232558	34.8544227	128.433182
경기도	파주시	672.56	331504	492.89877483049844	37.7598688	126.7801781
강원도	평창군	1463.65	43989	30.054316264134183	37.370474	128.3899769
경기도	평택시	452.31	421231	931.2882757400897	36.9921075	127.1129451
경기도	포천시	826.38	168246	203.59398823785668	37.8949148	127.2003551
경상북도	포항시	1127.0	513343	455.49511978704527	36.0190178	129.3434808
경기도	하남시	93.1	150345	1614.8764769065522	37.5392646	127.2148919
경상남도	하동군	675.57	52301	77.41758811078051	35.0672108	127.7512687
경상남도	함안군	417.0	68926	165.29016786570745	35.2725591	128.4064797
경상남도	함양군	725.03	41072	56.64869039901797	35.52046139999999	127.7251763
전라남도	함평군	392.77	37502	95.48081574458335	35.0659399	126.5165524
경상남도	합천군	983.42	53381	54.28097862561266	35.5665758	128.1657995
전라남도	해남군	887.47	81823	92.19804613113682	34.5732516	126.5989274
부산광역시	해운대구	51.44	427619	8312.966562986003	35.1631139	129.1635509
충청남도	홍성군	443.9	88865	200.19148456859654	36.60123	126.6607764
강원도	홍천군	1817.94	70264	38.650340495285874	37.6969518	127.8886827
경기도	화성시	688.1	515162	748.6731579712251	37.1994932	126.8311887
전라남도	화순군	786.23	70413	89.55776299556109	35.0645029	126.9864799
강원도	화천군	909.45	24377	26.80411237561163	38.1056484	127.7080492
강원도	횡성군	997.82	44671	44.76859553827343	37.4917566	127.9849295
세종특별자치시	세종시	465.23	132016	283.7650194527438	36.5761443	127.2470759
제주특별자치도	제주시	977.8	435396	445.2812436080998	33.4996213	126.5311884
제주특별자치도	서귀포시	870.68	155641	178.75798226673405	33.2541205	126.560076
