,d1,d2,area,population,density,lat,lon,B,K,L,shortname,x,y,Lp10T,Bp10T,Kp10T,logdensity
??? ???,???,???,310.31,189492.0,610.6538622667655,37.7852875,127.0458453,0.0,0.0,5.0,??,8,2,0.26386338209528637,0.0,0.0,2.785795108271795
??? ???,???,???,877.08,92529.0,105.4966479682583,37.4912195,127.4875607,0.0,0.0,2.0,??,9,6,0.2161484507559792,0.0,0.0,2.0232386606572565
??? ???,???,???,608.64,110277.0,181.18592271293372,37.2980237,127.6371628,1.0,0.0,4.0,??,9,7,0.3627229612702558,0.09068074031756394,0.0,2.2581244520295956
??? ???,???,???,695.23,46002.0,66.16803072364542,38.096443799999996,127.0748335,0.0,0.0,1.0,??,7,1,0.21738185296291465,0.0,0.0,1.8206482094723575
??? ???,???,???,42.74,163498.0,3825.409452503509,37.149809600000005,127.07722120000001,2.0,1.0,4.0,??,3,8,0.24465131071939716,0.12232565535969858,0.06116282767984929,3.5826779266650353
??? ???,???,???,591.5,854054.0,1443.8782755705836,37.2410864,127.1775537,4.0,4.0,23.0,??,7,9,0.26930381451289964,0.04683544600224342,0.04683544600224342,3.1595305821004662
??? ???,???,???,54.0,142161.0,2632.6111111111113,37.344701,126.96831040000001,0.0,0.0,4.0,??,6,8,0.2813711214749474,0.0,0.0,3.420386709933157
??? ????,???,????,81.59,435401.0,5336.450545409976,37.73809800000001,127.03368190000002,2.0,2.0,11.0,???,7,3,0.2526406691762306,0.04593466712295102,0.04593466712295102,3.727252489035402
??? ???,???,???,461.02,201285.0,436.6079562708777,37.271995200000006,127.43482209999999,2.0,1.0,6.0,??,8,8,0.29808480512705865,0.09936160170901956,0.04968080085450978,2.640091645557855
??? ???,???,???,672.56,331504.0,492.8987748304983,37.7598688,126.7801781,1.0,0.0,12.0,??,3,2,0.36198658236401365,0.030165548530334478,0.0,2.6927577386558093
??? ???,???,???,452.31,421231.0,931.2882757400896,36.9921075,127.11294509999999,1.0,1.0,13.0,??,5,9,0.30861926116548877,0.02373994316657606,0.02373994316657606,2.9690841355293505
??? ???,???,???,826.38,168246.0,203.59398823785668,37.894914799999995,127.2003551,0.0,1.0,6.0,??,8,1,0.35662066260119113,0.0,0.05943677710019852,2.3087649499236984
??? ???,???,???,93.1,150345.0,1614.8764769065522,37.5392646,127.2148919,1.0,1.0,3.0,??,9,5,0.199541055572184,0.06651368519072799,0.06651368519072799,3.2081393084321324
??? ???,???,???,688.1,515162.0,748.6731579712251,37.199493200000006,126.83118870000001,1.0,2.0,17.0,??,3,7,0.3299932836661089,0.01941136962741817,0.03882273925483634,2.874292262734087
???? ???,????,???,400.7,233589.0,582.9523334165211,34.8806427,128.6210824,1.0,0.0,7.0,??,9,20,0.2996716454970054,0.04281023507100078,0.0,2.7656330450154436
???? ???,????,???,804.09,63585.0,79.0769689960079,35.6867229,127.9095155,0.0,0.0,1.0,??,6,15,0.15726979633561375,0.0,0.0,1.8980500145422954
???? ???,????,???,517.06,58554.0,113.2441109349012,34.973149,128.3222456,0.0,0.0,1.0,??(??),7,19,0.17078252553198756,0.0,0.0,2.054015626534968
???? ???,????,???,463.26,505056.0,1090.2214739023443,35.2285451,128.8893517,1.0,5.0,14.0,??,8,19,0.27719698409681304,0.01979978457834379,0.09899892289171895,3.0375147319986366
???? ???,????,???,357.0,50767.0,142.2044817927171,34.8376721,127.89242340000001,0.0,0.0,1.0,??,6,19,0.1969783520791065,0.0,0.0,2.1529132840672607
???? ???,????,???,799.03,111112.0,139.0586085628825,35.5037598,128.7464415,0.0,0.0,2.0,??,8,16,0.17999856001151993,0.0,0.0,2.143197879468658
???? ???,????,???,396.3,114554.0,289.0587938430482,35.00377879999999,128.064185,0.0,0.0,2.0,??,6,18,0.17459014962375824,0.0,0.0,2.460986186163709
???? ???,????,???,794.59,35239.0,44.348657798361415,35.4155885,127.87349809999999,0.0,0.0,0.0,??,5,18,0.0,0.0,0.0,1.6468804805468664
???? ???,????,???,404.38,254207.0,628.6339581581681,35.33500720000001,129.0371689,0.0,1.0,6.0,??,8,17,0.236028118816555,0.0,0.039338019802759173,2.7983978374552954
