
Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,NYY,AL,153,98,55,.640,6.2,4.6,1.6,-0.2,1.4,96-57,2,53-25,45-30,15-19,76-40,22-15,40-25,58-30
2,NYG,NL,153,94,59,.614,5.5,4.2,1.3,-0.2,1.2,95-58,-1,53-26,41-33,22-25,60-42,34-17,50-37,44-22
3,CLE,AL,154,94,60,.610,6.0,4.6,1.4,-0.2,1.2,95-59,-1,51-26,43-34,26-13,67-44,27-16,37-29,57-31
4,PIT,NL,154,90,63,.588,4.5,3.9,0.6,-0.1,0.6,87-66,3,45-31,45-32,28-23,67-42,23-21,41-46,49-17
5,STL,NL,154,87,66,.569,5.3,4.4,0.8,-0.1,0.7,88-65,-1,48-29,39-37,29-23,62-44,25-22,48-39,39-27
6,SLB,AL,154,81,73,.526,5.4,5.5,-0.1,0.0,-0.1,76-78,5,43-34,38-39,25-15,48-49,33-24,26-40,55-33
7,WSH,AL,154,80,73,.523,4.6,4.8,-0.2,0.0,-0.2,73-80,7,46-30,34-43,24-19,54-58,26-15,28-37,52-36
8,BSN,NL,153,79,74,.516,4.7,4.6,0.2,0.0,0.1,79-74,0,42-32,37-42,29-24,61-46,18-28,38-49,41-25
9,BRO,NL,152,77,75,.507,4.4,4.5,-0.1,0.0,-0.1,75-77,2,41-37,36-38,23-24,61-65,16-10,41-47,36-28
10,BOS,AL,154,75,79,.487,4.3,4.5,-0.2,0.0,-0.2,74-80,1,41-36,34-43,28-22,60-64,15-15,33-55,42-24
11,DET,AL,154,71,82,.464,5.7,5.5,0.2,0.0,0.2,79-74,-8,37-40,34-42,16-29,52-59,19-23,36-52,35-30
12,CIN,NL,153,70,83,.458,4.0,4.2,-0.2,0.0,-0.2,73-80,-3,40-36,30-47,16-23,55-66,15-17,48-61,22-22
13,CHC,NL,153,64,89,.418,4.4,5.1,-0.7,0.1,-0.6,66-87,-2,32-44,32-45,17-27,40-62,24-27,40-69,24-20
14,CHW,AL,154,62,92,.403,4.4,5.6,-1.1,0.1,-1.0,61-93,1,37-40,25-52,25-28,47-64,15-28,33-55,29-37
15,PHA,AL,155,53,100,.346,4.2,5.8,-1.5,0.2,-1.3,55-98,-2,28-47,25-53,17-31,39-77,14-23,28-60,25-40
16,PHI,NL,154,51,103,.331,4.0,6.0,-2.0,0.2,-1.7,50-104,1,29-47,22-56,25-20,40-82,11-21,31-79,20-24
,Avg,,,76,76,.500,4.9,4.9,,,,76-76,,41-35,35-41,22-22,55-56,21-20,37-48,39-27
