NTA,Dead,Alive,Total,proportion_dead
Lenox Hill-Roosevelt Island,112,2258,2370,4.9601417183348095
Morrisania-Melrose,149,2133,2282,6.985466479137366
Gravesend,54,970,1024,5.567010309278351
Grasmere-Arrochar-Ft. Wadsworth,49,2076,2125,2.3603082851637764
Eastchester-Edenwald-Baychester,206,2474,2680,8.326596604688763
Hamilton Heights,111,2299,2410,4.828186167899086
Williamsbridge-Olinville,169,3050,3219,5.540983606557377
Morningside Heights,107,2492,2599,4.293739967897271
Old Town-Dongan Hills-South Beach,135,4696,4831,2.874787052810903
Brownsville,67,1187,1254,5.644481887110362
Maspeth,37,609,646,6.075533661740558
Madison,174,2836,3010,6.1354019746121295
Glendale,61,531,592,11.487758945386064
Crown Heights South,8,499,507,1.6032064128256511
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,427,3308,3735,12.908101571946794
North Riverdale-Fieldston-Riverdale,100,1876,1976,5.330490405117271
Gramercy,47,1087,1134,4.323827046918123
Bay Ridge,45,1039,1084,4.331087584215592
Battery Park City-Lower Manhattan,46,1286,1332,3.576982892690513
East Harlem North,194,2403,2597,8.07324178110695
Fresh Meadows-Utopia,39,813,852,4.797047970479705
Middle Village,67,1297,1364,5.165767154973015
Auburndale,21,504,525,4.166666666666666
Kew Gardens Hills,20,601,621,3.3277870216306153
Norwood,92,1705,1797,5.395894428152493
Oakwood-Oakwood Beach,195,5211,5406,3.742084052964882
Oakland Gardens,37,670,707,5.522388059701493
Glen Oaks-Floral Park-New Hyde Park,39,775,814,5.032258064516129
Ozone Park,12,151,163,7.9470198675496695
Marble Hill-Inwood,78,1639,1717,4.758999389871873
East Village,69,1512,1581,4.563492063492063
Stuyvesant Town-Cooper Village,9,428,437,2.102803738317757
Charleston-Richmond Valley-Tottenville,273,7228,7501,3.776978417266187
South Ozone Park,40,669,709,5.9790732436472345
Midwood,145,2992,3137,4.846256684491978
Bensonhurst West,62,1420,1482,4.366197183098591
Homecrest,151,3385,3536,4.460856720827179
Jamaica Estates-Holliswood,56,1232,1288,4.545454545454546
Central Harlem North-Polo Grounds,160,3353,3513,4.771846107963018
Ocean Parkway South,64,2228,2292,2.872531418312388
New Springville-Bloomfield-Travis,266,7519,7785,3.5377044819789862
Lindenwood-Howard Beach,158,2386,2544,6.621961441743504
Briarwood-Jamaica Hills,12,234,246,5.128205128205128
Belmont,66,1413,1479,4.670912951167728
Georgetown-Marine Park-Bergen Beach-Mill Basin,113,3410,3523,3.3137829912023458
Rosedale,71,1981,2052,3.5840484603735483
Mariner's Harbor-Arlington-Port Ivory-Graniteville,172,3298,3470,5.215281989084294
East New York,429,9159,9588,4.683917458237799
University Heights-Morris Heights,143,1928,2071,7.41701244813278
Flatlands,165,2363,2528,6.9826491747778245
Kingsbridge Heights,76,1111,1187,6.840684068406841
Kensington-Ocean Parkway,51,1045,1096,4.8803827751196165
Lower East Side,96,1836,1932,5.228758169934641
Fordham South,58,970,1028,5.979381443298969
Claremont-Bathgate,105,1538,1643,6.827048114434331
Manhattanville,48,862,910,5.56844547563805
East New York (Pennsylvania Ave),99,2856,2955,3.466386554621849
New Dorp-Midland Beach,114,5073,5187,2.247191011235955
Bath Beach,17,357,374,4.761904761904762
St. Albans,23,366,389,6.284153005464481
Hollis,14,161,175,8.695652173913043
Douglas Manor-Douglaston-Little Neck,73,1658,1731,4.402895054282268
Borough Park,63,1350,1413,4.666666666666667
Jamaica,15,154,169,9.740259740259742
Mott Haven-Port Morris,140,2365,2505,5.9196617336152215
Cambria Heights,22,259,281,8.494208494208493
Laurelton,35,470,505,7.446808510638298
Bellerose,138,2394,2532,5.764411027568922
Murray Hill-Kips Bay,85,1654,1739,5.139056831922612
Starrett City,4,330,334,1.2121212121212122
Queens Village,208,2598,2806,8.006158583525789
Dyker Heights,56,645,701,8.682170542635658
Far Rockaway-Bayswater,262,4719,4981,5.552023733841915
Rossville-Woodrow,387,8303,8690,4.660965915934
Erasmus,30,591,621,5.0761421319796955
