Date,D0,D1,Value
2005-07,M0,NZD1,0.8783
2005-07,M0,SGD100,76.7914
2005-07,M0,THB100,3.0991
2005-07,M0,XDR1,1.875939
2005-08,M0,EUR1,1.5526
2005-08,M0,GBP1,2.2652
2005-08,M0,DKK100,20.81
2005-08,M0,NOK100,19.5977
2005-08,M0,CZK100,5.2459
2005-08,M0,HUF100,0.6348
2005-08,M0,PLN100,38.3668
2005-08,M0,RUB100,4.4323
2005-08,M0,SEK100,16.6182
2005-08,M0,TRY100,93.553636
2005-08,M0,USD1,1.2623
2005-08,M0,CAD1,1.0469
2005-08,M0,ARS100,43.6791
2005-08,M0,BRL100,53.4364
2005-08,M0,MXN100,11.8109
2005-08,M0,ZAR1,0.195
2005-08,M0,JPY100,1.141455
2005-08,M0,AUD1,0.961418
2005-08,M0,CNY100,15.58934783
2005-08,M0,HKD100,16.242359
2005-08,M0,KRW100,0.1236
2005-08,M0,MYR100,33.5636
2005-08,M0,NZD1,0.8787
2005-08,M0,SGD100,75.9132
2005-08,M0,THB100,3.0669
2005-08,M0,XDR1,1.852787
2005-09,M0,EUR1,1.5491
2005-09,M0,GBP1,2.285
2005-09,M0,DKK100,20.7668
2005-09,M0,NOK100,19.8395
2005-09,M0,CZK100,5.2793
2005-09,M0,HUF100,0.6295
2005-09,M0,PLN100,39.4695
2005-09,M0,RUB100,4.4527
2005-09,M0,SEK100,16.5855
2005-09,M0,TRY100,94.090455
2005-09,M0,USD1,1.2638
2005-09,M0,CAD1,1.0718
2005-09,M0,ARS100,43.3536
2005-09,M0,BRL100,54.9318
2005-09,M0,MXN100,11.7195
2005-09,M0,ZAR1,0.1984
2005-09,M0,JPY100,1.137695
2005-09,M0,AUD1,0.967132
2005-09,M0,CNY100,15.64181818
2005-09,M0,HKD100,16.280232
2005-09,M0,KRW100,0.1227
2005-09,M0,MYR100,33.5277
2005-09,M0,NZD1,0.8836
2005-09,M0,SGD100,75.1477
2005-09,M0,THB100,3.0774
2005-09,M0,XDR1,1.855263
2005-10,M0,EUR1,1.5489
2005-10,M0,GBP1,2.2721
2005-10,M0,DKK100,20.7543
2005-10,M0,NOK100,19.7605
2005-10,M0,CZK100,5.2164
2005-10,M0,HUF100,0.6148
2005-10,M0,PLN100,39.4757
2005-10,M0,RUB100,4.509
2005-10,M0,SEK100,16.4319
2005-10,M0,TRY100,94.831905
2005-10,M0,USD1,1.288
2005-10,M0,CAD1,1.0948
2005-10,M0,ARS100,43.4367
2005-10,M0,BRL100,57.1
2005-10,M0,MXN100,11.8781
2005-10,M0,ZAR1,0.1956
2005-10,M0,JPY100,1.122167
2005-10,M0,AUD1,0.971652
2005-10,M0,CNY100,15.92514286
2005-10,M0,HKD100,16.603843
2005-10,M0,KRW100,0.1231
2005-10,M0,MYR100,34.131
2005-10,M0,NZD1,0.8996
2005-10,M0,SGD100,76.1433
2005-10,M0,THB100,3.1481
2005-10,M0,XDR1,1.863459
2005-11,M0,EUR1,1.5452
2005-11,M0,GBP1,2.2732
2005-11,M0,DKK100,20.7091
2005-11,M0,NOK100,19.7423
2005-11,M0,CZK100,5.2726
2005-11,M0,HUF100,0.6151
2005-11,M0,PLN100,38.8955
2005-11,M0,RUB100,4.5509
2005-11,M0,SEK100,16.1468
2005-11,M0,TRY100,96.215909
