,catégorie,rang,année,pays,temps net,Age,vitesse
85,Escaladelite Hommes,60.,1976,CH,"23.29,3",39.0,18.86317777873181
86,Escaladelite Hommes,---,1984,BDI,--------,31.0,
87,Escaladelite Hommes,2.,1993,ETH,"20.56,4",22.0,21.366465668157947
88,Escaladelite Hommes,---,1989,F,--------,26.0,
89,Escaladelite Hommes,105.,1986,CH,"25.04,8",29.0,17.541520281060368
90,Escaladelite Hommes,145.,1987,CH,"25.58,3",28.0,17.174686315131144
91,Escaladelite Hommes,---,1984,CH,--------,31.0,
92,Escaladelite Hommes,94.,1977,CH,"24.40,5",38.0,18.003687768899812
93,Escaladelite Hommes,23.,1990,F,"21.48,7",25.0,20.44864336575604
94,Escaladelite Hommes,---,1977,CH,--------,38.0,
95,Escaladelite Hommes,---,1986,CH,--------,29.0,
96,Escaladelite Hommes,14.,1990,CH,"21.33,3",25.0,20.596259316551826
97,Escaladelite Femmes,20.,1986,KEN,"26.04,6",29.0,16.869384934346925
98,Escaladelite Femmes,7.,1980,CH,"25.10,4",35.0,17.502390057361378
99,Escaladelite Femmes,12.,1977,CH,"25.17,2",38.0,17.455108851104402
100,Escaladelite Femmes,112.,1980,CH,"33.49,0",35.0,13.119737234995522
101,Escaladelite Femmes,---,1986,GB,--------,29.0,
102,Escaladelite Femmes,---,1991,A,--------,24.0,
103,Escaladelite Femmes,---,1984,H,--------,31.0,
104,Escaladelite Femmes,36.,1992,CH,"28.21,3",23.0,15.573671711622303
105,Escaladelite Femmes,---,1988,UGA,--------,27.0,
106,Escaladelite Femmes,9.,1995,KEN,"25.13,7",20.0,17.479412817758682
107,Escaladelite Femmes,15.,1986,CH,"25.19,8",29.0,17.437098182395427
108,Escaladelite Femmes,3.,1987,CH,"24.43,6",28.0,17.980847929284664
109,Escaladelite Femmes,18.,1974,CH,"25.53,9",41.0,17.204275813461766
110,Escaladelite Femmes,23.,1983,ETH,"26.53,1",32.0,16.561004108401495
111,Escaladelite Femmes,---,1984,D,--------,31.0,
112,Escaladelite Femmes,26.,1981,CH,"27.15,2",34.0,16.18223335297584
