,nom,temps net
0,Chengere Tolossa,"20.16,9"
1,Kigen Mike,"20.20,5"
2,Weidlinger Guenther,"20.21,6"
3,Koech Nicholas,"20.42,7"
4,Wayessa Urguessa,"21.05,9"
5,Roethlin Viktor,"21.12,0"
6,Schaffner Jerome,"21.15,0"
7,Eticha Tesfaye,"21.16,1"
8,Bandi Philipp,"21.18,2"
9,Solomon Tesfamariam,"21.21,9"
10,Foerster Jan,"21.33,1"
11,Manirakiza Egide,"21.36,6"
12,Sekletov Alexandre,"21.40,8"
13,Kiptum Daniel,"21.41,9"
14,Khelifi Mehdi,"21.51,4"
15,Kadi Nesero,"21.58,6"
16,Tadese Abraham,"22.06,3"
17,Staehli Stephen,"22.07,1"
18,Voegeli Daniel,"22.09,6"
19,Grosso Pierre,"22.10,1"
20,Fontaine Guillaume,"22.18,6"
21,Ancay Tarcis,"22.22,4"
22,Lidetu Dejene,"22.31,8"
23,Jenni Walter,"22.32,9"
24,Hakimi Ali,"22.38,9"
25,Heiniger Stephane,"22.39,3"
26,Belz Valentin,"22.42,2"
27,Brodard Daniel,"22.43,9"
28,Kaledine Serguei,"22.46,2"
29,Lovey Samuel,"22.48,8"
30,Valterio David,"22.49,8"
31,Hoeft Moritz,"22.50,6"
32,Megueressa Mitiku,"22.51,6"
33,Suter Thomas,"22.51,6"
34,Karrer Adrian,"22.53,5"
35,Bago Joseph,"23.09,0"
36,Bumann Samuel,"23.10,7"
37,Belz David,"23.17,8"
38,Aubry Jean-Michel,"23.21,5"
39,Kegge Wouter,"23.25,0"
40,Bailly Gilles,----
41,Escajadillo Vladimir,"23.27,7"
42,Campos Antonio,"23.28,6"
43,Kunz Richard,"23.32,4"
44,Fleury Pascal,"23.39,3"
45,Ghammit Abdelghani,"23.42,4"
46,Hynes Antoine,"23.42,7"
47,Dutoit Thierry,"23.45,6"
48,Mekki Aziz,"23.47,1"
49,Guida Enzo,"24.01,4"
50,Boehler Michael,"24.05,7"
51,Kleiner Nathaniel,"24.23,1"
52,Rapillard Laurent,"24.29,9"
53,Carloz Didier,"24.33,9"
54,Clement Patrick,"24.41,6"
55,Chatel Thierry,"24.45,1"
56,Geydet Fabrice,"24.46,6"
57,Moutinho Vitor,"24.52,1"
58,Domerego Eric,"24.59,5"
59,Fayet Claude,"25.03,6"
60,Andrey Julien,"25.06,4"
61,Felley Jean-Yves,"25.06,3"
62,Gachet Jeremie,"25.08,7"
63,Vuagnoux Bruno,"25.11,9"
64,Berney Gilles,"25.12,6"
65,Perren Patrick,"25.13,1"
66,Pfefferle Guillaume,"25.19,5"
67,Macquart Olivier,"25.20,8"
68,Rapillard Stephane,"25.24,4"
69,Tireford Sylvain,"25.40,0"
70,Rizzo Francesco,"25.40,5"
71,Bessard Vincent,"25.41,6"
72,Marmillod Yves,"25.44,6"
73,Delachaux Thierry,"25.49,6"
74,Chabard Christophe,"25.50,1"
75,Irtel Thiemo,"25.55,3"
76,Froidevaux Jean-Charles,"26.02,1"
77,Wilhem Marc,"26.04,4"
