,nom,temps net
0,Mbishei Titus,"     20.24,5 "
1,Mwangaugi John,        ---- 
2,Kipkorir Paul,"     20.30,6 "
3,Tesfay Simon,"     20.55,4 "
4,Chengere Tolossa,"     20.57,6 "
5,Abraham Tadesse,"     21.10,3 "
6,Overall Scott,        ---- 
7,Girma Tsige,"     21.09,3 "
8,Kemboi Benjamin,"     21.11,7 "
9,Kiptum Daniel,"     21.14,3 "
10,Wayessa Urgessa,"     21.18,4 "
11,Olikesha Gadissa,"     21.31,9 "
12,Schaffner Jerome,"     21.33,0 "
13,Niyonsaba Eric,"     21.41,1 "
14,Eticha Tesfaye,"     21.48,6 "
15,Begashaw Hailu,"     21.52,6 "
16,Foerster Jan,"     21.57,8 "
17,Kadi Nesero,"     21.58,8 "
18,Manirakiza Egide,"     21.59,4 "
19,Olshanskiy Andrei,"     22.00,6 "
20,Khelifi Mehdi,"     22.02,6 "
21,Ancay Tarcis,"     22.04,1 "
22,Solomon Tesfamariam,"     22.06,0 "
23,Kiday Abdou,"     22.29,7 "
24,Staehli Stephen,"     22.30,0 "
25,Roch Alexandre,"     22.31,2 "
26,Hakimi Ali,        ---- 
27,Fournier Pierre,"     22.37,5 "
28,Bouziane Kais,"     23.06,4 "
29,Bumann Samuel,"     23.08,6 "
30,Gutic Vehid,"     23.10,0 "
31,Brodard Daniel,"     23.12,0 "
32,Ghammit Abdelghani,        ---- 
33,Chauvet Pierre,"     23.26,3 "
34,Aubry Jean-Michel,"     23.29,1 "
35,Huwiler Thomas,"     23.29,9 "
36,Grosso Pierre,"     23.30,7 "
37,Valterio David,"     23.30,2 "
38,Bouchalghem Nabil,"     23.31,2 "
39,Besombes Frederic,"     23.32,2 "
40,Moulin Xavier,"     23.32,8 "
41,Kunz Richard,"     23.33,8 "
42,Deletraz Arnaud,"     23.41,9 "
43,Kleiner Nathaniel,"     23.44,7 "
44,Costa Cesar,        ---- 
45,Di Camillo Fabien,"     23.57,1 "
46,Bailly Gilles,"     23.58,3 "
47,Oliveira Eduardo,"     23.57,8 "
48,Fleury Pascal,"     24.01,4 "
49,Simoncelli Daniele,"     24.02,2 "
50,Wanner Christoph,"     24.02,1 "
51,Rerat Jacques,"     24.02,0 "
52,Dard Philippe,"     24.06,2 "
53,Gillet Alain,"     24.09,3 "
54,Mollen Albert,"     24.09,8 "
55,Dutoit Thierry,"     24.10,3 "
56,Aigroz Mike,"     24.15,8 "
57,Salamun Julien,"     24.17,5 "
58,Geydet Fabrice,        ---- 
59,Marchon Olivier,"     24.20,0 "
60,Frossard Pierre-Alain,"     24.21,1 "
61,Denef Sebastien,"     24.19,2 "
62,Aymon Pascal,"     24.20,7 "
63,Deriaz Cedric,"     24.17,4 "
64,Tremblet Stephan,"     24.21,3 "
65,Theytaz Jean-Pierre,"     24.27,1 "
66,Ornon Gregory,"     24.29,4 "
67,Buchs Sebastien,"     24.33,4 "
68,Baladie Patrick,"     24.33,9 "
69,Goineau Volker,"     24.35,4 "
70,Dupraz Frederic,"     24.34,9 "
71,Wyss Gregory,"     24.38,6 "
72,Zeraidi Bob,"     24.43,6 "
73,Astier Francois,        ---- 
74,Saugy Sebastien,"     24.46,6 "
75,Perren Patrick,"     24.47,9 "
76,Nydegger Damien,"     24.46,8 "
77,Fayet Claude,"     24.53,5 "
78,Vuattoux Christian,"     24.54,7 "
79,Mathieu Lionel,"     24.57,4 "
80,Koster Jo,        ---- 
81,Gillieron Christophe,"     25.01,4 "
82,Herzig David,"     25.03,5 "
83,Schnyder Yann,"     25.02,3 "
84,Gobet Philippe,"     25.05,6 "
85,Chatel Thierry,"     25.01,2 "
86,Meier Joel,"     25.05,4 "
87,Piccand Marc,"     25.07,4 "
88,Bagnoud Gerard,"     25.08,0 "
89,Carriero Richard,"     25.06,9 "
90,Matteazzi Daniel,"     25.09,3 "
91,Theraulaz Didier,"     25.12,4 "
92,Lagger Gregoire,"     25.13,4 "
93,Vaehaenen Sami,"     25.15,1 "
94,Betrisey Yvan,        ---- 
95,Seara Ricardo,"     25.18,0 "
96,Place Nicolas,"     25.19,6 "
97,Raneda Martial,"     25.23,6 "
98,Schenk Jonas,"     25.21,2 "
99,Rapillard Laurent,"     25.24,2 "
100,Guida Enzo,"     25.24,5 "
101,Doninelli Danilo,"     25.30,7 "
102,Boillon Benedict,"     25.35,1 "
103,Tireford Sylvain,"     25.34,2 "
104,Kremmer Francois,        ---- 
105,Diemand Andreas,"     25.46,2 "
106,Heude Denis,"     25.46,7 "
107,Chalverat Richard,"     25.47,6 "
108,Althey Charles,"     25.47,9 "
109,Maret Edouard,"     25.44,0 "
110,Le Guellec Ludovic,"     25.48,4 "
111,Gaudiosi Roberto,"     25.49,6 "
112,Bentaleb Nasser,"     25.48,3 "
113,Monnerat Christophe,"     25.49,8 "
114,Moos Yvan,"     25.51,6 "
115,Mellet Jeremie,"     25.49,6 "
116,Marmillod Yves,"     25.53,5 "
117,Cicero Christophe,"     25.56,0 "
118,Peruisset Lionel,"     25.56,3 "
119,Wagner-Meige Udo,"     25.52,5 "
120,Beck Emmanuel,"     25.59,1 "
121,Bonga Daniel,"     26.01,9 "
122,Chouibani Mohamed,"     26.02,8 "
123,Dorsaz Stephane,"     26.00,3 "
124,Torello Viera Carlo,"     25.58,4 "
125,Noel Xavier,"     26.02,9 "
126,Carloz Didier,"     26.04,5 "
127,Gattone Sylvain,"     26.02,8 "
128,Dumauthioz Eric,        ---- 
129,Bartolini Alain,"     26.08,4 "
130,Akakpo Kely,"     26.09,3 "
131,Blattner Andre,"     26.09,2 "
132,Dimanche Stephane,        ---- 
133,Dunand Jean-Marc,"     26.09,8 "
134,Grandjanny Damien,"     26.10,6 "
135,Bertuzzi Vincent,"     26.13,7 "
136,Correvon Michel,"     26.13,2 "
137,Perroud Yvan,"     26.16,6 "
138,Pasero Mathieu,"     26.17,8 "
139,De Terwagne Didier,"     26.18,8 "
140,Brunet Sullivan,"     26.21,4 "
141,Terrapon Denis,"     26.20,8 "
142,Bize Nicolas,"     26.20,3 "
143,Rottigni Robert,"     26.24,0 "
144,Saiz-Lozano Angel,"     26.26,2 "
145,Temporin Paolo,"     26.24,2 "
146,Perez Raoul,"     26.28,0 "
147,Wilhem Marc,"     26.29,4 "
148,Le Tinevez Vincent,"     26.24,8 "
149,Occhilupo Sandro,        ---- 
150,Greiner Richard,"     26.31,7 "
151,Daerendinger Claude,"     26.28,9 "
152,March Stephen,"     26.31,7 "
153,Cigler Ludek,"     26.28,1 "
154,Frauenfelder Raoul,        ---- 
155,Bureau Guillaume,"     26.37,0 "
156,Bailly Steve,"     26.28,6 "
157,Hazeghi Cyrus,"     26.29,2 "
158,Servoz Sebastien,"     26.38,9 "
159,Bell Stephen,"     26.40,7 "
160,Payne Tom,"     26.39,0 "
161,Bugnon Dominique,"     26.41,5 "
162,Vasiliu Julien,"     26.41,0 "
163,Zbinden Martin,"     26.42,1 "
164,Scheidegger Sebastien,"     26.45,8 "
165,Baptiste Cyrille,"     26.47,7 "
166,Erhardt Markus,"     26.54,1 "
167,Barriere Olivier,"     26.53,3 "
168,Pagnier Robert,"     26.50,0 "
169,Rieder Marcel,"     26.51,9 "
170,Salaun Bastien,"     26.52,6 "
171,Ladner Thomas,"     26.48,9 "
172,Mc Laren Robert,"     26.57,3 "
173,Laporte Christophe,"     26.59,7 "
174,Cornet Herve,"     27.00,6 "
175,Imeri Sami,        ---- 
176,Desfonds Patrick,"     27.04,2 "
177,Cettour Raphael,"     27.04,0 "
178,Huber Harry,        ---- 
179,Leuliet Frederic,"     27.05,8 "
180,Marti Nicolas,        ---- 
181,Martins Manuel,"     27.08,9 "
182,Beth Benoit,"     27.07,1 "
183,Duhigg Brett,"     27.03,1 "
184,Yon Philippe,"     27.09,0 "
185,Ancay Emmanuel,"     27.10,8 "
186,Duport Pascal,"     27.08,8 "
187,Poncet Thierry,"     27.11,0 "
188,Overney Thierry,"     27.12,4 "
189,Amoos Patrick,"     27.11,3 "
190,Husser Joris,"     27.14,5 "
191,Sallet Alain,"     27.13,0 "
192,Aspinall Luke,        ---- 
193,Lavanchy Christophe,"     27.15,9 "
194,Rondags Daniel,"     27.11,9 "
195,Detraz Eric,"     27.16,3 "
196,Rizzo Francesco,"     27.16,9 "
197,Andrey Julien,"     27.19,5 "
198,Bourlon Olivier,"     27.18,7 "
199,Lamouille Marc,"     27.19,1 "
200,Rodrigues De Lima Jose,"     27.20,5 "
201,Hernandez Juan-Antonio,"     27.22,2 "
202,Reduce Christian,"     27.22,0 "
203,Theubet Philippe,"     27.20,9 "
204,Metral Nicolas,"     27.18,5 "
205,Fabre Jean-Luc,"     27.21,5 "
206,Karatay Atilla,"     27.21,3 "
207,Lyon Stephane,"     27.25,0 "
208,Soler Sebastien,"     27.22,1 "
209,Waegeli Olivier,"     27.25,7 "
210,Baron Eric,"     27.26,3 "
211,Rodriguez Florian,        ---- 
212,Duplant Thierry,"     27.25,6 "
213,Halden Jonathan,"     27.22,5 "
214,Tarantino Frank,"     27.30,8 "
215,Kuepfer Thomas,"     27.28,7 "
216,Sonneville Maurice,"     27.29,7 "
217,Wilhelm Christophe,        ---- 
218,Coignee Jean-Roch,"     27.29,0 "
219,Kolly Christophe,"     27.37,1 "
220,Bonnaz Raphael,"     27.33,4 "
221,Socchi Pierre,"     27.34,2 "
222,Grieb Gregory,"     27.37,3 "
223,Eggli Laurent,"     27.40,5 "
224,Blemus Yoann,"     27.37,6 "
225,Sanchez Galan Francisco,"     27.37,7 "
226,Geinoz Nicolas,"     27.38,6 "
227,Velletri Giuseppe,        ---- 
228,Mesnil Bastien,"     27.41,4 "
229,Bringard Aurelien,"     27.40,9 "
230,Ocampo Gregory,"     27.41,5 "
