,1ère boucle,2ème boucle,3ème boucle,nom,temps net
64,"      7.41,0 ","     8.21,2 ","     7.48,0 ",Fayan Robin,"    23.41,5 "
65,"      7.37,0 ","     8.16,4 ","     7.57,8 ",Buchs Pascal,"    23.43,2 "
66,"      7.26,9 ","     8.24,1 ","     8.01,9 ",Imeri Gzim,"    23.45,9 "
67,"      7.40,1 ","     8.17,9 ","     8.00,6 ",Fouquet Meddy,"    23.51,1 "
68,"      7.35,3 ","     8.18,3 ","     8.06,0 ",Baldini Eros,"    23.51,2 "
69,"      7.36,6 ","     8.22,7 ","     8.06,6 ",Itim Simon,"    23.58,3 "
70,"      7.51,2 ","     8.13,6 ","     8.03,7 ",Orlandi Yan,"    24.00,8 "
71,"      7.38,2 ","     8.33,0 ","     7.59,2 ",Bumann Samuel,"    24.02,4 "
72,"      7.44,6 ","     8.22,6 ","     8.03,8 ",Bailly Gilles,"    24.02,8 "
73,"      7.45,5 ","     8.23,7 ","     8.02,8 ",Basset Jeremy,"    24.04,4 "
74,"      7.43,7 ","     8.25,7 ","     8.04,3 ",Besse Daniel,"    24.04,2 "
75,"      7.40,9 ","     8.24,4 ","     8.09,5 ",Moulin Xavier,"    24.07,0 "
76,"      7.59,8 ","     8.21,5 ","     7.54,7 ",Thabet Tarik,"    24.05,3 "
77,"      7.38,2 ","     8.31,7 ","     8.10,6 ",Atse Herrera Jonathan,"    24.11,5 "
78,"      7.50,8 ","     8.28,0 ","     8.03,7 ",Graham-Brown Charlie,"    24.14,5 "
79,"      8.05,3 ","     8.22,3 ","     7.55,1 ",Rollier Baptiste,"    24.12,5 "
80,"      7.34,2 ","     8.36,1 ","     8.14,6 ",Jeanmaire Yannick,"    24.17,8 "
81,"      7.40,3 ","     8.39,9 ","     8.05,5 ",Bonjour Allan,"    24.18,0 "
82,"      7.39,3 ","     8.34,2 ","     8.13,4 ",Fluckiger Paul,"    24.18,4 "
83,"      7.49,6 ","     8.32,2 ","     8.07,4 ",Baud Jérôme,"    24.21,1 "
84,"      7.51,7 ","     8.23,7 ","     8.16,0 ",Bellaton Mathias,"    24.24,1 "
85,"      7.50,3 ","     8.31,2 ","     8.10,0 ",Roch Alexandre,"    24.23,4 "
86,"      7.57,0 ","     8.27,0 ","     8.09,7 ",Pavy Fabien,"    24.20,5 "
87,"      7.56,6 ","     8.31,1 ","     8.10,0 ",Gousman Weideren,"    24.29,0 "
88,"      7.54,3 ","     8.33,8 ","     8.10,3 ",Brodard Daniel,"    24.30,6 "
89,"      7.43,2 ","     8.42,0 ","     8.14,5 ",Mellet Jérémie,"    24.32,7 "
90,"      8.07,4 ","     8.31,4 ","     8.01,9 ",Saugy Sébastien,"    24.32,9 "
91,"      8.01,5 ","     8.37,0 ","     8.04,6 ",Harrison Jon,"    24.31,3 "
92,"      7.49,9 ","     8.37,8 ","     8.15,8 ",Lachat Theo,"    24.35,2 "
93,"      7.56,0 ","     8.33,5 ","     8.18,9 ",Leitào Miguel,"    24.40,5 "
94,"      8.15,5 ","     8.27,6 ","     8.14,7 ",Bogousslavsky Vincent,"    24.45,2 "
95,"      8.04,9 ","     8.37,6 ","     8.18,2 ",Mathieu Lionel,"    24.49,6 "
96,"      7.57,5 ","     8.41,5 ","     8.23,5 ",Bourdon Rémy,"    24.53,4 "
97,"      8.06,0 ","     8.37,6 ","     8.20,9 ",Bontaz Christophe,"    24.53,8 "
98,"      7.48,9 ","     8.47,2 ","     8.29,9 ",Magalhaes De Almeida Anto,"    24.58,8 "
99,"      8.16,9 ","     8.39,7 ","     8.12,2 ",Cibotto Florian,"    24.58,8 "
100,"      8.06,6 ","     8.42,3 ","     8.21,0 ",Pinto Ricardo,"    25.02,7 "
101,"      8.08,2 ","     8.41,5 ","     8.22,2 ",Fischer Michaël,"    25.03,7 "
102,"      8.07,4 ","     8.48,7 ","     8.17,2 ",Girod Christophe,"    25.06,2 "
103,"      8.07,9 ","     8.42,2 ","     8.23,6 ",Kninech Bouchaib,"    25.03,8 "
104,"      8.06,7 ","     8.43,7 ","     8.23,6 ",Thiémard Marc,"    25.04,8 "
105,"      8.10,7 ","     8.45,1 ","     8.18,6 ",Barbour Julian,"    25.04,3 "
106,"      8.12,8 ","     8.44,4 ","     8.18,2 ",Klouch Rédha,"    25.06,6 "
107,"      8.17,7 ","     8.39,8 ","     8.19,0 ",Bouchet Antoine,"    25.07,1 "
108,"      8.06,1 ","     8.43,6 ","     8.26,9 ",Dupraz Frédéric,"    25.07,7 "
109,"      8.11,3 ","     8.39,4 ","     8.26,4 ",Ferrero Frédéric,"    25.08,1 "
110,"      7.55,3 ","     8.48,5 ","     8.37,4 ",Soguel Archibald,"    25.11,7 "
111,"      7.38,3 ","     9.05,8 ","     8.39,3 ",Hiblay Samual,"    25.16,9 "
112,"      8.14,0 ","     8.46,9 ","     8.23,3 ",Maret Edouard,"    25.15,1 "
113,"      7.58,9 ","     8.49,8 ","     8.36,6 ",Martial Olivier,"    25.16,6 "
114,"      8.09,1 ","     8.48,6 ","     8.27,8 ",Tela Samet,"    25.14,4 "
115,"      8.13,2 ","     8.49,6 ","     8.22,9 ",Meier Joel,"    25.16,5 "
116,"      8.16,3 ","     8.47,9 ","     8.21,6 ",Rudaz Dany,"    25.15,3 "
117,"      8.20,6 ","     8.52,9 ","     8.14,0 ",Chatkin Dmitry,"    25.18,9 "
118,"      7.55,9 ","     9.03,8 ","     8.34,7 ",Bernier Alexis,"    25.24,2 "
119,"      8.07,5 ","     8.54,4 ","     8.33,2 ",Dutoit Thierry,"    25.26,7 "
120,"      7.54,0 ","     8.57,7 ","     8.44,8 ",Couto Nuno,"    25.28,7 "
121,"      8.19,4 ","     8.46,7 ","     8.33,1 ",Ferreira Paulo,"    25.25,3 "
122,"      8.28,2 ","     8.47,8 ","     8.23,5 ",Pirinoli Cédric,"    25.28,8 "
123,"      8.17,1 ","     8.54,4 ","     8.28,3 ",Torello Viera Carlo,"    25.29,4 "
124,"      8.11,0 ","     8.55,9 ","     8.35,0 ",Salamun Julien,"    25.34,0 "
125,"      7.53,6 ","     9.09,0 ","     8.40,1 ",Guerrieri Damiano,"    25.34,4 "
126,"      8.24,5 ","     8.52,3 ","     8.26,2 ",Stepanovic Steve,"    25.33,8 "
127,"      8.15,9 ","     8.50,4 ","     8.38,6 ",Salaun Bastien,"    25.34,9 "
128,"      8.23,5 ","     8.52,6 ","     8.29,0 ",Gillieron Christophe,"    25.36,8 "
