,nom,temps net
164,Emmanuel-Emile Pascale,"25.59,9"
165,Theubet Philippe,"25.58,0"
166,Bianchi Gilbert,"25.57,8"
167,Junge Micki,"26.00,7"
168,Arnold Alwin,"26.02,1"
169,Blattner Andre,"26.02,0"
170,Blanc Christian,"26.02,0"
171,Dorsaz Alain,"26.05,5"
172,Overney Alexandre,"26.07,4"
173,Theraulaz Didier,"26.08,6"
174,Marchon Gerard,"26.05,6"
175,Revuelta Eric,"26.13,2"
176,Bell Stephen,"26.13,2"
177,Muller Valentin,"26.16,1"
178,Dixmerias Olivier,"26.15,5"
179,Dumalle Florian,"26.15,7"
180,Leuliet Frederic,"26.12,2"
181,Ajonkeu Albert,----
182,Egli Laurent,"26.18,4"
183,Overney Thierry,"26.17,9"
184,Lamouille Buchholz Marc,"26.19,5"
185,Noel Xavier,"26.19,3"
186,Bureau Guillaume,"26.18,5"
187,Servoz Sebastien,"26.08,4"
188,Rondags Daniel,"26.17,2"
189,Lueke Michael,"26.22,4"
190,Mayer Timothy,"26.15,9"
191,Fabre Jerome,"26.22,3"
192,Cornet Herve,"26.23,5"
193,Basler Marcel,"26.25,8"
194,Ollivier Cyril,"26.28,4"
195,Ferrer Gustavo,"26.21,6"
196,Sardinha Alberto,"26.29,9"
197,Marti Nicolas,"26.27,4"
198,Gattone Sylvain,"26.30,0"
199,Goux Philippe,"26.35,3"
200,Sivakumaran Arjuna,"26.30,2"
201,Bertuchoz Urbain,"26.38,0"
202,Geinoz Nicolas,"26.36,3"
203,Bachmann Olivier,"26.32,6"
204,Cerisier Alban,"26.37,3"
205,Ballabeni Massimo,"26.39,9"
206,Richard Renaud,"26.39,7"
207,Richard Christian,"26.41,2"
208,Arrigoni Sebastien,"26.40,4"
209,Bergoen Michel,"26.34,2"
210,Bourlon Olivier,"26.43,8"
211,Varais Dominique,"26.45,1"
212,Penzo Claudio,"26.44,5"
213,Irtel Thiemo,"26.39,8"
214,Martin Bruno,"26.44,8"
215,Grospiron Laurent,"26.48,4"
216,Jotterand Frank,"26.47,2"
217,Etter Florian,"26.49,5"
218,Musy Jean-Francois,"26.52,3"
219,Berset Stephane,"26.49,1"
220,Cicchini Marco,"26.50,0"
221,Saby Dominique,"26.54,9"
222,Revuelta Eduardo,"26.54,6"
223,Dorsaz Stephane,"26.52,3"
224,Monnard Philippe,"26.52,5"
225,Schneider Vincent,"26.54,8"
226,Gabioud Michel,"27.00,6"
227,Diemand Andreas,"26.57,5"
228,Martin Siro,"26.58,8"
229,Wilhelm Christophe,"27.00,4"
230,Denis Olivier,"27.00,7"
231,Poncet Thierry,"26.57,3"
232,Salaun Bastien,"26.59,7"
233,Wehrle-Haller Bernhard,"27.02,0"
234,Nisbet David,"27.02,7"
235,Kammer Heinz,"27.03,4"
236,Yon Philippe,"27.03,9"
237,Fernier Pascal,"27.07,8"
238,Chassot Roger,"27.03,7"
239,Michaud Sebastien,"27.07,7"
240,Durand Mathieu,----
241,Dunkel Olaf,"27.07,8"
242,Clerc Olivier,"27.05,5"
243,Richard Daniel,"27.11,0"
244,Kalbfuss Didier,"27.06,7"
245,Roth Alexandre,"27.12,3"
246,Bruegger Vincent,"27.10,8"
247,Poget Pierre-Alain,"27.08,2"
248,Hazeghi Cyrus,"27.08,5"
249,Dechevrens Alain,"27.07,8"
250,Blanc Eric,"27.18,2"
251,Gianora Thibault,"27.11,0"
252,Hotham Nicholas,"27.19,7"
253,Havart Frederic,"27.15,0"
254,Pfefferle Guillaume,"27.24,4"
255,Henauer Nicolas,"27.18,3"
256,Siffert Thierry,"27.21,8"
257,Jenny Christian,"27.20,4"
258,Cantivalli Antonio,"27.22,2"
259,Gertsch Silvain,"27.16,3"
260,Ciapala Richard,"27.23,5"
261,Lorenzi Luca,"27.15,0"
262,Rochette Damien,"27.19,6"
263,Frauenfelder Raoul,"27.19,8"
264,Mueller Henning,"27.22,0"
265,Fischer Philipp,"27.22,2"
266,Frey Max-Andre,"27.24,2"
267,Boand Philippe,"27.27,4"
268,Amoos Patrick,"27.28,5"
269,Tarantino Frank,"27.25,9"
270,Necker Horace,"27.27,1"
271,Vonlanthen Sebastien,"27.25,0"
272,Curtet Loris,"27.30,1"
273,Trezzini Ricco,"27.27,1"
274,Autajon Jeremie,"27.28,4"
275,Lemarie Stephane,"27.26,3"
276,Garcia Tinoco Guillermo,"27.28,2"
277,Descombes Sebastien,"27.26,4"
278,Scheidegger Sebastien,"27.32,6"
279,Tschopp Laurent,----
280,Meroz Christophe,"27.29,5"
281,Pasquina Patrick,"27.32,8"
282,Jeanbourquin Fabien,"27.35,0"
283,Vaucher Gregory,"27.34,2"
284,Serena Franco,"27.29,2"
285,Reymond Sebastien,"27.32,3"
286,Spiegelberg Andreas,"27.32,3"
287,Baudin Daniel,"27.30,0"
288,Davet Jerome,"27.34,5"
289,Emery Thierry,"27.34,6"
290,Cruz Carlos,"27.42,1"
291,Desgeorges Fabrice,"27.43,7"
292,Marchand Jerome,"27.42,2"
293,Filliez Samuel,"27.31,3"
294,Flumet Laurent,"27.16,1"
295,Suter Walter,"27.35,8"
296,Mirkovic Radovan,"27.39,7"
297,Mallon Timothy,"27.39,6"
298,Carpin Laurent,"27.40,0"
299,Famchon Franck,"27.42,6"
300,Wyss Alain,"27.44,8"
301,Imhoof Nicolas,"27.43,7"
302,Grand Didier,"27.42,0"
303,Longchamp Bertrand,"27.44,8"
304,Lauchenauer Frederic,"27.43,3"
305,Aebischer Patrick,"27.42,0"
306,Dusserre Jean-Michel,"27.42,4"
307,Widmer Bernard,"27.46,9"
308,Gould Peter,"27.45,6"
309,Briol Marc,"27.50,6"
310,Boule Nicolas,"27.44,2"
311,Gujarro Manuel,"27.54,2"
312,Marchand Patrick,"27.52,2"
313,Rollinson Phil,"27.49,1"
314,Mathieu Didier,"27.46,7"
315,Gillieron Simon,"27.54,5"
316,Aeby Pascal Laurent,"27.49,6"
317,Hunziker Pierre,"27.53,9"
318,Pfersich Thierry,"27.51,2"
319,Farquet Patrick,"27.50,3"
320,Gaille Laurent,"27.55,7"
321,Neupert Holger,"27.54,4"
322,Florey Norbert,"27.57,8"
323,Kunz Martin,"27.57,4"
324,Chenaux Pascal,----
325,Kayser Bengt,"28.01,4"
326,Moix Christian,"27.58,8"
327,Gillet Yves,"28.00,5"
328,Debonneville Herve,"27.55,2"
329,Touzard Hugues,"28.00,6"
330,Bovigny Patrick,"28.00,8"
331,Lopez David,"27.56,9"
332,Lovis Bernard,"28.03,0"
333,Baillif Frederic,"27.56,8"
334,Corset Laurent,"28.01,8"
335,Kluser Stephane,"27.57,7"
336,Torbidone David,----
337,Haller Christian,"28.00,3"
338,Fleurence Pascal,"28.03,2"
339,Govaerts Patrice,"28.03,7"
340,Maestre Juan,"28.07,3"
341,Wallerand Olivier,"28.07,6"
342,Francey Joel,"28.02,2"
343,Joly Valery,"28.00,9"
344,Ollivier Patrick,"28.10,6"
345,Peli Philippe,"28.03,6"
346,Rouiller Philippe,"28.07,8"
347,Gori Francois,"28.10,8"
348,Saudan Guy,"28.11,1"
349,Sallet Alain,"28.06,5"
350,Bellet Laurent,"28.08,1"
351,Thomsen Jeff,"28.13,8"
352,Weinwurm Beat,"28.08,4"
353,Demont Francois Xavier,"28.06,2"
354,Aboun Karim,"28.14,4"
355,Niclass Laurent,"28.11,4"
356,Cieslak Frederic,"28.13,9"
357,Roche Jean-Louis,"28.16,7"
358,Gastaldi Giacomo,"28.12,9"
359,Velletri Giuseppe,"28.16,8"
360,Giraud-Moine David,"28.08,4"
361,Cogne Sebastien,----
362,Eremia Radu,"28.12,4"
363,Dosil Rosende Pablo,"28.17,3"
364,Terrapon Denis,"28.15,9"
365,Juan Joseph,"28.21,1"
366,Bocquet Ghislain,"28.18,0"
367,Piguet Laurent,"28.21,9"
368,Russo Simon,"28.18,5"
369,Bole-Feysot Eric,----
370,Porret Olivier,"28.19,8"
371,Glaus Rene,"28.22,7"
372,Garel Pascal,"28.20,3"
373,Perriraz Joel,"28.19,8"
374,Navarro Charles,"28.19,3"
375,Gay Laurent,"28.24,3"
376,Sharp Richard,"28.22,6"
377,Leresche Gilbert,"28.26,3"
378,Mueller Beat,"28.21,8"
379,Granges Thierry,"28.25,5"
380,Bichsel Jerome,"28.27,4"
381,Lavy Thomas,"28.28,8"
382,Walker Justin,"28.28,6"
383,Maigre Didier,"28.25,4"
384,Pugin Yann,"28.23,5"
385,Farre David,"28.29,4"
386,Zehnder Adrian,"28.21,6"
387,Vonlanthen Gilbert,"28.33,1"
388,Schmitz Alexander,"28.32,2"
389,Dubois Philippe,"28.30,5"
390,Beney Raymond,"28.33,4"
391,Krauer Thomas,"28.30,0"
392,Duport Pascal,"28.28,5"
393,Revellin Remi,"28.38,9"
394,Marazita Giuseppe,"28.31,0"
395,Paltani Stephane,"28.30,5"
396,Dutruel Stephane,"28.32,3"
397,Blanchard Herve,"28.36,1"
398,Hirtz Christian,"28.33,8"
399,Jeanmaire Yannick,"28.30,7"
400,Desfonds Patrick,"28.36,6"
401,Mino Pascal,"28.36,2"
402,Viguier Pascal,"28.33,1"
403,Baeriswyl Dominik,"28.34,1"
404,Thevenoz Olivier,"28.38,9"
405,Ruin Fabien,"28.41,5"
406,Nicod Christophe,"28.30,9"
407,Ortelli Thierry,"28.37,8"
408,Mandallaz Luc,"28.39,8"
409,Jardim Marini Bruno,"28.35,5"
410,Maring Philippe,"28.38,2"
411,Chatton Jean-Yves,"28.39,3"
412,Dupriez Quentin,"28.39,8"
413,Scuderi Antonino,"28.35,8"
414,Baumgartner Thomas,"28.33,6"
415,Buttet Robert,"28.39,5"
416,Petite Xavier,"28.38,1"
417,Feller Richard,"28.44,4"
418,Canaverde Francisco,"28.40,1"
419,Grenno Raphael,"28.45,8"
420,Perriard Samuel,"28.45,3"
421,Carrel Olivier,"28.44,2"
422,Fallet Kim-Hoon,"28.39,9"
423,Aletru Aurelien,"28.39,9"
424,Uldry Jean-Daniel,"28.47,0"
425,Riccio Gianluca,"28.45,2"
426,Harrington C Rodney,"28.43,5"
427,Grivel Philippe,"28.46,3"
428,Zullig Jan,"28.45,4"
429,Lapierre Stephane,"28.45,4"
430,Le Floch Thierry,"28.47,4"
431,Dubouloz Thierry,"28.43,2"
432,Baudet Dominique,"28.49,5"
433,Portier Christophe,"28.44,8"
434,Nussbaum Jacques,"28.44,9"
435,Bermond Pierre,"28.51,3"
436,Dominguez Alfonso,"28.56,3"
437,Figueira Fernando,"28.55,6"
438,Colaras Yan,"28.53,1"
439,Gilliand Patrick,"28.53,2"
440,Hofer Thierry,"28.52,1"
441,Benavent Sergio,"28.49,2"
442,Mauron Gerard,"28.52,9"
443,De Pascali Fernando,"28.57,3"
444,Sprungli Olivier,"28.51,9"
445,Holzer David,"28.51,1"
446,Schnyder David,"28.58,6"
447,Dreier Jacques,"28.53,3"
448,Szoradi Stephen,"28.55,7"
449,Jaussi David,"28.54,1"
450,Franca Ilidio,"29.01,1"
451,Dorthe Dominique,"29.00,2"
452,Grand Cyril,"28.58,8"
453,Simonin Bernard,"28.56,5"
454,Boschung Philippe,"28.57,0"
455,Longley-Cook Robert,"28.57,7"
456,Steffen Jeannot,"29.01,1"
457,Amoos Roger,"28.56,8"
458,Garnier Pierre,"29.00,3"
459,Bettens Philippe,"29.00,4"
460,Helbling Serge,"29.00,1"
461,Gremion Gerald,"29.10,8"
462,Fiorina Julien,"29.01,8"
463,Ferrai Alberto,"29.08,7"
464,Geydet Fabrice,"29.09,6"
465,Thorin Fabrice,"29.07,5"
466,Knopff Oliver,"29.04,3"
467,Folly Olivier,"29.09,4"
468,Favre Thierry,"29.07,9"
469,Kheloui Ali,"29.08,3"
470,Manas Guy,"29.06,9"
471,Corthay Marc,"29.07,9"
472,Jaquier Andre,----
473,Rebetez Francois,"29.07,4"
474,Comte Mikael,"29.13,1"
475,Tavares Nuno,"29.11,7"
476,Burri Lionel,"29.10,2"
477,Fellay Yann,"29.17,4"
478,Doninelli Sandro,"29.15,9"
479,Da Silva Marco,"29.14,8"
480,Battiaz Claude-Alain,"29.11,2"
481,Viette Olivier,"29.12,6"
482,Fontaine Yoland,"29.14,0"
483,Blake Rod,"29.10,5"
484,Gavin Bertrand,"29.17,4"
485,Prost Philippe,"29.18,0"
486,Peschot Regis,"29.23,8"
487,Favre Cedric,"29.21,3"
488,Kirkman Percy,"29.21,2"
489,Gregory Neil,"29.17,2"
490,Decoppet Sebastien,"29.23,5"
491,Fellay Jean-Denis,"29.21,6"
492,Burri Frederic,"29.20,0"
493,Berset Yvan,"29.26,3"
494,Bovard Roland,"29.23,2"
495,Verges Pierre,"29.27,4"
496,Stidel Frederic,"29.09,4"
497,Liechti Yves,"29.29,7"
498,Bloch Roland,"29.27,8"
499,Temperli Philippe,"29.26,0"
500,Cornes Iain,"29.24,8"
501,Boucherie Antoine,"29.30,5"
502,Riedo Alphonse,"29.26,6"
503,Torquemada Antonio,"29.34,2"
