date,uniques,pageviews
2016-07-05,457838,3857802
2016-07-06,454353,3842432
2016-07-07,438915,3526072
2016-07-08,438933,4116300
2016-07-09,428820,4421197
2016-07-10,433792,4267310
2016-07-11,450968,4103929
2016-07-12,462113,4227891
2016-07-13,456452,3842108
