"Kanton";"Karosserie";"Treibstoff";"Anzahl Sitzplätze";"Antrieb";"Getriebe";"2008";"2009"
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Automatisches";21;23
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Manuelles";238;251
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Vorderrad";"Übrige";1;2
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Automatisches";459;399
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Manuelles";7538;7616
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Hinterrad";"Übrige";17;22
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Automatisches";30;95
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Manuelles";169;293
"Zürich";"Limousine";"Benzin";"2 Sitzplätze";"Allrad";"Übrige";3;21
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Automatisches";5;6
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Manuelles";56;52
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Automatisches";18;16
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Manuelles";256;229
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Hinterrad";"Übrige";5;7
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Automatisches";1;3
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Manuelles";9;30
"Zürich";"Limousine";"Benzin";"3 Sitzplätze";"Allrad";"Übrige";0;1
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Automatisches";2412;2323
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Manuelles";24716;26102
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Vorderrad";"Übrige";72;190
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Automatisches";4492;4386
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Manuelles";4248;4083
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Hinterrad";"Übrige";78;112
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Automatisches";1552;1725
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Manuelles";3095;3450
"Zürich";"Limousine";"Benzin";"4 Sitzplätze";"Allrad";"Übrige";6;51
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Automatisches";64720;60878
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Manuelles";176839;167431
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Vorderrad";"Übrige";2460;3105
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Automatisches";22269;20580
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Manuelles";15489;13885
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Hinterrad";"Übrige";290;436
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Automatisches";22247;21963
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Manuelles";17480;17596
"Zürich";"Limousine";"Benzin";"5 Sitzplätze";"Allrad";"Übrige";551;837
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Automatisches";1060;935
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Manuelles";924;828
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Vorderrad";"Übrige";4;5
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Automatisches";264;208
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Manuelles";188;172
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Hinterrad";"Übrige";14;17
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Automatisches";234;308
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Manuelles";220;213
"Zürich";"Limousine";"Benzin";"6 Sitzplätze";"Allrad";"Übrige";3;13
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Automatisches";9131;8696
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Manuelles";12753;12821
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Vorderrad";"Übrige";9;94
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Automatisches";341;274
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Manuelles";405;323
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Hinterrad";"Übrige";2;7
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Automatisches";2075;2188
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Manuelles";606;578
"Zürich";"Limousine";"Benzin";"7 Sitzplätze";"Allrad";"Übrige";27;98
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Automatisches";393;361
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Manuelles";655;581
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Vorderrad";"Übrige";0;1
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Automatisches";370;303
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Manuelles";958;853
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Hinterrad";"Übrige";2;4
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Allrad";"Automatisches";151;178
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Allrad";"Manuelles";445;410
"Zürich";"Limousine";"Benzin";"8 Sitzplätze";"Allrad";"Übrige";0;2
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Vorderrad";"Automatisches";69;77
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Vorderrad";"Manuelles";553;485
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Vorderrad";"Übrige";1;1
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Automatisches";47;46
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Manuelles";444;348
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Übrige";8;11
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Automatisches";3;7
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Manuelles";164;153
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Übrige";0;1
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Automatisches";3;5
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Manuelles";16;15
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Übrige";1;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Automatisches";12;12
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Manuelles";207;232
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Übrige";1;2
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Automatisches";4;3
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Manuelles";6;15
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Automatisches";3;3
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Manuelles";14;17
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Übrige";0;1
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Automatisches";2;2
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Manuelles";13;8
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Übrige";0;1
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Automatisches";5;5
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Manuelles";2;5
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Automatisches";104;110
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Manuelles";1254;1423
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Übrige";23;30
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Hinterrad";"Automatisches";179;213
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Hinterrad";"Manuelles";301;323
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Hinterrad";"Übrige";8;10
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Allrad";"Automatisches";87;194
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Allrad";"Manuelles";366;406
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Allrad";"Übrige";0;1
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Vorderrad";"Automatisches";3500;3553
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Vorderrad";"Manuelles";21654;22925
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Vorderrad";"Übrige";229;311
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Hinterrad";"Automatisches";3053;3295
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Hinterrad";"Manuelles";2333;2458
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Hinterrad";"Übrige";32;42
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Allrad";"Automatisches";5987;6588
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Allrad";"Manuelles";4696;5283
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Allrad";"Übrige";11;22
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Vorderrad";"Automatisches";310;290
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Vorderrad";"Manuelles";775;814
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Vorderrad";"Übrige";1;1
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Hinterrad";"Automatisches";199;210
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Hinterrad";"Manuelles";122;116
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Hinterrad";"Übrige";4;10
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Allrad";"Automatisches";99;117
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Allrad";"Manuelles";194;202
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Allrad";"Übrige";1;1
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Vorderrad";"Automatisches";2076;2270
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Vorderrad";"Manuelles";6198;6724
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Vorderrad";"Übrige";9;13
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Hinterrad";"Automatisches";150;171
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Hinterrad";"Manuelles";71;62
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Hinterrad";"Übrige";3;2
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Allrad";"Automatisches";1258;1440
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Allrad";"Manuelles";1193;1250
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Allrad";"Übrige";3;7
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Vorderrad";"Automatisches";201;215
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Vorderrad";"Manuelles";700;762
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Hinterrad";"Automatisches";148;182
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Hinterrad";"Manuelles";85;134
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Hinterrad";"Übrige";2;3
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Allrad";"Automatisches";85;93
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Allrad";"Manuelles";106;108
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Vorderrad";"Automatisches";81;84
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Vorderrad";"Manuelles";987;1064
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Vorderrad";"Übrige";1;2
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Hinterrad";"Automatisches";41;48
