"Strassenfahrzeugbestand: Personenwagen ab 1990"

"Kanton";"Treibstoff";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Fribourg / Freiburg";"Andere";0;0;0;5;5;5;4;3;4;5;5;7;8;14;15;55;72;189;435;583;751;1003;1319;1689;2011;2348
"Solothurn";"Benzin";98258;103233;104434;102825;104354;107115;108702;109923;112493;115072;117307;119259;121064;121984;122073;122604;120000;119360;117844;116771;117586;117263;116951;115770;114693;113284
"Solothurn";"Diesel";1909;2050;2111;2165;2281;2407;2566;2723;2947;3323;3918;4832;5890;7362;8928;10686;12625;14816;16804;18821;21449;24285;27897;31211;34076;37192
"Solothurn";"Elektrisch";11;17;19;19;24;27;28;25;22;18;14;13;12;12;11;11;9;9;9;9;11;19;31;52;114;197
"Solothurn";"Andere";2;1;2;1;0;0;0;0;3;4;4;6;8;20;30;172;579;806;1284;639;818;967;1093;1289;1473;1712
"Basel-Stadt";"Benzin";62128;62806;62786;62327;62168;62011;61755;61184;61195;61555;61295;61309;60709;60479;59409;58447;56153;54348;53391;51227;51762;50696;49734;47669;46334;45285
"Basel-Stadt";"Diesel";1680;1661;1679;1713;1760;1833;1942;2026;2192;2399;2721;3328;3974;4918;5732;7708;8540;10112;11439;12547;13669;15081;16767;18124;19583;19225
"Basel-Stadt";"Elektrisch";22;37;43;38;36;29;34;28;27;26;26;28;23;19;17;14;10;10;10;8;8;18;24;42;61;86
"Basel-Stadt";"Andere";2;3;2;1;3;3;4;3;3;2;2;10;18;39;54;110;109;230;479;557;638;728;831;970;1050;1145
"Basel-Landschaft";"Benzin";96406;97632;98012;99046;107732;109631;110832;112955;115223;117931;120134;121730;122769;123285;122876;121497;120954;118097;117274;120843;114387;113189;111653;108971;107439;105853
"Basel-Landschaft";"Diesel";1985;2043;2061;2100;2401;2494;2672;2823;3124;3559;4187;5272;6678;8189;9863;11544;13502;15722;18400;21316;22704;25370;28289;31363;33994;36674
"Basel-Landschaft";"Elektrisch";33;54;59;61;55;46;37;40;46;43;38;31;29;29;30;24;23;24;23;24;26;31;49;78;133;235
"Basel-Landschaft";"Andere";1;1;1;2;0;1;1;1;2;3;8;10;9;20;35;125;214;551;720;909;1078;1292;1547;1810;2030;2241
"Schaffhausen";"Benzin";29796;30897;31050;31141;31557;31798;32788;32680;33265;33842;34390;34962;35419;35677;35644;35429;33942;33957;34014;32902;33359;33574;33355;32907;32621;32134
"Schaffhausen";"Diesel";919;935;940;955;1009;1023;1060;1089;1188;1298;1493;1663;2040;2522;3039;3626;4169;4831;5420;5871;6594;7457;8518;9580;10546;11446
"Schaffhausen";"Elektrisch";1;3;4;7;7;6;7;7;7;6;5;5;4;3;3;2;1;2;2;2;2;6;16;26;49;65
"Schaffhausen";"Andere";0;0;0;0;1;2;1;0;0;0;0;30;52;40;43;102;107;167;275;303;356;400;445;511;569;651
"Appenzell Ausserrhoden";"Benzin";20903;21825;21912;22329;22725;22790;20744;23293;23322;24131;24356;24422;24532;24549;24636;24384;23438;23378;23542;24006;22488;22633;22537;22336;22293;22172
"Appenzell Ausserrhoden";"Diesel";451;473;500;525;576;615;592;691;754;814;986;1238;1505;1848;2262;2661;3030;3506;4002;4610;4948;5566;6373;7094;7704;8333
"Appenzell Ausserrhoden";"Elektrisch";2;3;6;6;5;4;4;6;4;3;2;2;1;1;2;3;0;2;2;1;2;2;9;18;31;47
"Appenzell Ausserrhoden";"Andere";0;0;0;0;0;0;0;0;1;1;1;1;2;4;4;5;22;47;85;116;142;175;225;248;284;322
