"Kanton";"Karosserie";"Treibstoff";"Anzahl Sitzplätze";"Antrieb";"Getriebe";"1992";"1993"
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Automatisches";196;180
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Manuelles";1948;1790
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Automatisches";7;8
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Manuelles";244;248
"Zürich";"Limousine";"Benzin";"9 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Automatisches";5;4
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Manuelles";1;1
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Automatisches";24;26
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Manuelles";4;4
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Manuelles";3;6
"Zürich";"Limousine";"Diesel";"2 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Automatisches";12;11
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Manuelles";1;2
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Automatisches";14;13
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Manuelles";1;1
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Manuelles";1;1
"Zürich";"Limousine";"Diesel";"3 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Manuelles";32;22
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Hinterrad";"Automatisches";3;3
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Hinterrad";"Manuelles";4;5
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Allrad";"Manuelles";260;240
"Zürich";"Limousine";"Diesel";"4 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Vorderrad";"Automatisches";99;110
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Vorderrad";"Manuelles";3737;3735
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Hinterrad";"Automatisches";686;660
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Hinterrad";"Manuelles";1345;1238
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Allrad";"Automatisches";27;25
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Allrad";"Manuelles";566;581
"Zürich";"Limousine";"Diesel";"5 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Vorderrad";"Manuelles";23;29
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Hinterrad";"Automatisches";5;6
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Hinterrad";"Manuelles";35;37
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Allrad";"Manuelles";68;70
"Zürich";"Limousine";"Diesel";"6 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Vorderrad";"Manuelles";5;8
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Hinterrad";"Automatisches";0;1
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Hinterrad";"Manuelles";21;23
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Allrad";"Automatisches";1;1
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Allrad";"Manuelles";823;938
"Zürich";"Limousine";"Diesel";"7 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Vorderrad";"Manuelles";32;45
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Hinterrad";"Automatisches";10;9
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Hinterrad";"Manuelles";31;28
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Allrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Allrad";"Manuelles";11;17
"Zürich";"Limousine";"Diesel";"8 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Vorderrad";"Automatisches";0;0
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Vorderrad";"Manuelles";70;84
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Vorderrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Hinterrad";"Automatisches";1;1
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Hinterrad";"Manuelles";165;149
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Hinterrad";"Übrige";0;0
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Allrad";"Automatisches";2;2
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Allrad";"Manuelles";20;26
"Zürich";"Limousine";"Diesel";"9 Sitzplätze";"Allrad";"Übrige";0;0
"Zürich";"Limousine";"Elektrisch";"2 Sitzplätze";"Vorderrad";"Automatisches";60;59
"Zürich";"Limousine";"Elektrisch";"2 Sitzplätze";"Vorderrad";"Manuelles";33;30
"Zürich";"Limousine";"Elektrisch";"2 Sitzplätze";"Vorderrad";"Übrige";0;0
