total_hp_enr,total_am_enr,total_as_enr,total_tr_enr,total_black_enr,total_hisp_enr,total_white_enr
0.306376,1.576572,3.716690,3.864460,20.105697,30.481398,39.948807
0.357782,1.878354,0.357782,3.398927,51.431127,17.799642,24.776386
