INDEX,GEMEINDEN,KANTON
276,Vevey,VD
277,Yverdon,VD
278,Yverdon-les-Bains,VD
279,Ravoire,VS
280,Brig,VS
281,Conthey,VS
282,Corin-de-la-Crête,VS
283,Crans-Montana,VS
284,Martigny,VS
285,Montana,VS
286,Monthey,VS
287,Naters,VS
288,Saillon,VS
289,Sierre,VS
290,Sion,VS
291,Vais,VS
292,Visp,VS
293,Baar,ZG
294,Cham,ZG
295,Neuägeri,ZG
296,Neuheim,ZG
297,Oberwil bei Zug,ZG
298,Rotkreuz,ZG
299,Steinhausen,ZG
300,Unterägeri,ZG
301,Zug,ZG
302,Ellikon an der Thur,ZH
303,Meilen,ZH
304,Oetwil am See,ZH
305,Adliswil,ZH
306,Bassersdorf,ZH
307,Bülach,ZH
308,Dietikon,ZH
309,Dübendorf,ZH
310,Embrach,ZH
311,Fehraltorf,ZH
312,Glattbrugg,ZH
313,Gossau,ZH
314,Greifensee,ZH
315,Hettlingen,ZH
316,Horgen,ZH
317,Kilchberg,ZH
318,Kilchberg (ZH),ZH
319,Kleinandelfingen,ZH
320,Lindau,ZH
321,Männedorf,ZH
322,Richterswil,ZH
323,Rickenbach,ZH
324,Schlieren,ZH
325,Urdorf,ZH
326,Uster,ZH
327,Wadenswil,ZH
328,Wald,ZH
329,Wallisellen,ZH
330,Wetzikon,ZH
331,Wetzikon (ZH),ZH
332,Winterthur,ZH
333,Zollikerberg,ZH
334,Zollikon,ZH
335,Zuerich,ZH
336,Zünch,ZH
337,Zürich,ZH
338,Baden-Dättwil,AG
339,Bretigny sur Morrens,VD
340,Bueron,LU
341,Cadra,TI
342,Crans,unbekannt
343,Domat Ems,GR
344,Epaliges,VD
345,Eschen,unbekannt
346,Fuerigen,NW
347,Hensau,AR
348,Klosters,GR
349,Küsnacht (ZH),ZH
350,llanz,GR
351,Mägden,AG
352,Marin-Epagnier,NE
353,Meynn,unbekannt
354,Mezzovico-Vira,TI
355,Murallo,TI
356,Obemet,SH
357,Pambio-Noranco,TI
358,Payeme,VD
359,Riva San Vitale,TI
360,"Rossenges,",VD
361,Roveredo (GR),GR
362,Saint-Légier-La Chiésaz,VD
363,Sainte-Croix,VD
364,Samen,TG
365,Schaan,SG
366,Schatthausen,SH
367,Schmenkon,SG
368,Solothum,SO
369,St-lmier,JU
370,St. Maurice,VS
371,St.-Legier,VD
372,Uettlingen,AG
373,Urtenen-Schönbühl,BE
374,Wangen-Brüttisellen,ZH
