Name,book,aggressions,paragraphs,mentions,agg.per.mention,mentions.per.p,agg.weighted
Peeves,The Prisoner of Azkaban,0,4092,18,0.0,0.0043988269794721395,0.0
Peeves,The Sorcerer's Stone,0,3015,31,0.0,0.0102819237147595,0.0
Percy Weasley,The Chamber of Secrets,0,3373,68,0.0,0.0201600948710347,0.0
Percy Weasley,The Deathly Hallows,2,6861,29,0.0689655172413793,0.00422678909779915,473.17241379310303
Percy Weasley,The Goblet of Fire,0,6803,107,0.0,0.0157283551374394,0.0
Percy Weasley,The Half-Blood Prince,0,6654,18,0.0,0.00270513976555455,0.0
Percy Weasley,The Order of the Phoenix,0,9275,55,0.0,0.0059299191374663105,0.0
Percy Weasley,The Prisoner of Azkaban,0,4092,63,0.0,0.0153958944281525,0.0
Percy Weasley,The Sorcerer's Stone,0,3015,37,0.0,0.0122719734660033,0.0
Peter Pettigrew,The Deathly Hallows,2,6861,11,0.18181818181818202,0.0016032648301996801,1247.45454545455
Peter Pettigrew,The Prisoner of Azkaban,3,4092,96,0.03125,0.0234604105571848,127.875
Quirinus Quirrell,The Sorcerer's Stone,5,3015,85,0.0588235294117647,0.0281923714759536,177.35294117647098
Remus Lupin,The Deathly Hallows,2,6861,168,0.0119047619047619,0.0244862264975951,81.6785714285714
Remus Lupin,The Half-Blood Prince,0,6654,67,0.0,0.0100691313495642,0.0
Remus Lupin,The Order of the Phoenix,1,9275,160,0.00625,0.0172506738544474,57.96875
Remus Lupin,The Prisoner of Azkaban,7,4092,385,0.0181818181818182,0.0940860215053763,74.4
Ron Wealsey,The Chamber of Secrets,1,3373,729,0.00137174211248285,0.21612807589682798,4.62688614540466
Ron Wealsey,The Deathly Hallows,16,6861,1303,0.012279355333844999,0.18991400670456196,84.2486569455104
Ron Wealsey,The Goblet of Fire,3,6803,1193,0.0025146689019279102,0.175363810083787,17.1072925398156
Ron Wealsey,The Half-Blood Prince,3,6654,974,0.00308008213552361,0.146378118425008,20.4948665297741
Ron Wealsey,The Order of the Phoenix,8,9275,1526,0.00524246395806029,0.164528301886792,48.623853211009205
Ron Wealsey,The Prisoner of Azkaban,2,4092,866,0.0023094688221709,0.21163245356793697,9.45034642032333
Ron Wealsey,The Sorcerer's Stone,2,3015,513,0.00389863547758285,0.17014925373134301,11.7543859649123
Rubeus Hagrid,The Chamber of Secrets,1,3373,136,0.007352941176470591,0.0403201897420694,24.8014705882353
Rubeus Hagrid,The Deathly Hallows,1,6861,147,0.00680272108843537,0.0214254481853957,46.6734693877551
Rubeus Hagrid,The Goblet of Fire,0,6803,313,0.0,0.0460091136263413,0.0
Rubeus Hagrid,The Half-Blood Prince,0,6654,197,0.0,0.0296062518785693,0.0
Rubeus Hagrid,The Order of the Phoenix,0,9275,416,0.0,0.0448517520215633,0.0
Rubeus Hagrid,The Prisoner of Azkaban,0,4092,225,0.0,0.0549853372434018,0.0
Rubeus Hagrid,The Sorcerer's Stone,1,3015,329,0.00303951367781155,0.10912106135986699,9.164133738601821
Seamus Finnagin,The Chamber of Secrets,0,3373,17,0.0,0.0050400237177586705,0.0
Seamus Finnagin,The Deathly Hallows,1,6861,11,0.0909090909090909,0.0016032648301996801,623.727272727273
Seamus Finnagin,The Goblet of Fire,0,6803,26,0.0,0.0038218433044245204,0.0
Seamus Finnagin,The Half-Blood Prince,0,6654,17,0.0,0.0025548542230237397,0.0
Seamus Finnagin,The Order of the Phoenix,0,9275,55,0.0,0.0059299191374663105,0.0
Seamus Finnagin,The Prisoner of Azkaban,1,4092,18,0.0555555555555556,0.0043988269794721395,227.333333333333
Seamus Finnagin,The Sorcerer's Stone,0,3015,17,0.0,0.0056384742951907105,0.0
Severus Snape,The Chamber of Secrets,2,3373,77,0.025974025974026,0.0228283427216128,87.61038961038959
Severus Snape,The Deathly Hallows,5,6861,285,0.0175438596491228,0.0415391342369917,120.368421052632
Severus Snape,The Goblet of Fire,0,6803,205,0.0,0.0301337645156549,0.0
Severus Snape,The Half-Blood Prince,12,6654,265,0.0452830188679245,0.0398256687706643,301.31320754717
Severus Snape,The Order of the Phoenix,8,9275,326,0.0245398773006135,0.0351482479784367,227.60736196319002
Severus Snape,The Prisoner of Azkaban,1,4092,234,0.0042735042735042705,0.0571847507331378,17.4871794871795
Severus Snape,The Sorcerer's Stone,0,3015,148,0.0,0.0490878938640133,0.0
Sirius Black,The Deathly Hallows,0,6861,56,0.0,0.00816207549919837,0.0
Sirius Black,The Goblet of Fire,0,6803,181,0.0,0.0266059091577245,0.0
Sirius Black,The Half-Blood Prince,1,6654,45,0.0222222222222222,0.00676284941388638,147.86666666666702
Sirius Black,The Order of the Phoenix,2,9275,552,0.0036231884057971,0.0595148247978437,33.6050724637681
Sirius Black,The Prisoner of Azkaban,6,4092,122,0.0491803278688525,0.0298142717497556,201.245901639344
Sybill Trelawney,The Goblet of Fire,0,6803,32,0.0,0.0047038071439071,0.0
Sybill Trelawney,The Half-Blood Prince,0,6654,38,0.0,0.00571085061617072,0.0
Sybill Trelawney,The Order of the Phoenix,0,9275,82,0.0,0.00884097035040431,0.0
Sybill Trelawney,The Prisoner of Azkaban,0,4092,80,0.0,0.0195503421309873,0.0
Thorfinn Rowle,The Deathly Hallows,1,6861,23,0.0434782608695652,0.00335228100859933,298.304347826087
Thorfinn Rowle,The Goblet of Fire,0,6803,32,0.0,0.0047038071439071,0.0
Thorfinn Rowle,The Order of the Phoenix,0,9275,26,0.0,0.0028032345013477102,0.0
Thorfinn Rowle,The Prisoner of Azkaban,0,4092,11,0.0,0.00268817204301075,0.0
Viktor Krum,The Deathly Hallows,0,6861,34,0.0,0.00495554583879901,0.0
Viktor Krum,The Goblet of Fire,2,6803,189,0.0105820105820106,0.0277818609437013,71.989417989418
Vincent Crabbe ,The Chamber of Secrets,0,3373,30,0.0,0.00889415950192707,0.0
Vincent Crabbe ,The Deathly Hallows,6,6861,27,0.222222222222222,0.00393528640139921,1524.66666666667
Vincent Crabbe ,The Goblet of Fire,0,6803,35,0.0,0.00514478906364839,0.0
Vincent Crabbe ,The Half-Blood Prince,0,6654,27,0.0,0.00405770964833183,0.0
Vincent Crabbe ,The Order of the Phoenix,0,9275,38,0.0,0.00409703504043127,0.0
Vincent Crabbe ,The Prisoner of Azkaban,0,4092,32,0.0,0.00782013685239492,0.0
Vincent Crabbe ,The Sorcerer's Stone,0,3015,21,0.0,0.00696517412935323,0.0
Voldemort,The Chamber of Secrets,1,3373,31,0.032258064516129,0.009190631485324641,108.806451612903
Voldemort,The Deathly Hallows,31,6861,406,0.0763546798029557,0.0591750473691882,523.869458128079
Voldemort,The Goblet of Fire,11,6803,197,0.0558375634517767,0.0289578127296781,379.862944162437
Voldemort,The Half-Blood Prince,15,6654,218,0.0688073394495413,0.0327622482717163,457.844036697248
Voldemort,The Order of the Phoenix,3,9275,206,0.0145631067961165,0.0222102425876011,135.072815533981
Voldemort,The Prisoner of Azkaban,0,4092,40,0.0,0.00977517106549365,0.0
Voldemort,The Sorcerer's Stone,0,3015,32,0.0,0.0106135986733002,0.0
Whomping Willow,The Prisoner of Azkaban,1,4092,24,0.0416666666666667,0.005865102639296189,170.5
Yaxley,The Deathly Hallows,2,6861,52,0.0384615384615385,0.00757907010639848,263.88461538461496
