time,temp,wind,description,wind (average)
2016-09-02 03:00:00,15,0,fair weather,0
2016-09-02 06:00:00,14,5,clear sky,0
2016-09-02 09:00:00,15,5,sunny,0
2016-09-02 12:00:00,21,5,sunny,0
2016-09-02 15:00:00,25,5,partly cloudy,0
2016-09-02 18:00:00,25,5,partly cloudy,0
2016-09-02 21:00:00,20,0,partly cloudy,0
2016-09-02 23:59:00,17,5,partly cloudy,0
2016-09-03 03:00:00,15,5,clear sky,0
2016-09-03 06:00:00,14,5,clear sky,0
2016-09-03 09:00:00,15,5,sunny,0
2016-09-03 12:00:00,21,5,sunny,0
2016-09-03 15:00:00,26,5,partly cloudy,0
2016-09-03 18:00:00,25,5,partly cloudy,0
2016-09-03 21:00:00,21,0,fair weather,0
2016-09-03 23:59:00,18,0,few clouds,0
2016-09-04 03:00:00,16,5,partly cloudy,0
2016-09-04 06:00:00,15,5,few clouds,<1
2016-09-04 09:00:00,17,0,sunny with some clouds,<1
2016-09-04 12:00:00,22,5,few showers possible,0 - 1
2016-09-04 15:00:00,23,5,showers,1 - 2
2016-09-04 18:00:00,23,5,light showers,<1
2016-09-04 21:00:00,20,5,few showers possible,0 - 1
2016-09-04 23:59:00,17,5,few showers possible,0 - 1
2016-09-05 03:00:00,14,5,"cloudy, rain",1 - 2
2016-09-05 06:00:00,14,5,light showers,<1
2016-09-05 09:00:00,14,5,partly cloudy,<1
2016-09-05 12:00:00,15,15,partly cloudy,<1
2016-09-05 15:00:00,17,25,partly cloudy,<1
2016-09-05 18:00:00,18,15,partly cloudy,<1
2016-09-05 21:00:00,16,5,partly cloudy,<1
2016-09-05 23:59:00,13,5,light showers,<1
