,1ère boucle,2ème boucle,3ème boucle,nom,temps net
63,"     7.48,3 ","     8.32,8 ","     8.20,0 ",Villafuerte Raul,"     24.36,4 "
64,"     8.04,9 ","     8.35,0 ","     8.12,7 ",Mclaren Alain,"     24.48,0 "
65,"     7.50,2 ","     8.35,9 ","     8.32,1 ",Trabelsi Thomas,"     24.53,0 "
66,"     7.58,6 ","     8.38,6 ","     8.21,2 ",Schenevey Gilles,"     24.53,6 "
67,"     8.00,3 ","     8.47,9 ","     8.14,0 ",Itim Simon,"     24.57,3 "
68,"     7.45,5 ","     8.55,8 ","     8.22,8 ",Wyss Gregory,"     25.00,1 "
69,"     7.57,8 ","     8.47,0 ","     8.24,4 ",Girod Christophe,"     25.04,9 "
70,"     7.57,7 ","     8.43,4 ","     8.29,5 ",Zanarelli Adrien,"     25.02,3 "
71,"     7.58,6 ","     8.51,5 ","     8.32,6 ",Dubreuil Xavier,"     25.17,6 "
72,"     8.15,4 ","     8.40,6 ","     8.27,7 ",Matteazzi Daniel,"     25.18,0 "
73,"     8.08,9 ","     8.49,0 ","     8.26,6 ",Krizan Alexandre,"     25.20,3 "
74,"     8.05,0 ","     8.52,0 ","     8.27,9 ",Place Nicolas,"     25.20,0 "
75,"     7.58,8 ","     8.48,9 ","     8.37,8 ",Hallouin Christophe,"     25.21,1 "
76,"     8.09,6 ","     8.47,6 ","     8.28,6 ",Vuillet Nicolas,"     25.21,6 "
77,"     8.10,1 ","     8.49,1 ","     8.27,6 ",Dutoit Thierry,"     25.20,8 "
78,"     8.02,0 ","     8.55,0 ","     8.31,1 ",Pivot Vincent,"     25.23,0 "
79,"     8.08,9 ","     8.47,3 ","     8.33,7 ",Torello Viera Carlo,"     25.22,3 "
80,"     8.22,4 ","     8.52,1 ","     8.22,5 ",Fayet Claude,"     25.31,9 "
81,"     8.17,4 ","     8.52,2 ","     8.27,9 ",Théraulaz Didier,"     25.33,6 "
82,"     8.21,7 ","     8.49,2 ","     8.27,6 ",Matos Jose,"     25.34,0 "
83,"     8.14,2 ","     8.51,3 ","     8.33,5 ",Dard Philippe,"     25.35,6 "
84,"     8.21,3 ","     8.44,7 ","     8.33,6 ",Dumauthioz Eric,"     25.33,9 "
85,"     8.16,3 ","     8.49,3 ","     8.34,6 ",Zampieri Lucas,"     25.35,8 "
86,"     8.32,8 ","     8.43,5 ","     8.25,9 ",Muller Léonard,"     25.37,3 "
87,"     8.06,2 ","     8.51,0 ","     8.45,7 ",Barbour Julian,"     25.37,5 "
88,"     8.22,3 ","     8.49,3 ","     8.31,8 ",Chouibani Mohamed,"     25.38,5 "
