,nom,temps net
164,Andrey Julien,"26.28,6"
165,Leuliet Frederic,"26.30,5"
166,Schneider Vincent,"26.30,9"
167,Sallet Alain,----
168,Le Guellec Ludovic,"26.35,9"
169,Ackermann Nicolas,"26.33,1"
170,Ferrer Gustavo,"26.36,5"
171,Alig Jacobson Danny,"26.38,2"
172,Wagner-Meige Udo,"26.34,9"
173,Desfonds Patrick,"26.39,9"
174,Bruegger Vincent,"26.42,3"
175,Martin Siro,"26.43,2"
176,Amoos Patrick,"26.43,4"
177,Duport Pascal,"26.42,0"
178,Bize Nicolas,"26.44,0"
179,Blanc Christian,"26.45,0"
180,Dechevrens Alain,"26.45,4"
181,Muller Valentin,"26.49,7"
182,Frauenfelder Raoul,"26.51,5"
183,Waegeli Olivier,"26.50,7"
184,Betrisey Mathias,"26.52,1"
185,Cornuz Jerome,"26.49,7"
186,Lyon Stephane,"26.53,9"
187,Baudet Loic,"26.52,8"
188,Sardinha Alberto,"26.52,1"
189,Gergaud Yves,"26.46,9"
190,Wilhelm Christophe,"26.51,6"
191,Cornet Herve,"26.52,9"
192,Auberson Jeremyah,"26.49,9"
193,Theraulaz Didier,"26.56,3"
194,Dunkel Olaf,"26.56,4"
195,Walker Justin,"27.00,3"
196,Dixmerias Olivier,"27.03,6"
197,Marti Nicolas,"27.02,3"
198,Goux Philippe,"27.03,9"
199,Ali Hassan Abdel Hafize,"26.59,0"
200,Duplant Thierry,"27.02,9"
201,Rondags Daniel,"27.05,5"
202,Meyfarth Lorcan,"27.06,3"
203,Bugnon Dominique,"27.03,2"
204,Grieb Gregory,"27.07,2"
205,Rigolet Marc,"27.03,0"
206,Munger Cedric,"27.07,5"
207,Kolly Christophe,"27.09,1"
208,Desgeorges Fabrice,"27.04,4"
209,Hazeghi Cyrus,"27.08,5"
210,Maret Edouard,"27.08,1"
211,Zullig Jan,"27.09,3"
212,Ancay Emmanuel,"27.13,8"
213,Bertuchoz Urbain,"27.14,3"
214,Monnard Philippe,"27.14,0"
215,Cruz Carlos,"27.18,1"
216,Gagneret Yannick,"27.17,7"
217,Penzo Claudio,"27.22,1"
218,Hairer Daniel,"27.21,7"
219,Gaille Laurent,"27.20,9"
220,Detraz Eric,"27.20,6"
221,Mandallaz Luc,"27.19,7"
222,Gelmini Olivier,"27.21,9"
223,Luyet Yves,"27.26,0"
224,Lovis Bernard,"27.23,3"
225,Wehrle-Haller Bernhard,"27.18,4"
226,Branchereau Frederic,"27.19,0"
227,Mugnier Xavier,"27.23,1"
228,Glaus Rene,"27.24,7"
229,Gumy Laurent,"27.19,8"
230,Jenny Christian,"27.26,8"
231,Hirtz Christian,"27.25,3"
232,Punzi Ludovic,"27.21,4"
233,Trezzini Ricco,"27.28,7"
234,Paredi Andreas,"27.22,9"
235,Pereira Ricardo,"27.21,8"
236,Schlickelmann Detlef,"27.29,4"
237,Yon Philippe,"27.28,6"
238,Campolini Christophe,"27.25,0"
239,Gaillard Frederic,"27.30,9"
240,Perreard Xavier,----
241,Meroz Christophe,"27.27,7"
242,Russo Simon,"27.35,6"
243,Ortelli Thierry,"27.35,5"
244,Nisbet David,"27.35,3"
245,Fabre Jean-Luc,"27.36,3"
246,Daudin Benoit,"27.37,3"
247,De Vries Reilingh Daniel,"27.37,2"
248,Perrillat Olivier,"27.39,6"
249,Longchamp Bertrand,"27.40,4"
250,Dutremee Pascal,"27.41,9"
251,Kuepfer Thomas,"27.45,7"
252,Berset Stephane,"27.46,0"
253,Maestre Juan,"27.44,1"
254,Roche Jean-Louis,"27.47,4"
255,Ackermann Louis,"27.46,4"
256,Stocky David,"27.50,4"
257,Luisier Robin,"27.49,6"
258,Aires Marco,"27.50,3"
259,Meunier Jean-Rene,"27.47,5"
260,Gigandet Sylvain,"27.50,4"
261,Guijarro Manuel,"27.56,6"
262,Ladner Thomas,"27.49,4"
263,Etienne Pascal,"27.51,0"
264,Gerdil Guillaume,"27.49,0"
265,Gillieron Simon,"27.54,8"
266,Kretz Philippe,"27.54,7"
267,Gothuey Loic,"27.58,2"
268,Gevisier Pascal,"27.56,1"
269,Butty Stephane,"27.58,9"
270,Ornon Gregory,"28.00,2"
271,Baenziger Matthias,"27.57,2"
272,Thiebaud Maurice,"27.53,9"
273,Steffen Jean,"28.02,1"
274,Grenno Raphael,"28.02,3"
275,Junge Micki,"27.58,7"
276,Baudrand Yves,"28.03,0"
277,Gaillard Fabrice,"28.04,2"
278,Zaugg Andy,"28.00,5"
279,Huber Matthias,"28.04,7"
280,Guex Jonas,"28.11,2"
281,Droz Frederic,"28.04,3"
282,Marazita Pino,"28.07,1"
283,Fischer Georg,"28.05,0"
284,Frey Max-Andre,"28.06,3"
285,Laporte Christophe,"28.05,9"
286,Marchand Jerome,"28.13,7"
287,Gounand Patrick,"28.12,9"
288,Lueke Michael,"28.09,1"
289,Battiaz Claude-Alain,"28.11,9"
290,Wyss Alain,"28.13,9"
291,Nussbaum Jacques,"28.08,6"
292,Bozzini Davide,"28.17,8"
293,Suter David,"28.12,4"
294,Thomi Andre,"28.14,5"
295,Corbaz Alexandre,"28.22,5"
296,Petite Xavier,"28.21,3"
297,Hunziker Pierre,"28.23,4"
298,Lopez David,"28.19,5"
299,Favre-Bonte Patrick,"28.21,5"
300,Mino Pascal,"28.20,6"
301,Harden Bernd,"28.20,4"
302,Gori Francois,"28.21,4"
303,Famchon Franck,"28.22,7"
304,Fernier Pascal,"28.23,8"
305,Gruemmer Holger,"28.27,0"
306,Marq Jean-Baptiste,"28.22,8"
307,Pagnier Robert,"28.27,9"
308,De La Grandville Luc,"28.26,8"
309,Geinoz Nicolas,"28.26,3"
310,Gertsch Silvain,----
311,Cordonier Noel,"28.27,3"
312,Cingria Jean,"28.29,4"
313,Stanning Michael,"28.32,8"
314,Dumalle Florian,"28.29,6"
315,Mallon Timothy,"28.32,6"
316,Recchia Giuseppe,"28.34,9"
317,Ruche Christophe,"28.33,8"
318,Ngamije Laurent,"28.29,9"
319,Vonlanthen Sebastien,"28.33,6"
320,Gillaux Jacques,"28.32,0"
321,Blanchard Herve,"28.32,9"
322,Chollet Laurent,"28.32,6"
323,Testud Franck,"28.41,4"
324,Nicod Christophe,"28.35,2"
325,Gay Laurent,"28.40,5"
326,Fleurence Pascal,"28.40,5"
327,Mauron Gerard,"28.39,1"
328,Lanzillotta Agostino,"28.41,1"
329,Boschung Philippe,"28.41,7"
330,Matthey Yan,"28.37,2"
331,Serena Franco,"28.38,2"
332,Holzer David,"28.41,3"
333,Widmer Bernard,"28.39,9"
334,Ziogas Nicolas,"28.47,1"
335,Papaux Pierre,"28.43,4"
336,Mauron Vincent,"28.43,5"
337,Temporin Paolo,"28.46,8"
338,Dufournet Marc,"28.46,3"
339,Hotham Nicholas,"28.51,0"
340,Aletru Aurelien,"28.45,0"
341,Navarro Charles,"28.44,9"
342,Piguet Laurent,"28.51,3"
343,Mercier Philippe,"28.45,6"
344,Folly Olivier,"28.46,4"
345,Gilliand Patrick,"28.53,1"
346,Maitre Arnaud,"28.47,1"
347,Favre Guy,"28.47,3"
348,Sintes Marc,"28.47,4"
349,Micheli Jerome,"28.51,1"
350,Demont Francois-Xavier,"28.48,3"
351,Kneubuhler Gilles,"28.52,5"
352,Panchaud Christophe,"28.53,0"
353,Doninelli Sandro,"28.56,5"
354,Salaun Bastien,"28.52,7"
355,Prevel Michel,"28.57,2"
356,Blaser Bernard,"28.58,9"
357,Gougeon Cyrille,"28.59,1"
358,Kayser Bengt,"29.03,0"
359,Stoeri Christophe,"29.03,3"
360,Velletri Giuseppe,----
361,Helbling Serge,"29.00,8"
362,Lamard David,"29.04,1"
363,Bosson Ulrick,"29.00,4"
364,Mirkovic Radovan,"29.07,3"
365,Moser Christophe,"28.54,2"
366,Cantivalli Antonio,"29.07,6"
367,Beney Raymond,"29.06,2"
368,Grand Didier,"29.03,7"
369,Vonlanthen Gilbert,"29.02,8"
370,Payot Thomas,"29.05,4"
371,Salamolard Antoine,"29.02,3"
372,Fragniere Benoit,"29.04,0"
373,Maring Philippe,"29.12,1"
374,Tessitore Francois,"29.13,3"
375,Widmer Andreas,"29.13,3"
376,Peillex Michel,"29.11,7"
377,Boskin Boris,"29.08,8"
378,Martin Bruno,"29.12,1"
379,Lockhart Nicolas,"29.09,5"
380,Molineaux Benoit,"29.11,9"
381,Wallerand Olivier,"29.15,9"
382,De Pascali Fernando,"29.13,7"
383,Lenoir Pierre-Henri,"29.10,1"
384,Fontaine Yoland,"29.18,3"
385,Romo Jose-Manuel,"29.14,4"
386,Decurnex Christian,"29.17,5"
387,Perrier Bruno,"29.15,8"
388,Dorthe Dominique,"29.19,2"
389,Poirier Jocelyn,"29.13,2"
390,Buffet Stanislas,"29.15,7"
391,Luebbe Jann,"29.24,0"
392,Mauron Yvan,"29.22,5"
393,Uldry Jean-Daniel,"29.22,1"
394,Tuerler Marc,"29.18,4"
