,1ère boucle,2ème boucle,3ème boucle,nom,temps net
0,"     7.07,5 ","     6.59,1 ","     6.48,5 ",Kipyatich Abraham,"     20.51,9 "
1,"     7.08,2 ","     6.58,6 ","     7.04,6 ",Ereng Patrick,"     21.08,1 "
2,"     7.08,2 ","     7.04,5 ","     7.09,1 ",Workeneh Ahunin Addisu,"     21.19,0 "
3,"     7.08,4 ","     7.10,9 ","     7.07,0 ",Nkunzimana Onesphore,"     21.22,6 "
4,"     7.08,4 ","     7.09,4 ","     7.11,2 ",Tesfay Simon,"     21.25,3 "
5,"     7.08,9 ","     7.01,3 ","     7.21,7 ",Niyonkumu Abraham,"     21.28,7 "
6,"     7.08,0 ","     7.11,3 ","     7.17,1 ",Sefu Amuma Terefe,"     21.32,8 "
7,"     7.07,9 ","     7.08,2 ","     7.24,2 ",Matheka Bernard,"     21.36,9 "
8,"     7.08,9 ","     7.20,4 ","     7.14,7 ",Tolossa Chengere,"     21.40,4 "
9,"     7.08,2 ","     7.20,3 ","     7.20,6 ",Pankratau Maxime,"     21.45,3 "
10,"     7.15,3 ","     7.30,1 ","     7.12,0 ",Zhukov Egor,"     21.53,6 "
11,"     7.08,9 ","     7.36,7 ","     7.17,6 ",Khelifi Mehdi,"     21.59,2 "
12,"     7.08,5 ","     7.27,6 ","     7.31,3 ",Nesero Kadi,"     22.04,9 "
13,"     7.08,5 ","     7.31,0 ","     7.36,0 ",Mahmoudi Abdelkader,"     22.11,4 "
14,"     7.10,4 ","     7.41,3 ","     7.31,5 ",Oliveira Vitor,"     22.19,9 "
15,"     7.15,5 ","     7.43,4 ","     7.24,9 ",Allueva Miguel,"     22.20,3 "
16,"     7.13,7 ","     7.45,9 ","     7.26,6 ",Bakhiri Hamza,"     22.22,8 "
17,"     7.17,1 ","     7.43,4 ","     7.27,1 ",von Wartburg Geronimo,"     22.23,9 "
18,"     7.08,3 ","     7.43,3 ","     7.37,2 ",Solomon Tesfamariam,"     22.26,2 "
19,"     7.14,8 ","     7.49,0 ","     7.27,8 ",Adam Guillaume,"     22.27,8 "
20,"     7.12,6 ","     7.47,1 ","     7.32,3 ",El Madi El Yazid,"     22.28,9 "
21,"     7.14,6 ","     7.50,0 ","     7.29,0 ",Roch Alexandre,"     22.30,2 "
22,"     7.16,5 ","     7.47,5 ","     7.31,5 ",Albuquerque Bruno,"     22.31,5 "
23,"     7.16,8 ","     7.47,6 ","     7.32,1 ",Weerts Jean-Pierre,"     22.33,3 "
24,"     7.16,2 ","     7.47,6 ","     7.33,8 ",Masciotra Julien,"     22.33,3 "
25,"     7.07,8 ","     7.52,2 ","     7.46,4 ",Dias Sergio,"     22.43,5 "
26,"     7.18,8 ","     7.49,3 ","     7.41,2 ",Huwiler Thomas,"     22.45,2 "
27,"     7.15,9 ","     7.54,1 ","     7.41,3 ",Kiday Abdou,"     22.48,0 "
28,"     7.16,9 ","     7.51,3 ","     7.44,1 ",Vieira Joào,"     22.48,1 "
29,"     7.12,9 ","     8.03,3 ","     7.45,0 ",Schaffner Jérôme,"     22.57,2 "
30,"     7.19,4 ","     7.57,8 ","     7.44,7 ",Goineau Volker,"     22.58,0 "
31,"     7.14,2 ","     7.59,7 ","     7.57,5 ",Jodidio Alexandre,"     23.08,1 "
