,1ère boucle,2ème boucle,3ème boucle,nom,temps net
0,"     6.51,9 ","     7.02,2 ","     6.57,4 ",Kendagor Jacob,"     20.51,1 "
1,"     6.52,9 ","     7.15,3 ","     6.44,6 ",Nizigiyimana Ezechiel,"     20.51,3 "
2,"     6.53,8 ","     7.14,5 ","     6.51,0 ",Abraham Tadesse,"     20.59,0 "
3,"     6.52,1 ","     7.11,6 ","     6.57,3 ",Ereng Patrick,"     21.00,0 "
4,"     6.55,0 ","     7.09,1 ","     7.01,8 ",Matheka Bernard,"     21.03,4 "
5,"     6.53,2 ","     7.15,0 ","     6.59,8 ",Cheruyiot Benjamin,"     21.07,2 "
6,"     6.56,1 ","     7.14,5 ","     7.10,3 ",Tolossa Chengere,"     21.20,2 "
7,"     6.56,9 ","     7.21,9 ","     7.02,6 ",Nduwimana Willy,"     21.19,7 "
8,"     6.58,0 ","     7.16,8 ","     7.06,8 ",Albuquerque Bruno,"     21.20,9 "
9,"     6.57,8 ","     7.18,5 ","     7.07,3 ",Tendoi Abraham,"     21.23,2 "
10,"     6.53,7 ","     7.20,1 ","     7.10,5 ",N'Demi Abel,"     21.22,4 "
11,"     6.56,1 ","     7.17,5 ","     7.11,7 ",Damiao Manuel,"     21.24,9 "
12,"     6.57,6 ","     7.25,6 ","     7.14,9 ",Nkunzimana Wnesphore,"     21.37,0 "
13,"     7.00,8 ","     7.27,7 ","     7.10,9 ",Khelifi Mehdi,"     21.38,4 "
14,"     7.05,8 ","     7.28,3 ","     7.05,7 ",Röthlin Viktor,"     21.38,1 "
15,"     7.02,1 ","     7.26,5 ","     7.11,8 ",Matviichuk Oleksandr,"     21.39,3 "
16,"     6.59,2 ","     7.28,9 ","     7.14,0 ",Solomon Tesfamariam,"     21.41,5 "
17,"     7.00,5 ","     7.28,0 ","     7.28,3 ",Bandi Philipp,"     21.55,6 "
18,"     7.00,3 ","     7.33,9 ","     7.27,8 ",Berhane Ugubit,"     22.01,1 "
19,"     7.07,5 ","     7.33,5 ","     7.28,1 ",Wodajo Alemayehu,"     22.07,4 "
20,"     7.09,7 ","     7.38,7 ","     7.23,0 ",Oumoussa Zouhair,"     22.09,0 "
21,"     7.01,9 ","     7.37,8 ","     7.33,4 ",Abeba Tedy Mulugata,"     22.12,1 "
22,"     7.06,3 ","     7.44,8 ","     7.23,2 ",Pinto Luis,"     22.13,3 "
23,"     7.09,1 ","     7.39,1 ","     7.27,7 ",Nesero Kadi,"     22.13,8 "
24,"     7.04,4 ","     7.41,2 ","     7.40,1 ",Weerts Jean-Pierre,"     22.24,9 "
25,"     7.04,1 ","     7.47,1 ","     7.34,7 ",Roch Alexandre,"     22.24,9 "
