,1ère boucle,2ème boucle,3ème boucle,nom,temps net
0,"     6.45,4 ","     7.10,4 ","     7.00,5 ",Kipyatich Abraham,"     20.51,3 "
1,"     6.50,7 ","     7.12,0 ","     6.58,8 ",Abraham Tadesse,"     20.57,9 "
2,"     6.52,5 ","     7.13,8 ","     7.00,9 ",Daba Temesgen,"     21.03,4 "
3,"     6.50,8 ","     7.19,8 ","     7.07,8 ",Bekele Yohannis,"     21.14,0 "
4,"     6.46,1 ","     7.17,0 ","     7.17,6 ",Balda Kenifi Ifa,"     21.16,3 "
5,"     6.51,0 ","     7.25,0 ","     7.20,9 ",Matheka Bernard,"     21.31,9 "
6,"     6.59,4 ","     7.37,9 ","     7.10,3 ",Nizigiyimana Ezechiel,"     21.43,6 "
7,"     7.03,4 ","     7.38,9 ","     7.08,1 ",Cheruyiot Benjamin,"     21.46,3 "
8,"     7.01,2 ","     7.36,1 ","     7.13,8 ",Akhmadeev Rikas,"     21.46,8 "
9,"     7.03,6 ","     7.34,4 ","     7.16,4 ",Boulama Mohammed,"     21.50,6 "
10,"     7.00,7 ","     7.37,9 ","     7.19,1 ",Chengere Tolossa,"     21.53,9 "
11,"     7.01,0 ","     7.37,6 ","     7.21,7 ",Kosgey Chebii Daniel,"     21.55,9 "
12,"     7.07,9 ","     7.38,9 ","     7.14,9 ",Albuquerque Bruno,"     21.57,2 "
13,"     6.59,8 ","     7.37,9 ","     7.25,4 ",Ereng Patrick,"     21.59,2 "
14,"     7.03,0 ","     7.35,8 ","     7.24,5 ",Mayaud Denis,"     21.58,8 "
15,"     7.07,1 ","     7.39,9 ","     7.18,6 ",Oumoussa Zouhair,"     22.00,6 "
16,"     7.07,1 ","     7.36,6 ","     7.22,3 ",Kiptum Daniel,"     22.01,4 "
17,"     7.01,8 ","     7.40,8 ","     7.23,8 ",Nesero Kadi,"     22.01,9 "
18,"     6.52,6 ","     7.47,7 ","     7.36,7 ",Cantero Bryan,"     22.12,7 "
19,"     7.00,1 ","     7.47,4 ","     7.34,8 ",Nkunzimana Onesphore,"     22.18,0 "
20,"     7.07,0 ","     7.53,0 ","     7.25,6 ",Nduwimana Willy,"     22.21,5 "
21,"     7.19,4 ","     7.47,3 ","     7.23,3 ",Stützel Simon,"     22.25,3 "
22,"     7.14,1 ","     7.50,0 ","     7.28,2 ",Santos Hélder,"     22.27,3 "
23,"     7.14,0 ","     7.52,3 ","     7.28,1 ",Minyakov Andrey,"     22.29,7 "
24,"     7.03,3 ","     7.53,9 ","     7.38,2 ",Adam Guillaume,"     22.31,6 "
25,"     7.19,3 ","     7.47,9 ","     7.30,6 ",Huwiler Thomas,"     22.34,1 "
26,"     7.16,4 ","     7.53,0 ","     7.33,7 ",Solomon Tesfamariam,"     22.39,7 "
27,"     7.24,8 ","     7.58,1 ","     7.35,7 ",Khelifi Mehdi,"     22.54,6 "
28,"     7.16,4 ","     7.59,2 ","     7.45,0 ",Oliveira Victor,"     22.56,7 "
29,"     7.23,0 ","     8.06,4 ","     7.42,2 ",Weerts Jean-Pierre,"     23.07,3 "
30,"     7.07,8 ","     8.11,8 ","     7.52,8 ",Fikru Guta,"     23.08,5 "
31,"     7.22,4 ","     7.59,8 ","     7.51,6 ",Kuert Fabian,"     23.09,2 "
32,"     7.17,7 ","     8.17,3 ","     7.46,3 ",Mahmoudi Abdelkader,"     23.16,6 "
33,"     7.15,7 ","     8.16,4 ","     7.50,0 ",Lyon Julien,"     23.18,6 "
34,"     7.23,7 ","     8.10,2 ","     7.49,4 ",Hernandez Ilias,"     23.18,2 "
35,"     7.29,8 ","     8.10,8 ","     7.45,2 ",Masciotra Julien,"     23.21,4 "
36,"     7.30,0 ","     8.10,7 ","     7.47,4 ",Gillet Alain,"     23.23,2 "
37,"     7.30,3 ","     8.10,2 ","     7.58,2 ",Kiday Abdesalam,"     23.35,0 "
38,"     7.17,3 ","     8.02,3 ","     8.26,8 ",Safranov Andrey,"     23.42,5 "
39,"     7.41,3 ","     8.17,5 ","     7.48,6 ",Schaffner Jérôme,"     23.42,0 "
40,"     7.37,5 ","     8.22,2 ","     7.52,6 ",von Wartburg Geronimo,"     23.47,3 "
41,"     7.27,0 ","     8.19,3 ","     8.06,4 ",Leboeuf Francois,"     23.47,7 "
42,"     7.25,2 ","     8.22,0 ","     8.08,5 ",Jodidio Alexandre,"     23.50,9 "
43,"     7.44,5 ","     8.17,0 ","     7.57,6 ",Brunet Sullivan,"     23.53,7 "
44,"     7.43,4 ","     8.21,4 ","     8.01,9 ",Dejene Lidene,"     24.03,3 "
45,"     7.38,4 ","     8.23,1 ","     8.05,4 ",Baldini Eros,"     24.01,9 "
46,"     7.39,2 ","     8.22,7 ","     8.06,2 ",Holliger Benjamin,"     24.03,2 "
47,"     7.57,2 ","     8.24,1 ","     7.48,0 ",Mc Laren Alain,"     24.03,6 "
48,"     7.59,2 ","     8.22,3 ","     7.49,6 ",Waroquier Paul,"     24.05,0 "
49,"     7.57,9 ","     8.18,2 ","     7.56,8 ",Oliveira Antonio,"     24.07,4 "
50,"     7.36,9 ","     8.31,2 ","     8.07,7 ",Felfele Tesfay,"     24.11,3 "
51,"     7.38,4 ","     8.38,7 ","     8.00,8 ",Chihaoui Ridha,"     24.13,7 "
52,"     7.28,9 ","     8.33,7 ","     8.16,3 ",Imeri Gzim,"     24.14,7 "
53,"     7.45,0 ","     8.31,9 ","     8.05,5 ",Ghammit Abdelghani,"     24.17,8 "
54,"     7.52,7 ","     8.24,7 ","     8.06,3 ",Willems Clete,"     24.18,4 "
55,"     7.55,6 ","     8.27,0 ","     8.06,0 ",Hebda Phil,"     24.22,4 "
56,"     7.52,5 ","     8.23,2 ","     8.13,2 ",Itim Simon,"     24.23,2 "
57,"     7.53,0 ","     8.27,0 ","     8.11,3 ",Mathieu Lionel,"     24.24,9 "
58,"     7.38,9 ","     8.41,7 ","     8.13,3 ",Sagarminaga Basset Jeremy,"     24.28,4 "
59,"     7.57,5 ","     8.30,1 ","     8.07,4 ",Schumacher Christian,"     24.29,8 "
60,"     7.53,6 ","     8.32,4 ","     8.10,0 ",Fischer Michaël,"     24.29,6 "
61,"     7.50,5 ","     8.44,2 ","     8.01,4 ",Zerehannes Sium,"     24.31,7 "
62,"     7.50,3 ","     8.31,5 ","     8.17,0 ",Moulin Xavier,"     24.34,0 "
63,"     7.58,2 ","     8.25,5 ","     8.15,1 ",Tireford Sylvain,"     24.33,9 "
64,"     7.58,8 ","     8.37,3 ","     8.08,0 ",Graham-Brown Charlie,"     24.38,7 "
65,"     7.56,9 ","     8.35,6 ","     8.12,6 ",Dafflon Xavier,"     24.40,6 "
66,"     7.48,1 ","     8.37,7 ","     8.21,5 ",Mellet Jeremie,"     24.42,0 "
67,"     7.55,7 ","     8.32,3 ","     8.19,8 ",Leitào Miguel,"     24.42,1 "
68,"     7.39,4 ","     8.43,5 ","     8.26,2 ",Michaud Adrien,"     24.43,0 "
69,"     7.56,5 ","     8.39,0 ","     8.15,2 ",Wuarchoz Damien,"     24.45,0 "
70,"     7.58,2 ","     8.39,4 ","     8.16,7 ",Couto Nuno,"     24.48,6 "
71,"     7.54,8 ","     8.40,1 ","     8.21,7 ",Girod Christophe,"     24.51,5 "
72,"     7.44,5 ","     8.44,2 ","     8.29,5 ",Costoncelli Gabriele,"     24.53,4 "
73,"     8.02,4 ","     8.34,1 ","     8.24,1 ",Chabard Christophe,"     24.54,5 "
74,"     7.59,4 ","     8.44,0 ","     8.21,0 ",Fouquet Meddy,"     24.59,1 "
75,"     7.54,4 ","     8.42,8 ","     8.29,6 ",Saugy Sébastien,"     25.02,3 "
76,"     8.12,5 ","     8.39,2 ","     8.17,4 ",Baud Jérôme,"     25.03,3 "
77,"     7.56,4 ","     8.54,1 ","     8.19,8 ",Lötscher Dominik,"     25.05,1 "
78,"     8.19,4 ","     8.37,0 ","     8.14,1 ",Wolf Fabien,"     24.59,8 "
