P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
HD 52265 c,Jovian,non-habitable,111.28,8.04,0.21,1.72,3.72,527.1,540,554.1,23.9,59.9,0.316,0.32,HD 52265,Monoceros,G0 V,1.2,1.25,6159,2.017208,4.88,28,2,0,1.041,2.432,0.21,0,0
HD 59686 b,Jovian,non-habitable,1669.19,11.68,1.05,12.23,11.95,728.2,728.2,728.2,1746.9,303,0.911,0.91,HD 59686,Gemini,K2 III,1.1,11.62,5150,55.408405,,92,1,0,5.787,13.912,0.09,0,0
HD 60532 b,Jovian,non-habitable,2928.23,11.6,1.87,21.74,15.88,442.2,497.4,588.3,5486.5,201.83,0.77,0.74,HD 60532,Puppis,F6IV-V,1.44,2.67,6095,8.787519,2.7,25.7,2,0,2.182,5.102,0.13,0,0
HD 60532 c,Jovian,non-habitable,6931.09,10.82,5.47,59.2,25.31,342.5,348.9,355.8,37920.7,607.06,1.58,1.58,HD 60532,Puppis,F6IV-V,1.44,2.67,6095,8.787519,2.7,25.7,2,0,2.182,5.102,0.25,0,0
HD 62509 b,Jovian,non-habitable,922.03,11.54,0.6,6.92,8.94,477.9,482.6,487.5,552.7,589.64,1.69,1.69,HD 62509,Gemini,K0IIIb,1.47,9.3,4666,36.781939,,10.34,1,0,4.82,11.819,0.16,0,0
HD 63454 b,Jovian,non-habitable,124,11.87,0.07,0.88,3.23,918.6,926.7,935,9.2,2.82,0.036,0.04,HD 63454,Chamaeleon,K4 V,0.8,0.68,4841,0.226864,1,35.8,1,0,0.376,0.915,0.08,0,0
HD 63765 b,Jovian,non-habitable,203.48,9.38,0.25,2.31,4.66,200.6,222.6,256.3,50.2,358,0.949,0.92,HD 63765,Carina,G9V,0.86,0.83,5432,0.532642,4.77,32.6,1,1,0.559,1.33,0.47,0,0
HD 65216 b,Jovian,non-habitable,400.6,10.66,0.33,3.52,6.13,169.5,199.1,262.1,132.5,572.4,1.3,1.19,HD 65216,Carina,G5 V,0.92,0.85,5666,0.658549,,34.3,2,1,0.613,1.449,0.39,0,0
HD 65216 c,Jovian,non-habitable,54.05,6.46,0.2,1.3,2.89,309.2,312.3,315.5,10.8,152.6,0.54,0.54,HD 65216,Carina,G5 V,0.92,0.85,5666,0.658549,,34.3,2,1,0.613,1.449,0.51,0,0
HD 66141 b,Jovian,non-habitable,1907.64,11.68,1.2,13.98,12.78,774.9,801.4,831.2,2282,480.5,1.2,1.2,HD 66141,Canis Minor,K2III,1.1,21.4,4305,141.126949,6.84,80.9,1,0,9.56,23.838,0.08,0,0
HD 66428 b,Jovian,non-habitable,896.59,11.53,0.59,6.75,8.82,126.5,151,209.4,524.7,1973,3.18,2.82,HD 66428,Monoceros,G5,1.15,1.16,5752,1.32046,5.56,55,1,0,0.864,2.036,0.22,0,0
HD 67087 b,Jovian,non-habitable,972.9,11.57,0.63,7.27,9.17,309.1,333.8,367,611,352.2,1.08,1.06,HD 67087,Gemini,F8 V,1.36,1.55,6330,3.460733,1.45,88.8,2,1,1.35,3.142,0.32,0,0
HD 67087 c,Jovian,non-habitable,1542.01,11.68,0.97,11.3,11.49,133.3,169.3,361,1491.7,2374,3.86,2.51,HD 67087,Gemini,F8 V,1.36,1.55,6330,3.460733,1.45,88.8,2,1,1.35,3.142,0.32,0,1
HD 68402 b,Jovian,non-habitable,976.08,11.57,0.63,7.29,9.18,176.8,179.4,182.2,614.8,1103,2.18,2.18,HD 68402,Volans,G5IV/V,1.12,1.02,5950,1.169925,2,78,1,0,0.803,1.884,0.28,0,0
HD 68988 b,Jovian,non-habitable,591.37,11.18,0.42,4.73,7.27,964.8,1022.3,1093.8,250.1,6.28,0.0704,0.07,HD 68988,Ursa Major,G0,1.2,1.14,5767,1.289732,6.78,58,1,0,0.853,2.01,0.1,0,0
HD 69830 b,Neptunian,non-habitable,47.69,6.2,0.2,1.24,2.77,764.4,801.2,845.1,9.5,8.67,0.0785,0.08,HD 69830,Puppis,K0V,0.86,0.9,5385,0.604336,7,12.6,3,1,0.597,1.423,0.2,0,0
HD 69830 c,Jovian,non-habitable,54.05,6.46,0.2,1.3,2.89,490,520.3,558.4,10.8,31.56,0.186,0.18,HD 69830,Puppis,K0V,0.86,0.9,5385,0.604336,7,12.6,3,1,0.597,1.423,0.25,0,0
HD 69830 d,Jovian,non-habitable,82.66,7.37,0.21,1.52,3.35,273.6,282.9,293.5,17.1,197,0.63,0.63,HD 69830,Puppis,K0V,0.86,0.9,5385,0.604336,7,12.6,3,1,0.597,1.423,0.53,0,0
HD 70573 b,Jovian,non-habitable,1939.43,11.68,1.22,14.21,12.88,143,167.4,218.4,2359,851.8,1.76,1.61,HD 70573,Hydra,G1-1.5V,1,0.79,5737,0.602327,0.101,45.7,1,0,0.584,1.377,0.24,0,0
HD 70642 b,Jovian,non-habitable,635.88,11.26,0.45,5.02,7.52,120.3,126.1,133,283.3,2231,3.3,3.28,HD 70642,Puppis,G5 IV-V,1,0.84,5670,0.654306,3.88,28.8,1,0,0.611,1.444,0.16,0,0
HD 72659 b,Jovian,non-habitable,1001.51,11.58,0.64,7.46,9.3,126.7,139.5,158.5,645.3,3658,4.74,4.62,HD 72659,Hydra,G2 V,0.95,1.36,5926,2.046512,6.5,49.8,1,0,1.064,2.497,0.18,0,0
HD 72892 b,Jovian,non-habitable,1732.77,11.68,1.09,12.69,12.18,486.4,573.4,763.8,1882.4,39.48,0.228,0.21,HD 72892,Hydra,G5V,1.02,1.22,5688,1.397809,8,72.78,1,0,0.892,2.107,0.11,0,0
HD 73256 b,Jovian,non-habitable,594.55,11.19,0.42,4.75,7.29,1187.4,1204.5,1222.4,252.4,2.55,0.037,0.04,HD 73256,Pyxis,G8/K0,1.05,0.89,5570,0.684054,0.83,36.5,1,0,0.628,1.489,0.1,0,0
HD 73267 b,Jovian,non-habitable,972.9,11.57,0.63,7.27,9.17,143.9,160.6,187,611,1260,2.198,2.12,HD 73267,Pyxis,G5V,0.89,1.04,5317,0.775574,7.4,54.91,1,0,0.679,1.622,0.23,0,0
HD 73526 b,Jovian,non-habitable,715.37,11.37,0.49,5.54,7.93,328.6,371.2,442.9,348.3,188.9,0.65,0.62,HD 73526,Vela,G6 V,1.08,1.49,5590,1.944955,5.59,99,2,0,1.058,2.507,0.27,0,0
HD 73526 c,Jovian,non-habitable,715.37,11.37,0.49,5.54,7.93,262,295,349.4,348.3,379.1,1.03,0.99,HD 73526,Vela,G6 V,1.08,1.49,5590,1.944955,5.59,99,2,0,1.058,2.507,0.39,0,0
HD 73534 b,Jovian,non-habitable,365.63,10.51,0.31,3.31,5.9,195.8,200.2,205,115.1,1800,3.15,3.15,HD 73534,Cancer,G5IV,1.29,2.65,4952,3.788822,,96.99,1,1,1.528,3.702,0.38,0,0
HD 74156 b,Jovian,non-habitable,565.3,11.13,0.41,4.56,7.13,487,605.5,1035.8,231.7,51.64,0.2916,0.22,HD 74156,Hydra,G1V,1.24,1.64,5960,3.044827,3.7,64.56,2,0,1.295,3.037,0.12,0,0
HD 74156 c,Jovian,non-habitable,2542.57,11.65,1.61,18.74,14.77,146.4,170.6,219.2,4090.1,2448.9,3.82,3.53,HD 74156,Hydra,G1V,1.24,1.64,5960,3.044827,3.7,64.56,2,0,1.295,3.037,0.24,0,0
HD 75289 b,Jovian,non-habitable,149.43,11.54,0.1,1.12,3.6,1392.1,1406.6,1421.8,14.5,3.51,0.046,0.05,HD 75289,Vela,G0 V,1.05,1.25,6120,1.966598,4.96,28.94,1,0,1.031,2.409,0.08,0,0
HD 75898 b,Jovian,non-habitable,798.03,11.45,0.53,6.08,8.35,293.5,307.6,324.5,423.9,418.2,1.19,1.18,HD 75898,Lynx,G0,1.28,1.6,6021,3.018591,3.8,80.58,1,0,1.285,3.009,0.38,0,0
HD 76700 b,Jovian,non-habitable,73.13,11.09,0.05,0.59,2.57,1276.7,1315.1,1357.9,3.9,3.97,0.049,0.05,HD 76700,Volans,G6 V,1,1.33,5726,1.706077,4.51,59.7,1,0,0.983,2.32,0.08,0,0
HD 77065 b,Jovian,non-habitable,13035.54,9.7,14.29,138.6,36.66,212.1,266.5,498.9,186301.2,119.11,0.438,0.32,HD 77065,Cancer,G5,0.75,0.69,4990,0.264313,,31.7,1,0,0.403,0.974,0.31,0,0
HD 77338 b,Jovian,non-habitable,158.97,8.84,0.23,2.03,4.24,896.4,896.4,896.4,36.6,5.76,0.0614,0.06,HD 77338,Pyxis,K0IV,0.93,0.88,5370,0.577766,3.97,40.75,1,0,0.584,1.393,0.15,0,0
HD 79498 b,Jovian,non-habitable,426.04,10.76,0.34,3.68,6.29,121.6,149.6,239.4,145.9,1966,3.13,2.53,HD 79498,Cancer,G5,1.06,1.15,5740,1.283489,2.7,49,1,0,0.852,2.01,0.26,0,0
HD 80606 b,Jovian,non-habitable,1252.68,10.32,1.14,11.77,11.02,264.5,339.6,1427.7,1429.7,111.44,0.449,0.16,HD 80606,Ursa Major,G5,0.98,0.98,5645,0.874979,7.63,58.4,1,0,0.708,1.673,0.16,0,0
HD 81040 b,Jovian,non-habitable,2181.07,11.67,1.37,16,13.67,135.5,164.2,243.1,2989.6,1001.7,1.94,1.65,HD 81040,Leo,G2/G3,0.96,0.86,5700,0.700465,4.18,32.56,1,0,0.631,1.49,0.24,0,0
HD 81688 b,Jovian,non-habitable,562.75,11.13,0.41,4.55,7.11,930.1,930.1,930.1,229.9,184.02,0.66,0.66,HD 81688,Ursa Major,K0III-IV,2.1,13,4753,77.383406,,88.26,1,0,6.967,17.018,0.11,0,0
HD 82886 b,Jovian,non-habitable,413.32,10.71,0.34,3.6,6.21,341.2,382.7,450,139.1,705,1.65,1.59,HD 82886,Leo Minor,G0,1.06,4.8,5112,14.116783,7,125,1,0,2.927,7.046,0.27,0,0
HD 82943 b,Jovian,non-habitable,4451.16,11.34,3.05,34.61,19.81,229.1,250.6,281.5,13583.8,442.4,1.19,1.17,HD 82943,Hydra,G0,1.18,1.12,5874,1.339867,3.08,27.46,3,1,0.864,2.03,0.37,0,1
HD 82943 c,Jovian,non-habitable,4578.34,11.32,3.16,35.76,20.12,265.9,313.6,418.5,14469.1,219.3,0.746,0.68,HD 82943,Hydra,G0,1.18,1.12,5874,1.339867,3.08,27.46,3,1,0.864,2.03,0.3,0,0
HD 82943 d,Jovian,non-habitable,92.2,7.61,0.21,1.59,3.48,187.2,187.2,187.2,19.3,1078,2.145,2.15,HD 82943,Hydra,G0,1.18,1.12,5874,1.339867,3.08,27.46,3,1,0.864,2.03,0.41,0,0
HD 83443 b,Jovian,non-habitable,127.18,11.65,0.08,0.94,3.3,1214.2,1218.5,1222.8,10.2,2.99,0.0406,0.04,HD 83443,Vela,K0 V,0.9,1.04,5460,0.862436,2.94,43.54,1,0,0.71,1.689,0.08,0,0
HD 85390 b,Neptunian,non-habitable,41.97,5.95,0.2,1.19,2.66,141.6,166.3,218.9,8.4,788,1.52,1.39,HD 85390,Vela,K1V,0.76,0.82,5186,0.438465,7.2,33.96,2,0,0.514,1.234,0.39,0,0
HD 85390 c,Jovian,non-habitable,63.59,6.8,0.2,1.38,3.06,100.8,100.8,100.8,12.9,3700,4.23,4.23,HD 85390,Vela,K1V,0.76,0.82,5186,0.438465,7.2,33.96,2,0,0.514,1.234,0.2,0,0
HD 85512 b,Terran,non-habitable,3.5,1.5,1.03,1.55,1.53,282.5,297.4,315.5,3.6,58.43,0.26,0.26,HD 85512,Vela,K5V,0.69,0.53,4715,0.125971,5.61,11.15,1,0,0.282,0.689,0.74,0,0
HD 86081 b,Jovian,non-habitable,476.91,12.1,0.27,3.26,6.28,1445.6,1486.3,1531.3,128.5,2,0.039,0.04,HD 86081,Sextans,F8V,1.21,1.22,6028,1.763204,6.21,91,1,0,0.981,2.298,0.07,0,0
HD 86226 b,Jovian,non-habitable,476.91,10.92,0.37,4,6.61,121.8,154,308.4,174.8,1534,2.6,1.78,HD 86226,Hydra,G2V,1.02,0.98,5940,1.057716,,42.48,1,0,0.764,1.793,0.3,0,0
HD 86264 b,Jovian,non-habitable,2225.58,11.67,1.4,16.34,13.81,170.3,214.2,405.3,3114.7,1475,2.86,2.04,HD 86264,Hydra,F7V,1.42,1.88,6210,4.715981,2.24,72.6,1,1,1.587,3.703,0.39,0,1
HD 88133 b,Jovian,non-habitable,95.38,11.2,0.07,0.76,2.92,1496.5,1551.8,1615,6.5,3.42,0.047,0.05,HD 88133,Leo,G5 IV,1.2,1.93,5494,3.044802,9.56,74.5,1,0,1.332,3.163,0.08,0,0
HD 89307 b,Jovian,non-habitable,635.88,11.26,0.45,5.02,7.52,131.6,146.5,169.9,283.3,2199,3.34,3.23,HD 89307,Leo,G0V,1.03,1.05,5950,1.239756,6.76,30.9,1,0,0.827,1.94,0.21,0,0
HD 89744 b,Jovian,non-habitable,2829.67,11.62,1.8,20.97,15.61,326.8,411,777.8,5106.9,256,0.88,0.63,HD 89744,Ursa Major,F7 V,1.4,2.14,6196,6.055681,2.04,40,2,0,1.8,4.201,0.15,0,0
HD 89744 c,Jovian,non-habitable,1017.41,11.59,0.65,7.57,9.37,602.5,602.5,602.5,664.8,85.2,0.44,0.44,HD 89744,Ursa Major,F7 V,1.4,2.14,6196,6.055681,2.04,40,2,0,1.8,4.201,0.12,0,0
HD 90156 b,Neptunian,non-habitable,18.12,4.5,0.2,0.9,2.01,546.3,621.4,752.7,3.6,49.77,0.25,0.24,HD 90156,Hydra,G5V,0.84,1.61,5599,2.266681,4.4,39.6,1,0,1.142,2.704,0.26,0,0
HD 92788 b,Jovian,non-habitable,8806.94,10.44,7.74,80.8,29.04,214.4,245.9,303.4,68154.5,325.81,0.97,0.91,HD 92788,Sextans,G5,1.13,0.99,5559,0.839744,3.78,32.82,2,1,0.697,1.652,0.36,0,1
HD 92788 c,Jovian,non-habitable,286.15,10.07,0.28,2.82,5.33,308.7,314.8,321.3,80.1,162,0.6,0.6,HD 92788,Sextans,G5,1.13,0.99,5559,0.839744,3.78,32.82,2,1,0.697,1.652,0.41,0,0
HD 93083 b,Jovian,non-habitable,117.64,8.16,0.22,1.77,3.8,274.1,292.3,315.6,25.4,143.58,0.477,0.47,HD 93083,Antlia,K3 V,0.7,0.85,4995,0.396092,6,28.9,1,0,0.493,1.192,0.49,0,0
HD 93385 b,Superterran,non-habitable,8.36,1.9,1.22,2.32,2.1,795.5,851.8,925.3,10.2,13.19,0.1116,0.11,HD 93385,Vela,G2V,1.07,1.19,5940,1.565398,,42.2,2,0,0.93,2.182,0.26,0,0
HD 93385 c,Neptunian,non-habitable,10.11,3.71,0.2,0.74,1.65,504.8,560.1,644.8,2,46.02,0.257,0.25,HD 93385,Vela,G2V,1.07,1.19,5940,1.565398,,42.2,2,0,0.93,2.182,0.3,0,0
HD 95086 b,Jovian,non-habitable,1589.7,11.68,1,11.65,11.67,50.5,55.2,61.9,1584.9,,61.7,60.45,HD 95086,Carina,A8III,1.6,1.71,7550,8.478848,0.017,90.4,1,0,2.019,4.653,0.08,0,0
HD 95089 b,Jovian,non-habitable,381.53,10.58,0.32,3.41,6,369.4,396.7,432.7,122.8,507,1.51,1.49,HD 95089,Leo,K0 IV,1.58,4.9,5002,13.485179,2.5,139,1,0,2.876,6.953,0.26,0,0
HD 95127 b,Jovian,non-habitable,1592.88,11.68,1,11.67,11.68,697.8,734.6,779.3,1591.2,482,1.28,1.27,HD 95127,Ursa Major,K0,1.2,20,4218,113.599432,5.5,300,1,0,8.599,21.531,0.09,0,0
HD 95872 b,Jovian,non-habitable,1462.52,11.68,0.92,10.72,11.19,30.5,31.4,32.3,1343.1,4375,5.2,5.19,HD 95872,Crater,K0V,0.95,0.09,5312,0.006209,10,7.56,1,0,0.061,0.145,0.08,0,0
HD 96063 b,Jovian,non-habitable,286.15,10.07,0.28,2.82,5.33,427.8,481.5,570.3,80.1,361.1,0.99,0.95,HD 96063,Leo,K0,1.02,4.5,5148,12.76054,9,158,1,0,2.778,6.677,0.2,0,0
HD 96127 b,Jovian,non-habitable,1271.76,11.66,0.8,9.36,10.44,802.9,910.1,1094.1,1020.6,647.3,1.4,1.34,HD 96127,Ursa Major,K2III,0.91,35,4152,326.629446,,540,1,0,14.606,36.691,0.09,0,0
HD 96167 b,Jovian,non-habitable,216.2,9.51,0.25,2.39,4.77,232.7,293.2,565.1,54.4,498.9,1.3,0.92,HD 96167,Crater,G5D,1.31,1.86,5770,3.44048,3.8,84,1,0,1.393,3.282,0.39,0,0
HD 96700 b,Superterran,non-habitable,9.03,1.93,1.25,2.41,2.16,955.5,1001.4,1056.3,11.3,8.13,0.0774,0.08,HD 96700,Hydra,G0V,0.94,1.14,5940,1.433771,,25.6,2,0,0.89,2.088,0.26,0,0
HD 96700 c,Neptunian,non-habitable,12.72,4,0.2,0.8,1.78,366.7,425.4,540.7,2.5,103.49,0.422,0.39,HD 96700,Hydra,G0V,0.94,1.14,5940,1.433771,,25.6,2,0,0.89,2.088,0.37,0,0
HD 97658 b,Superterran,non-habitable,7.55,2.25,0.67,1.5,1.83,663.2,688.3,717.1,5,9.49,0.08,0.08,HD 97658,Leo,K1V,0.85,0.73,5170,0.341584,,21.1,1,0,0.454,1.09,0.27,0,0
HD 98219 b,Jovian,non-habitable,572.29,11.15,0.41,4.61,7.17,382.8,419.8,473.7,236.5,436.9,1.23,1.2,HD 98219,Crater,K0III/IV,1.3,4.5,4992,11.282703,4,134,1,0,2.632,6.366,0.22,0,0
HD 98649 b,Jovian,non-habitable,2161.99,11.68,1.36,15.86,13.61,76.4,97.9,268.3,2936.8,4951,5.6,2.95,HD 98649,Crater,G4V,0.96,0.88,5940,0.868181,,40.3,1,0,0.692,1.625,0.12,0,0
HD 99109 b,Jovian,non-habitable,159.61,8.85,0.23,2.04,4.25,221.6,231.3,242.6,36.7,439.3,1.105,1.1,HD 99109,Leo,K0,0.93,1.1,5272,0.830827,12.2,60.5,1,1,0.704,1.685,0.5,0,0
HD 99492 b,Neptunian,non-habitable,25.12,5.02,0.2,1,2.24,564.5,583.7,605.5,5,17.05,0.123,0.12,HD 99492,Leo,K2V,0.83,0.96,4740,0.417394,4,18,1,0,0.512,1.251,0.26,0,0
HD 99706 b,Jovian,non-habitable,445.12,10.82,0.35,3.8,6.41,295.7,342.5,433.5,156.4,868,2.14,1.99,HD 99706,Ursa Major,K0,1.72,5.4,4932,15.479954,2.1,129,1,0,3.092,7.495,0.32,0,0
HD 100655 b,Jovian,non-habitable,540.5,11.08,0.4,4.4,6.98,719.8,749.4,783.8,214.8,157.57,0.76,0.76,HD 100655,Leo,G9III,2.4,9.3,4861,43.326968,,122,1,0,5.189,12.617,0.12,0,0
HD 100777 b,Jovian,non-habitable,368.81,10.53,0.32,3.33,5.92,224.5,259.7,327.3,116.6,383.7,1.03,0.96,HD 100777,Leo,K0,1,1.17,5582,1.183771,2,52.8,1,1,0.826,1.957,0.46,0,0
HD 101930 b,Jovian,non-habitable,95.38,7.69,0.21,1.61,3.52,366.1,385.4,408.8,20,70.46,0.302,0.3,HD 101930,Centaurus,K1 V,0.74,0.9,5079,0.478977,5.39,30.49,1,0,0.54,1.302,0.34,0,0
HD 102117 b,Jovian,non-habitable,54.69,6.48,0.2,1.3,2.9,684.7,719.6,761.6,11,20.67,0.1532,0.15,HD 102117,Centaurus,G6V,1.03,1.27,5672,1.49776,6.21,42,1,0,0.924,2.184,0.2,0,0
HD 102195 b,Jovian,non-habitable,143.07,8.61,0.22,1.93,4.08,963.1,963.1,963.1,32.1,4.11,0.049,0.05,HD 102195,Virgo,K0V,0.93,0.83,5291,0.490246,2.4,28.98,1,0,0.54,1.292,0.15,0,0
HD 102272 b,Jovian,non-habitable,1875.85,11.68,1.18,13.74,12.67,856.6,877.6,900.5,2206.3,127.58,0.614,0.61,HD 102272,Leo,K0,1.9,10.1,4908,53.106888,,360,2,0,5.733,13.912,0.08,0,0
HD 102272 c,Jovian,non-habitable,826.64,11.48,0.55,6.27,8.49,423.5,530.8,970.3,451.9,520,1.57,1.15,HD 102272,Leo,K0,1.9,10.1,4908,53.106888,,360,2,0,5.733,13.912,0.13,0,0
HD 102329 b,Jovian,non-habitable,1875.85,11.68,1.18,13.74,12.67,342.6,376,424.5,2206.3,778.1,2.01,1.96,HD 102329,Virgo,K,1.95,6.3,4830,19.380255,1.6,158,1,0,3.475,8.461,0.24,0,0
HD 102365 b,Neptunian,non-habitable,15.9,4.31,0.2,0.86,1.92,309.1,355.1,440.4,3.2,122.1,0.46,0.43,HD 102365,Centaurus,G2V,0.85,0.95,5650,0.822894,9,9.24,1,0,0.686,1.622,0.47,0,0
HD 102956 b,Jovian,non-habitable,305.22,10.19,0.29,2.94,5.47,1604.4,1642.2,1683.3,87.9,6.5,0.081,0.08,HD 102956,Ursa Major,A,1.68,4.4,5054,11.332774,2.3,126,1,0,2.63,6.345,0.12,0,0
HD 103197 b,Neptunian,non-habitable,31.16,5.39,0.2,1.07,2.4,409.7,409.7,409.7,6.2,47.84,0.249,0.25,HD 103197,Centaurus,K1V,0.9,0.77,5303,0.414662,9.1,49.3,1,0,0.497,1.187,0.36,0,0
HD 103720 b,Jovian,non-habitable,197.12,9.31,0.24,2.27,4.6,812.7,846.6,885.9,48.1,4.56,0.0498,0.05,HD 103720,Virgo,K3V,0.79,0.73,5017,0.302909,3.8,41.6,1,0,0.431,1.041,0.14,0,0
HD 103774 b,Jovian,non-habitable,116.68,8.14,0.22,1.76,3.79,1256.2,1310.9,1374.9,25.2,5.89,0.07,0.07,HD 103774,Corvus,F5V,1.33,1.48,6489,3.441323,1.05,55,1,0,1.334,3.096,0.15,0,0
HD 104067 b,Jovian,non-habitable,59.14,6.65,0.2,1.34,2.98,363.2,363.2,363.2,11.9,55.81,0.2643,0.26,HD 104067,Corvus,K2V,0.79,0.73,4969,0.288487,4.33,20.8,1,0,0.421,1.02,0.4,0,0
HD 104985 b,Jovian,non-habitable,2638.9,11.64,1.67,19.48,15.06,683.7,713.5,748.3,4416.8,199.5,0.95,0.95,HD 104985,Camelopardalis,G9 III,1.6,10.87,4786,55.621122,2.95,102,1,0,5.898,14.387,0.08,0,0
HD 106252 b,Jovian,non-habitable,10460.23,10.13,10.06,101.92,32.13,133,158.8,221.4,105230.4,1600,2.7,2.38,HD 106252,Virgo,G0,0.96,1.09,5754,1.168483,5.02,37.44,1,0,0.812,1.915,0.19,0,0
HD 106270 b,Jovian,non-habitable,3497.34,11.52,2.29,26.36,17.42,160.1,187.6,245.1,8002.9,2890,4.3,3.94,HD 106270,Virgo,G5,1.32,2.5,5638,5.665917,4.3,84.9,1,1,1.801,4.26,0.29,0,1
HD 106515 A b,Jovian,non-habitable,3055.4,11.59,1.96,22.76,16.24,100.1,122.7,191.8,6000.2,3630,4.59,3.76,HD 106515 A,Virgo,G5,0.91,1.36,5232,1.23904,6,35.2,1,0,0.862,2.065,0.13,0,0
HD 106906 b,Jovian,non-habitable,3497.34,11.52,2.29,26.36,17.42,15,15,15,8002.9,,654,654,HD 106906,Centaurus,F5V,1.5,1.79,6516,5.147254,0.013,92,1,0,1.629,3.779,0.06,0,0
HD 107148 b,Jovian,non-habitable,66.77,6.9,0.2,1.4,3.11,524.5,537.4,551.4,13.6,48.06,0.269,0.27,HD 107148,Virgo,G5,1.12,1.19,5797,1.432962,5.6,51.3,1,0,0.897,2.113,0.23,0,0
HD 108147 b,Jovian,non-habitable,82.98,7.38,0.21,1.52,3.35,748,907.7,1349.5,17.1,10.9,0.102,0.09,HD 108147,Crux,F8/G0 V,1.19,1.22,6067,1.809279,1.98,38.57,1,0,0.992,2.321,0.17,0,0
HD 108341 b,Jovian,non-habitable,1112.79,11.62,0.71,8.24,9.78,104.4,133.8,366.5,788.4,1129,2,1.05,HD 108341,Musca,K2V,0.84,0.79,5122,0.385392,4.9,49.4,1,0,0.483,1.163,0.24,0,0
HD 108863 b,Jovian,non-habitable,826.64,11.48,0.55,6.27,8.49,416.7,436.8,460.7,451.9,443.4,1.4,1.39,HD 108863,Coma Berenices,K0,1.85,5.6,4956,16.974269,1.8,139,1,0,3.234,7.832,0.2,0,0
HD 108874 b,Jovian,non-habitable,432.4,10.78,0.35,3.72,6.33,248.3,256.8,266.4,149.4,395.4,1.051,1.05,HD 108874,Coma Berenices,G5,1,1.22,5407,1.141393,7.26,68.5,2,1,0.819,1.952,0.46,0,0
HD 108874 c,Jovian,non-habitable,323.66,10.3,0.3,3.05,5.61,143.9,160.2,185.7,95.8,1605.8,2.68,2.59,HD 108874,Coma Berenices,G5,1,1.22,5407,1.141393,7.26,68.5,2,1,0.819,1.952,0.27,0,0
HD 109246 b,Jovian,non-habitable,244.81,9.77,0.26,2.57,5.01,428.1,452.6,482.9,64.3,68.27,0.33,0.33,HD 109246,Draco,GOV,1.01,1.02,5844,1.088757,,65.6,1,0,0.78,1.834,0.23,0,0
HD 109271 b,Neptunian,non-habitable,17.17,4.42,0.2,0.88,1.97,966.3,1076,1247.4,3.4,7.85,0.079,0.08,HD 109271,Virgo,G5V,1.05,1.42,5783,2.01736,7.3,62,2,0,1.066,2.51,0.23,0,0
HD 109271 c,Neptunian,non-habitable,24.16,4.95,0.2,0.98,2.21,639.6,684.9,743.9,4.8,30.93,0.196,0.19,HD 109271,Virgo,G5V,1.05,1.42,5783,2.01736,7.3,62,2,0,1.066,2.51,0.24,0,0
HD 109749 b,Jovian,non-habitable,89.02,11.09,0.07,0.72,2.83,1136.6,1161.8,1189.1,5.8,5.24,0.0635,0.06,HD 109749,Centaurus,G3 IV,1.2,1.41,5610,1.744633,10.3,59,1,0,1.001,2.37,0.08,0,0
HD 110014 b,Jovian,non-habitable,3525.95,11.51,2.31,26.6,17.5,506.6,603.9,835.1,8144.6,835.48,2.14,1.9,HD 110014,Virgo,K2III,2.17,20.9,4445,152.992288,0.95,90,1,0,9.91,24.547,0.09,0,0
HD 111232 b,Jovian,non-habitable,2161.99,11.68,1.36,15.86,13.61,149.5,163.3,183,2936.8,1143,1.97,1.93,HD 111232,Musca,G8V,0.78,0.9,5494,0.661906,5.2,29,1,0,0.621,1.475,0.22,0,0
HD 113337 b,Jovian,non-habitable,899.77,11.53,0.59,6.77,8.83,306.5,365.1,503.9,528.2,324,0.92,0.82,HD 113337,Draco,F,1.4,1.5,6577,3.77732,0.15,36.9,1,0,1.39,3.223,0.26,0,0
HD 113538 b,Jovian,non-habitable,114.46,8.1,0.22,1.74,3.76,120.5,128.5,138.7,24.6,663.2,1.24,1.23,HD 113538,Centaurus,K9V,0.58,0.53,4462,0.099899,4.3,15.8,2,0,0.253,0.626,0.22,0,0
HD 113538 c,Jovian,non-habitable,295.68,10.14,0.28,2.88,5.4,83.7,91.5,102.5,84,1818,2.44,2.39,HD 113538,Centaurus,K9V,0.58,0.53,4462,0.099899,4.3,15.8,2,0,0.253,0.626,0.14,0,0
HD 114386 b,Jovian,non-habitable,394.25,10.64,0.33,3.49,6.09,165.4,182.8,209,129.2,937,1.02,0.99,HD 114386,Centaurus,K3 V,0.75,0.76,4819,0.279476,2.19,28,2,1,0.418,1.017,0.33,0,0
HD 114386 c,Jovian,non-habitable,378.35,10.57,0.32,3.39,5.98,132.9,136.8,141.2,121.3,1046,1.8318,1.83,HD 114386,Centaurus,K3 V,0.75,0.76,4819,0.279476,2.19,28,2,1,0.418,1.017,0.2,0,0
