P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
CoRoT-23 b,Jovian,non-habitable,890.23,12.1,0.5,6.08,8.58,1403.3,1508.9,1649,447.8,3.63,0.0477,0.05,CoRoT-23,Serpens,G0V,1.14,1.61,5900,2.818056,7.2,600,1,0,1.251,2.937,0.07,0,0
CoRoT-24 b,Superterran,non-habitable,5.72,3.7,0.11,0.42,1.24,855.3,855.3,855.3,0.6,5.11,0.056,0.06,CoRoT-24,Monoceros,K1V,0.91,0.86,4950,0.398389,11,600,2,0,0.496,1.201,0.19,0,0
CoRoT-24 c,Neptunian,non-habitable,27.98,4.93,0.23,1.15,2.38,646.6,646.6,646.6,6.5,11.76,0.098,0.1,CoRoT-24,Monoceros,K1V,0.91,0.86,4950,0.398389,11,600,2,0,0.496,1.201,0.18,0,0
CoRoT-25 b,Jovian,non-habitable,85.84,12.1,0.05,0.59,2.66,1208.4,1208.4,1208.4,4.2,4.86,0.0578,0.06,CoRoT-25,Ophiuchus,G0V,1.09,1.19,6040,1.690953,5.2,1000,1,0,0.96,2.248,0.08,0,0
CoRoT-26 b,Jovian,non-habitable,165.33,14.11,0.06,0.83,3.42,1437.8,1437.8,1437.8,9.7,4.2,0.0526,0.05,CoRoT-26,Ophiuchus,G8IV,1.09,1.79,5590,2.807005,8.6,1670,1,0,1.271,3.011,0.06,0,0
CoRoT-27 b,Jovian,non-habitable,3303.4,11.28,2.3,25.97,17.11,1200.8,1238.8,1281.5,7606.4,3.58,0.0476,0.05,CoRoT-27,Serpens,G2,1.05,1.08,5900,1.268076,4.21,,1,0,0.839,1.97,0.08,0,0
CoRoT-28 b,Jovian,non-habitable,153.88,10.7,0.13,1.35,3.79,1219,1247.1,1277.7,19.4,5.21,0.059,0.06,CoRoT-28,Serpens,G8/9IV,1.01,1.78,5150,1.999672,12,560,1,0,1.099,2.643,0.08,0,0
CoRoT-29 b,Jovian,non-habitable,270.25,10.08,0.26,2.66,5.18,1071.1,1113.7,1162.8,71.3,2.85,0.039,0.04,CoRoT-29,Ophiuchus,KOV,0.98,0.9,5260,0.556311,4.5,765,1,0,0.577,1.38,0.09,0,0
CoRoT-33 b,Jovian,non-habitable,18822.05,12.32,10.07,124.01,39.09,897.4,928,962.6,189453.1,5.82,0.0579,0.06,CoRoT-33,Serpens,G9V,0.86,0.94,5225,0.590868,4.6,,1,0,0.595,1.427,0.08,0,0
CT Cha b,Jovian,non-habitable,5404.98,24.64,0.36,8.9,14.81,9,9,9,1952.8,,440,440,CT Cha,Chamaeleon,K7,,0.7,5150,0.30688,0.002,165,1,0,0.431,1.035,0.04,0,0
DE0823-49 b,Jovian,non-habitable,10015.11,10.21,9.4,96.04,31.32,42.4,49,61.8,94191.8,247.75,0.36,0.34,DE0823-49,Vela,,0.04,0.1,2150,0.000184,0.1,20.69,1,0,0.011,0.03,0.04,0,0
DH Tau b,Jovian,non-habitable,3497.34,11.52,2.29,26.36,17.42,5.5,5.5,5.5,8002.9,,330,330,DH Tau,Taurus,M0.5V,0.37,0.35,3840,0.023366,0.001,,1,0,0.124,0.317,0.06,0,0
DP Leo b,Jovian,non-habitable,1923.54,11.68,1.21,14.09,12.83,52.1,60.8,78.6,2320.3,10230,8.19,7.54,DP Leo,Leo,AM Her,0.69,0.17,9790,0.226671,,,1,0,0.33,0.761,0.08,0,0
DW Lyn b,Jovian,non-habitable,1774.11,11.68,1.11,13,12.32,,,,1973.3,,1148,1148,DW Lyn,Lynx,SdB D,,,,,,,1,0,,,,0,0
EPIC-206011691 b,Superterran,non-habitable,4.31,1.59,1.07,1.7,1.65,510.7,510.7,510.7,4.6,9.32,0.0731,0.07,EPIC-206011691,Aquarius,M0,0.64,0.6,4043,0.086299,,65,2,0,0.238,0.601,0.35,0,0
