PLZ,Gemeinde,Land,SCB
3008,Bern,CH,89
3009,Bern,CH,10
3010,Bern,CH,1
3011,Bern,CH,72
3012,Bern,CH,76
3013,Bern,CH,74
3014,Bern,CH,190
3014,Bern ,CH,1
3015,Bern,CH,20
3018,Bern,CH,165
3019,Bern,CH,15
3020,Bern,CH,9
3022,Bern,CH,19
3023,Bern,CH,5
3025,Bern,CH,7
3027,Bern,CH,117
3028,Bern,CH,1
3030,Bern,CH,10
3031,Bern,CH,3
3032,Hinterkappelen,CH,47
3033,Wohlen,CH,16
3033,Illigwil,CH,1
3034,Murzelen,CH,7
3035,Frieswil,CH,3
3036,Detligen,CH,16
3037,Herrenschwanden,CH,17
3038,Kirchlindach,CH,23
3042,Ortschwaben,CH,12
3043,Uettligen,CH,24
3044,Innerberg,CH,11
3044,Säriswil,CH,4
3045,Meikirch,CH,15
3046,Wahlendorf,CH,3
3047,Bremgarten,CH,25
3047,Bremgarten ,CH,17
3048,Worblaufen,CH,29
3048,Worblaufen ,CH,1
3049,Säriswil,CH,14
3050,Bern,CH,1
3052,Zollikofen,CH,146
3053,Münchenbuchsee,CH,135
3053,Lätti,CH,14
3053,Muenchenbuchsee,CH,1
3053,Münchenbuchsee ,CH,1
3053,Deisswil,CH,4
3053,Diemerswil,CH,2
3054,Schüpfen,CH,85
3063,Ittigen,CH,136
3065,Bern,CH,1
3065,Bolligen,CH,64
3065,Habstetten,CH,1
3066,Stettlen,CH,54
3066,Deisswil,CH,1
3067,Boll,CH,57
3068,Utzigen,CH,21
3068,Uttigen,CH,2
3072,Ostermundigen,CH,249
3073,Gümligen,CH,113
3073,Gümligen ,CH,3
3074,Muri,CH,63
3074,Bremgarten,CH,1
3075,Rüfenacht,CH,27
3075,Rüfenacht ,CH,14
3076,Worb,CH,91
3077,Enggistein,CH,6
3078,Richigen,CH,8
3082,Schlosswil,CH,10
3083,Trimstein,CH,6
3084,Wabern,CH,74
3086,Englisberg,CH,2
3086,Zimmerwald,CH,20
3087,Niedermuhlern,CH,12
3088,Rüeggisberg,CH,11
3088,Oberbütschel,CH,1
3088,Rüeggisberg ,CH,1
3089,Hinterfultigen,CH,3
3094,Bern,CH,2
3095,Spiegel,CH,18
3096,Oberbalm,CH,20
3097,Liebefeld,CH,71
3098,Köniz,CH,64
3098,Schliern,CH,68
3099,Rüti,CH,6
3110,Münsingen,CH,122
3111,Tägertschi,CH,2
3112,Allmendingen,CH,10
3113,Rubigen,CH,38
3113,Wichtrach,CH,1
3114,Wichtrach,CH,46
3115,Gerzensee,CH,10
3116,Kirchdorf,CH,7
3116,Kirchdorf ,CH,2
3116,Noflen ,CH,2
3116,Mühledorf ,CH,2
3122,Kehrsatz,CH,47
3123,Belp,CH,211
3124,Belpberg,CH,5
3125,Toffen,CH,32
3126,Kaufdorf,CH,10
3126,Gelterfingen,CH,3
3127,Mühlethurnen,CH,17
3127,Lohnstorf,CH,9
3127,Mühlethurnen ,CH,1
3127,Lohnsdorf,CH,1
3128,Kirchenthurnen,CH,2
3131,Riggisberg,CH,1
3132,Riggisberg,CH,33
3144,Gasel,CH,15
3145,Niederscherli,CH,34
3145,Oberscherli,CH,3
3147,Mittelhäusern,CH,8
3148,Lanzenhäusern,CH,11
3150,Schwarzenburg,CH,41
3152,Mamishaus,CH,8
3153,Rüschegg-Gambach,CH,4
3154,Rüschegg-Heubach,CH,3
3154,Rüschegg Heubach,CH,1
3155,Helgisried,CH,2
3156,Riffenmatt,CH,4
3157,Milken,CH,3
3158,Guggisberg,CH,2
3172,Niederwangen,CH,40
3172,Niederwangen ,CH,7
