PLZ,Gemeinde,Land,SCB
6014,Luzern,CH,4
6015,Luzern,CH,3
6018,Buttisholz,CH,3
6020,Emmenbrücke,CH,1
6022,Grosswangen,CH,1
6026,Rain,CH,1
6027,Römerswil,CH,1
6030,Ebikon,CH,1
6032,Emmen,CH,2
6052,Hergiswil,CH,3
6055,Alpnach,CH,5
6060,Sarnen,CH,4
6064,Kerns,CH,1
6072,Sachseln,CH,2
6074,Giswil,CH,3
6106,Werthenstein,CH,1
6122,Menznau,CH,1
6130,Willisau,CH,4
6146,Grossdietwil,CH,2
6147,Altbüron,CH,1
6162,Entlebuch,CH,2
6170,Schüpfheim,CH,1
6192,Wiggen,CH,1
6204,Sempach,CH,1
6208,Oberkirch,CH,1
6210,Sursee,CH,6
6214,Schenkon,CH,2
6215,Beromünster,CH,2
6221,Rickenbach,CH,1
6231,Schlierbach,CH,2
6242,Wauwil,CH,1
6246,Altishofen,CH,3
6247,Schötz,CH,2
6252,Dagmersellen,CH,3
6252,Dagmarsellen,CH,1
6260,Reiden,CH,6
6264,Pfaffnau,CH,1
6274,Eschenbach,CH,1
6281,Hochdorf,CH,2
6300,Zug,CH,5
6301,Zug,CH,2
6304,Zug,CH,2
6312,Steinhausen,CH,3
6314,Unterägeri,CH,1
6319,Allenwinden,CH,1
6330,Cham,CH,1
6331,Hünenberg,CH,1
6340,Zug,CH,1
6340,Baar,CH,4
6353,Weggis,CH,1
6362,Stansstad,CH,2
6372,Ennetmoos,CH,1
6373,Ennetbürgen,CH,2
6374,Buochs,CH,3
6375,Beckenried,CH,2
6390,Engelberg,CH,1
6403,Küssnacht am Rigi,CH,3
6410,Goldau,CH,1
6415,Arth,CH,2
6430,Schwyz,CH,6
6438,Ibach,CH,1
6655,Intragna,CH,1
6828,Balerna,CH,1
7013,Domat/Ems,CH,1
7078,Lenzerheide,CH,1
7203,Trimmis,CH,1
7220,Schiers,CH,1
7270,Davos,CH,3
7323,Wangs,CH,1
7402,Bonaduz,CH,1
8001,Zürich,CH,2
8003,Zürich,CH,1
8004,Zürich,CH,3
8005,Zürich,CH,2
8008,Zürich,CH,1
8021,Zürich,CH,1
8027,Zürich,CH,2
8031,Zürich,CH,1
8032,Zürich,CH,1
8036,Zürich,CH,1
8037,Zürich,CH,3
8038,Zürich,CH,2
8045,Zürich,CH,1
8046,Zürich,CH,1
8048,Zürich,CH,3
8049,Zürich,CH,2
8050,Zürich,CH,3
8052,Zürich,CH,1
8055,Zürich,CH,1
8058,Zürich,CH,3
8065,Zürich,CH,1
8102,Oberengstringen,CH,1
8104,Weiningen,CH,1
8105,Regensdorf,CH,6
8106,Adlikon,CH,2
8107,Buchs,CH,1
8108,Dällikon,CH,6
8125,Zollikerberg,CH,1
8126,Zumikon,CH,1
8134,Adliswil,CH,1
8135,Langnau,CH,2
8152,Glattbrugg,CH,4
8153,Rümlang,CH,5
8157,Dielsdorf,CH,2
8162,Steinmaur,CH,2
8172,Niederglatt,CH,1
8174,Stadel bei Niederglatt,CH,1
8180,Bülach,CH,3
8184,Bachenbülach,CH,1
8185,Winkel ,CH,1
8193,Eglisau,CH,5
8197,Rafz,CH,1
8232,Merishausen,CH,2
8255,Schlattingen,CH,2
8301,Glattzentrum,CH,1
8302,Kloten,CH,1
8304,Wallisellen,CH,5
8306,Brüttisellen,CH,1
8308,Illnau,CH,1
8309,Breite-Nürensdorf,CH,1
8317,Tagelswangen,CH,1
8320,Fehraltdorf,CH,1
8330,Pfäffikon,CH,1
8330,Pfäffikon ,CH,3
8355,Aadorf,CH,1
8360,Eschlikon,CH,5
8370,Sirnach,CH,1
8400,Winterthur,CH,4
8401,Winterthur,CH,1
8404,Winterthur,CH,1
8405,Winterthur,CH,2
8406,Winterthur,CH,3
8408,Winterthur,CH,1
8416,Flaach,CH,2
8426,Lufingen,CH,3
8472,Seuzach,CH,3
8500,Frauenfeld,CH,3
8501,Frauenfeld,CH,2
8545,Rickenbach,CH,1
8574,Dettighofen-Lengwil,CH,1
8600,Dübendorf,CH,4
8602,Wangen ,CH,1
8604,Volketswil,CH,2
8610,Uster,CH,3
8623,Wetzikon,CH,1
8624,Grüt Gossau,CH,1
8627,Grüningen,CH,3
8632,Tann,CH,1
8708,Männedorf,CH,1
8712,Stäfa,CH,1
8717,Benken,CH,1
8718,Schänis,CH,1
8750,Glarus,CH,1
8753,Mollis,CH,2
8762,Sool,CH,1
8800,Thalwil,CH,2
8804,Au ,CH,1
8805,Richterswil,CH,1
8808,Pfäffikon ,CH,3
8808,Pfäffikon,CH,1
8834,Schindellegi,CH,1
8846,Willerzell,CH,1
8852,Altendorf,CH,1
8867,Niederurnen,CH,3
8902,Urdorf,CH,4
8903,Birmensdorf,CH,1
8905,Arni ,CH,1
8907,Wettswil,CH,1
8910,Affoltern,CH,2
8914,Affoltern,CH,1
8925,Ebertswil,CH,1
8926,Kappel,CH,2
8952,Schlieren,CH,4
8953,Dietikon,CH,7
8954,Geroldswil,CH,1
8957,Spreitenbach,CH,8
8964,Rudolfstetten,CH,1
8965,Berikon,CH,2
8966,Oberwil-Lieli,CH,1
8967,Widen,CH,2
9000,St. Gallen,CH,3
9004,St.Gallen,CH,1
9014,St. Gallen,CH,1
9037,Speicherschwendi,CH,1
9100,Herisau,CH,3
9200,Gossau,CH,1
9323,Steinach,CH,1
9325,Roggwil,CH,1
9401,Rorschach,CH,1
9410,Heiden,CH,1
9470,Buchs,CH,1
9472,Grabs,CH,1
9500,Wil,CH,1
9545,Wängi,CH,1
9546,Tuttwil,CH,2
9652,Neu St.Johann,CH,1
10405,Berlin,D,1
63599,Biebergemünd,D,1
72514,Inzigkofen,D,1
74100,Annemasse,F,1
79774,Buch,D,1
