Hp_Enr,Tr_Enr,Am_Enr,As_Enr,Hisp_Enr,White_Enr,Black_Enr
0.003138,0.038438,0.015591,0.038084,0.298802,0.417586,0.188361
0.002414,0.042626,0.017169,0.022664,0.260512,0.303120,0.351494
